"繁"	"简"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"								
"多"	"多"	"ɗu53"	"tu1"	"【文读】"	1	53		"t"	"u"	"ɗ"	"u"			
"多"	"多"	"ɗɑ53"	"ta1"	"【白读】"	1	53		"t"	"a"	"ɗ"	"ɑ"			
"拖"	"拖"	"tʰu53"	"thu1"	"【文读】"	1	53		"th"	"u"	"tʰ"	"u"			
"拖"	"拖"	"tʰɑ53"	"tha1"	"【白读】"	1	53		"th"	"a"	"tʰ"	"ɑ"			
"他"	"他"	"tʰɑ53"	"tha1"		1	53		"th"	"a"	"tʰ"	"ɑ"			
"駝"	"驼"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"馱"	"驮"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"舵"	"舵"	"du213"	"du4"		4	213		"d"	"u"	"d"	"u"			
"大"	"大"	"du13"	"du6"	"【白读】~小；~门。"	6	13		"d"	"u"	"d"	"u"			
"大"	"大"	"dɑ13"	"da6"	"【文读】~学；~蒜。"	6	13		"d"	"a"	"d"	"ɑ"			
"羅"	"罗"	"lu22"	"lu2"		2	22		"l"	"u"	"l"	"u"			
"鑼"	"锣"	"lu22"	"lu2"		2	22		"l"	"u"	"l"	"u"			
"籮"	"箩"	"lu22"	"lu2"		2	22		"l"	"u"	"l"	"u"			
"蘿"	"萝"	"lu22"	"lu2"	"藤~；菠~。"	2	22		"l"	"u"	"l"	"u"			
"蘿"	"萝"	"lɔ22"	"lau2"	"~卜。"	2	22		"l"	"au"	"l"	"ɔ"			
"左"	"左"	"tsu44"	"tsu3"		3	44		"ts"	"u"	"ts"	"u"			
"左"	"左"	"tsi35"	"tsi5"		5	35		"ts"	"i"	"ts"	"i"			
"做"	"做"	"tsu35"	"tsu5"		5	35		"ts"	"u"	"ts"	"u"			
"搓"	"搓"	"tsʰu53"	"tshu1"		1	53		"tsh"	"u"	"tsʰ"	"u"			
"歌"	"歌"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"			
"哥"	"哥"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"			
"個"	"个"	"ku35"	"ku5"	"~人。"	5	35		"k"	"u"	"k"	"u"			
"個"	"个"	"kɤ35"	"keu5"	"~人。"	5	35		"k"	"eu"	"k"	"ɤ"			
"個"	"个"	"gəʔ23"	"geq8"	"助词，相当于普通话的“的”。"	8	23		"g"	"eq"	"g"	"əʔ"			
"可"	"可"	"kʰo44"	"kho3"	"~惜。"	3	44		"kh"	"o"	"kʰ"	"o"			
"可"	"可"	"kʰø44"	"khoe3"	"~以。"	3	44		"kh"	"oe"	"kʰ"	"ø"			
"鵝"	"鹅"	"ŋu22"	"ngu2"		2	22		"ng"	"u"	"ŋ"	"u"			
"蛾"	"蛾"	"ŋu22"	"ngu2"		2	22		"ng"	"u"	"ŋ"	"u"			
"俄"	"俄"	"ŋu22"	"ngu2"		2	22		"ng"	"u"	"ŋ"	"u"			
"我"	"我"	"βu213"	"vu4"	"第一人称单数。"	4	213		"v"	"u"	"β"	"u"			
