ID	IPA	simp	trad	detail	piŋyiŋ	调类
	tsɿ⁴²³	置	寘	俗置字		tsɿ5
	tsɿ⁴⁵	徵	徵	宮商角～羽		tsɿ3
	tsʰɿ⁵³	魑	魑	～魅魍魎		tsʰɿ1
	tsʰɿ⁵³	雌	雌			tsʰɿ1
	tsʰɿ⁵³	疵	疵	瑕～		tsʰɿ1
	ɦiɑ¹³	瑕	瑕	～疵		ɦiɑ2
	tsʰɿ⁵³	眵	眵	眼～		tsʰɿ1
	tsʰɿ⁵³	牸	牸	～牛		tsʰɿ1
	tsʰɿ⁵³	痴	痴			tsʰɿ1
	tsʰɿ⁵³	痴	癡			tsʰɿ1
	tsʰɿ⁵³	蚩	蚩			tsʰɿ1
	tsʰɿ⁵³	嗤	嗤			tsʰɿ1
	tsʰɿ⁵³	吹	吹	（又）～牛屄		tsʰɿ1
	tsʰɿ⁵³	粢	粢	～飯		tsʰɿ1
	tsʰɿ⁴⁵	侈	侈	奢～品		tsʰɿ3
	tsʰɿ⁴⁵	此	此			tsʰɿ3
	tsʰɿ⁴⁵	齿	齒			tsʰɿ3
	tsʰɿ⁴⁵	耻	耻	俗恥字		tsʰɿ3
	tsʰɿ⁴⁵	耻	恥			tsʰɿ3
	tsʰɿ⁴²³	刺	刺			tsʰɿ5
	tsʰɿ⁴²³	次	次			tsʰɿ5
	tsʰɿ⁴²³	厕	厠	俗廁字		tsʰɿ5
	tsʰɿ⁴²³	厕	廁			tsʰɿ5
	dzɿ¹³	池	池			dzɿ2
	dzɿ¹³	驰	馳			dzɿ2
	zɿ¹³	匙	匙	鑰～		zɿ2
	dzɿ¹³	匙	匙	湯～		dzɿ2
	dzɿ¹³	迟	遲			dzɿ2
	dzɿ¹³	持	持			dzɿ2
	dzɿ²¹³	滞	滯			dzɿ6
	dzɿ²¹³	稚	稚			dzɿ6
	dzɿ²¹³	雉	雉			dzɿ6
	dzɿ²¹³	痔	痔			dzɿ6
	dzɿ²¹³	治	治			dzɿ6
	sɿ⁵³	斯	斯			sɿ1
	sɿ⁵³	厮	廝			sɿ1
	sɿ⁵³	撕	撕			sɿ1
	sɿ⁵³	施	施			sɿ1
	sɿ⁵³	私	私			sɿ1
	sɿ⁵³	厶	厶	古同私		sɿ1
	sɿ⁵³	师	師			sɿ1
	sɿ⁵³	狮	獅			sɿ1
	sɿ⁵³	蛳	螄	螺～		sɿ1
	sɿ⁵³	尸	屍	～體		sɿ1
	sɿ⁵³	尸	尸	～位素餐		sɿ1
	sɿ⁵³	矢	矢			sɿ1
	sɿ⁵³	司	司			sɿ1
	sɿ⁵³	思	思			sɿ1
	sɿ⁵³	丝	絲			sɿ1
	sɿ⁵³	诗	詩			sɿ1
	sɿ⁴⁵	死	死			sɿ3
	sɿ⁴⁵	屎	屎			sɿ3
	sɿ⁴⁵	使	使			sɿ3
	sɿ⁴⁵	史	史			sɿ3
	sɿ⁴⁵	驶	駛			sɿ3
	sɿ⁴²³	世	世			sɿ5
	sɿ⁴²³	势	勢			sɿ5
	sɿ⁴²³	赐	賜			sɿ5
	sɿ⁴²³	四	四			sɿ5
	sɿ⁴²³	泗	泗			sɿ5
	sɿ⁴²³	肆	肆			sɿ5
	sɿ⁴²³	试	試			sɿ5
	zɿ¹³	瓷	瓷			zɿ2
	zɿ¹³	糍	糍			zɿ2
	zɿ¹³	餈	餈			zɿ2
	tsɿ⁵³	兹	兹			tsɿ1
	tsɿ⁵³	兹	茲			tsɿ1
	zɿ¹³	慈	慈			zɿ2
	zɿ¹³	磁	磁			zɿ2
	zɿ¹³	词	詞			zɿ2
	zɿ¹³	辞	辭			zɿ2
	zɿ¹³	祠	祠			zɿ2
	zɿ¹³	时	時			zɿ2
	zɿ¹³	鲥	鰣	～魚		zɿ2
	zɿ¹³	莳	蒔			zɿ2
	zɿ²¹³	誓	誓			zɿ6
	zɿ²¹³	逝	逝			zɿ6
	zɿ²¹³	是	是			zɿ6
	zɿ²¹³	氏	氏			zɿ6
	zɿ²¹³	自	自			zɿ6
	zɿ²¹³	示	示			zɿ6
	zɿ²¹³	视	視			zɿ6
	zɿ²¹³	字	字			zɿ6
	dzɿ²¹³	字	字	僅“字詞”一詞		dzɿ6
	zɿ²¹³	伺	伺			zɿ6
	zɿ²¹³	似	似			zɿ6
	zɿ²¹³	寺	寺			zɿ6
	zɿ²¹³	嗣	嗣			zɿ6
	zɿ²¹³	饲	飼			zɿ6
	zɿ²¹³	巳	巳			zɿ6
	zɿ²¹³	祀	祀			zɿ6
	zɿ²¹³	士	士			zɿ6
	zɿ²¹³	仕	仕			zɿ6
	zɿ²¹³	柿	柿			zɿ6
	zɿ²¹³	俟	俟			zɿ6
	zɿ²¹³	事	事			zɿ6
	zɿ²¹³	市	市			zɿ6
	zɿ²¹³	侍	侍			zɿ6
	zɿ²¹³	墅	墅	別～，戚～堰（常州地名）		zɿ6
	pi⁵³	屄	屄			pi1
	pi⁴⁵	鄙	鄙			pi3
	pi⁴⁵	彼	彼			pi3
	pi⁴⁵	比	比			pi3
	pi⁴²³	蔽	蔽			pi5
	pi⁴²³	闭	閉			pi5
	pi⁴²³	泌	泌			pi5
	pi⁴²³	秘	秘			pi5
	pi⁴²³	秘	祕			pi5
	pi⁴²³	庇	庇			pi5
	pi⁴²³	滗	潷	～米湯		pi5
	pʰi⁵³	批	批			pʰi1
	pʰi⁵³	披	披			pʰi1
	pʰi⁵³	纰	紕			pʰi1
	pʰi⁴⁵	痞	痞			pʰi3
	pʰi⁴²³	屁	屁			pʰi5
	bi¹³	脾	脾			bi2
	bi¹³	疲	疲			bi2
	bi¹³	皮	皮			bi2
	bi¹³	毗	毗	～陵		bi2
	bi¹³	毗	毘	～陵		bi2
	bi¹³	貔	貔	～貅		bi2
	bi¹³	琵	琵			bi2
	bi¹³	肥	肥	（白）～皂		bi2
	bi²¹³	敝	敝			bi6
	bi²¹³	弊	弊			bi6
	bi²¹³	币	幣			bi6
	bi²¹³	毙	斃			bi6
	bi²¹³	陛	陛			bi6
	bi²¹³	鐾	鐾	～刀		bi6
	bi²¹³	被	被			bi6
	bi²¹³	婢	婢			bi6
	bi²¹³	避	避			bi6
	bi²¹³	痹	痺			bi6
	bi²¹³	痹	痹			bi6
	bi²¹³	备	備	準～，～好		bi6
	bei²¹³	备	備	（文）		bei6
	bi²¹³	备	俻	準～，～好		bi6
	bei²¹³	备	俻	（文）		bei6
	mi⁵³	眯	瞇			mi1
	mi¹³	迷	迷			mi2
	mi¹³	谜	謎			mi2
	mi¹³	糜	糜			mi2
	mi¹³	弥	彌			mi2
	mi¹³	弥	瀰	～漫		mi2
	mi¹³	弥	㳽	～漫		mi2
	mi¹³	靡	靡			mi2
	mi¹³	眉	眉	～毛		mi2
	mi⁴⁵	米	米			mi3
	mi²¹³	味	味	（白）～道		mi6
	fi⁵³	非	非			fi1
	fi⁵³	飞	飛			fi1
	fi⁵³	妃	妃			fi1
	fi⁴⁵	匪	匪			fi3
	fi⁴²³	费	費			fi5
	vi²⁴	费	費	姓		vi6
	fi⁴²³	翡	翡			fi5
	fi⁴²³	废	廢			fi5
	fi⁴²³	肺	肺			fi5
	fi⁴²³	吠	吠			fi5
	vi¹³	维	維			vi2
	vi¹³	惟	惟			vi2
	vi¹³	唯	唯			vi2
	vi¹³	肥	肥	（文）～料		vi2
	vi¹³	微	微			vi2
	vi²¹³	未	未			vi6
	vi²¹³	味	味	（文）～之素：味精		vi6
	ti⁵³	低	低			ti1
	ti⁴⁵	底	底			ti3
	ti⁴⁵	抵	抵	～抗		ti3
	ti⁴⁵	抵	牴	～觸		ti3
	ti⁴⁵	抵	觝	～觸		ti3
	ti⁴⁵	砥	砥	中流～柱		ti3
	ti⁴²³	帝	帝			ti5
	ti⁴²³	蒂	蒂			ti5
	tʰi⁵³	梯	梯			tʰi1
	tʰi⁵³	涕	涕	鼻～		tʰi1
	tʰi⁴²³	屉	屉			tʰi5
	tʰi⁴²³	屉	屜			tʰi5
	tʰi⁴²³	笹	笹	同屜		tʰi5
	tʰi⁴⁵	体	體			tʰi3
	tʰi⁴⁵	体	体	俗體字		tʰi3
	tʰi⁴⁵	躰	躰	俗體字		tʰi3
	tʰi⁴⁵	軆	軆	俗體字		tʰi3
	tʰi⁴⁵	骵	骵	俗體字		tʰi3
	tʰi⁴²³	剃	剃	～頭		tʰi5
	tʰi⁴²³	剃	薙	～頭		tʰi5
	tʰi⁴²³	鬄	鬄			tʰi5
	tʰi⁴²³	剃	鬀	～頭		tʰi5
	tʰi⁴²³	薙	薙	草～京（人名）		tʰi5
	tʰi⁴²³	替	替			tʰi5
	di¹³	堤	堤			di2
	di¹³	题	題			di2
	di¹³	提	提			di2
	di¹³	醍	醍	～醐		di2
	di¹³	鹈	鵜	～鶘		di2
	di¹³	蹄	蹄			di2
	di¹³	蹄	蹏			di2
	di¹³	啼	啼			di2
	di¹³	啼	嗁			di2
	di²¹³	弟	弟			di6
	di²¹³	第	第			di6
	di²¹³	递	遞			di6
	di²¹³	隶	隸			di6
	di²¹³	隶	隷			di6
	di²¹³	棣	棣			di6
	di²¹³	地	地			di6
	li¹³	驴	驢			li2
	li¹³	犁	犁			li2
	li¹³	犁	犂			li2
	li¹³	黎	黎			li2
	li¹³	黎	㴝			li2
	li¹³	离	離			li2
	li¹³	漓	漓	淋～		li2
	li¹³	漓	灕	～江（廣西水名）		li2
	li¹³	篱	籬			li2
	li¹³	璃	璃			li2
	li¹³	璃	瓈			li2
	li¹³	梨	梨			li2
	li¹³	梨	棃			li2
	li¹³	厘	厘			li2
	li¹³	厘	釐			li2
	li¹³	狸	狸			li2
	li⁴⁵	吕	呂			li3
	li⁴⁵	旅	旅			li3
	li⁴⁵	缕	縷			li3
	li⁴⁵	屡	屢	又		li3
	li⁴⁵	礼	禮			li3
	li⁴⁵	李	李			li3
	li⁴⁵	里	里	公～		li3
	li⁴⁵	里	裏	～面		li3
	li⁴⁵	里	裡	～面		li3
	li⁴⁵	理	理			li3
	li⁴⁵	俚	俚			li3
	li⁴⁵	娌	娌	妯～		li3
	li⁴⁵	鲤	鯉			li3
	li²¹³	滤	濾			li6
	li²¹³	虑	慮			li6
	li²¹³	例	例			li6
	li²¹³	厉	厲			li6
	li²¹³	励	勵			li6
	li²¹³	丽	麗			li6
	li²¹³	履	履			li6
	li²¹³	利	利			li6
	li²¹³	俐	俐	伶～		li6
	li²¹³	蜊	蜊	蛤～		li6
	li²¹³	痢	痢			li6
	li²¹³	吏	吏			li6
	li²¹³	泪	淚			li6
	tsi⁵³	齑	齏	腌～：青菜、雪菜剁碎後清炒的一種小菜		tsi1
	dzi¹³	荠	薺	荸～		dzi2
	tsi⁴⁵	挤	擠			tsi3
	tsi⁴²³	祭	祭			tsi5
	tsi⁴²³	际	際			tsi5
	tsi⁴²³	济	濟			tsi5
	tsi⁴²³	剂	劑			tsi5
	tsi⁴²³	醉	醉	又		tsi5
	tsi⁴²³	左	左	～手		tsi5
	tsʰi⁵³	蛆	蛆			tsʰi1
	tsʰi⁵³	趋	趨			tsʰi1
	tsʰi⁵³	妻	妻			tsʰi1
	tsʰi⁵³	凄	淒			tsʰi1
	tsʰi⁵³	栖	棲			tsʰi1
	tsʰi⁵³	栖	栖			tsʰi1
	tsʰi⁴⁵	取	取			tsʰi3
	tsʰi⁴⁵	娶	娶			tsʰi3
	tsʰi⁴²³	趣	趣			tsʰi5
	tsʰi⁴²³	砌	砌			tsʰi5
	dzi¹³	齐	齊	又		dzi2
	dzi¹³	脐	臍	肚～眼		dzi2
	si⁵³	絮	絮			si1
	si⁵³	须	須	必～		si1
	səɯ⁵³	须	鬚	鬍～		səɯ1
	si⁵³	需	需			si1
	si⁵³	西	西			si1
	si⁵³	犀	犀			si1
	si⁵³	婿	婿			si1
	si⁵³	胥	胥			si1
	si⁵³	髓	髓			si1
	si⁴⁵	洗	洗			si3
	si⁴⁵	玺	璽			si3
	si⁴⁵	徙	徙			si3
	si⁴²³	细	細			si5
	zi¹³	徐	徐			zi2
	zi¹³	齐	齊	又		zi2
	zi²¹³	序	序			zi6
	zi²¹³	叙	叙			zi6
	zi²¹³	叙	敘			zi6
	zi²¹³	叙	敍			zi6
	zi²¹³	绪	緒			zi6
	zi²¹³	聚	聚	又		zi6
	tɕi⁵³	姬	姬			tɕi1
	tɕi⁵³	鸡	鷄			tɕi1
	tɕi⁵³	鸡	雞			tɕi1
	tɕi⁵³	稽	稽			tɕi1
	tɕi⁵³	玑	璣			tɕi1
	tɕi⁵³	饥	飢	～餓		tɕi1
	tɕi⁵³	饥	饑	～饉		tɕi1
	tɕi⁵³	肌	肌			tɕi1
	tɕi⁵³	几	几	茶～		tɕi1
	tɕi⁵³	麂	麂	～皮		tɕi1
	tɕi⁵³	基	基			tɕi1
	tɕi⁵³	几	幾	～乎		tɕi1
	tɕi⁵³	机	機			tɕi1
	tɕi⁵³	讥	譏			tɕi1
	tɕi⁵³	箕	箕			tɕi1
	tɕi⁵³	奇	奇			tɕi1
	tɕi⁴⁵	几	幾	老～		tɕi3
	tɕi⁴²³	计	計			tɕi5
	tɕi⁴²³	继	繼			tɕi5
	tɕi⁴²³	冀	冀			tɕi5
	tɕi⁴²³	记	記			tɕi5
	tɕi⁴²³	纪	紀			tɕi5
	tɕi⁴²³	寄	寄			tɕi5
	tɕi⁴²³	既	既			tɕi5
	tɕi⁴²³	既	旣			tɕi5
	tɕi⁴²³	暨	暨	～陽（江陰古稱）		tɕi5
	tɕi⁴²³	暨	曁	～陽（江陰古稱）		tɕi5
	tɕi⁴²³	蓟	薊			tɕi5
	tɕi⁴²³	季	季			tɕi5
	tɕʰi⁵³	溪	溪	小～		tɕʰi1
	tɕʰi⁵³	溪	谿	玉～生（李商隱），慈～（浙江地名）		tɕʰi1
	tɕʰi⁵³	谿	谿	姓		tɕʰi1
	tɕʰi⁵³	欺	欺			tɕʰi1
	tɕʰi⁵³	岂	豈			tɕʰi1
	tɕʰi⁴⁵	启	啓			tɕʰi3
	tɕʰi⁴⁵	启	啟			tɕʰi3
	tɕʰi⁴⁵	起	起			tɕʰi3
	tɕʰi⁴⁵	企	企			tɕʰi3
	tɕʰi⁴²³	契	契			tɕʰi5
	tɕʰi⁴²³	器	器			tɕʰi5
	tɕʰi⁴²³	弃	棄			tɕʰi5
	tɕʰi⁴²³	弃	弃	古文棄字		tɕʰi5
	tɕʰi⁴²³	气	气	古文氣字		tɕʰi5
	tɕʰi⁴²³	气	氣			tɕʰi5
	tɕʰi⁴²³	炁	炁	同氣		tɕʰi5
	tɕʰi⁴²³	汽	汽			tɕʰi5
	dʑi¹³	祇	祇	神～		dʑi2
	dʑi¹³	畿	畿			dʑi2
	dʑi¹³	奇	奇			dʑi2
	dʑi¹³	骑	騎			dʑi2
	dʑi¹³	岐	岐			dʑi2
	dʑi¹³	歧	歧			dʑi2
	dʑi¹³	祁	祁			dʑi2
	dʑi¹³	鳍	鰭			dʑi2
	dʑi¹³	其	其			dʑi2
	dʑi¹³	棋	棋			dʑi2
	dʑi¹³	期	期			dʑi2
	dʑi¹³	旗	旗			dʑi2
	dʑi¹³	麒	麒			dʑi2
	dʑi¹³	祈	祈			dʑi2
	tɕʰi⁴⁵	绮	綺			tɕʰi3
	dʑi²¹³	骑	騎			dʑi6
	dʑi²¹³	妓	妓			dʑi6
	dʑi²¹³	伎	伎			dʑi6
	dʑi²¹³	技	技			dʑi6
	dʑi²¹³	忌	忌			dʑi6
	ȵi¹³	泥	泥			ȵi2
	ȵi¹³	霓	霓			ȵi2
	ȵi¹³	倪	倪			ȵi2
	ȵi¹³	宜	宜	便～		ȵi2
	ɦi¹³	宜	宜	適～		ɦi2
	ȵi¹³	尼	尼			ȵi2
	ȵi¹³	呢	呢	～子大衣		ȵi2
	ȵi¹³	疑	疑			ȵi2
	ȵi¹³	拟	擬			ȵi2
	ȵi¹³	沂	沂	臨～		ȵi2
	ȵi⁴⁵	你	你	第二人稱		ȵi3
	ȵi⁴⁵	你	妳	用於女性的第二人稱		ȵi3
	ȵi⁴⁵	你	祢	用於神的第二人稱		ȵi3
	ȵi⁴⁵	你	伱	同你		ȵi3
	ȵi⁴⁵	你	儞	同你		ȵi3
	ȵi²¹³	艺	藝			ȵi6
	ȵi²¹³	谊	誼			ȵi6
	ȵi²¹³	腻	膩			ȵi6
	ȵi²¹³	二	二			ȵi6
	ɕi⁵³	羲	羲			ɕi1
	ɕi⁵³	曦	曦			ɕi1
	ɕi⁵³	牺	犧			ɕi1
	ɕi⁵³	熙	熙			ɕi1
	ɕi⁵³	熙	煕			ɕi1
	ɕi⁵³	熙	熈	俗熙字		ɕi1
	ɕi⁵³	希	希			ɕi1
	ɕi⁵³	稀	稀			ɕi1
	ɕi⁵³	嬉	嬉			ɕi1
	ɕi⁴⁵	喜	喜			ɕi3
	ɕi⁴²³	系	系	（新文讀）～統		ɕi5
	ɕi⁴²³	系	係	（新文讀）關～		ɕi5
	ɕi⁴²³	戏	戲			ɕi5
	ɕi⁴²³	戏	戱			ɕi5
	ɕi⁴²³	戏	戯			ɕi5
	ɦi¹³	奚	奚			ɦi2
	ɦi¹³	携	携	俗攜字		ɦi2
	ɦi¹³	携	攜	～帶		ɦi2
	ɦi¹³	携	擕	俗攜字		ɦi2
	ɦi¹³	携	㩗	俗攜字		ɦi2
	ɦi¹³	携	㩦	俗攜字		ɦi2
	ɦi¹³	畦	畦			ɦi2
	ɦi¹³	移	移			ɦi2
	ɦi¹³	夷	夷			ɦi2
	ɦi¹³	姨	姨			ɦi2
	ɦi¹³	遗	遺			ɦi2
	ɦi¹³	仪	儀			ɦi2
	ɦi²¹³	系	系	院～，～統		ɦi6
	ɦi²¹³	系	繫	～鞋帶，聯～		ɦi6
	ɦi²¹³	系	係	關～		ɦi6
	ɦʰei²¹³	系	係	應答聲，相當於“是的”		ɦʰei6
	ɦi²¹³	蚁	蟻			ɦi6
	ɦi²¹³	义	義			ɦi6
	ɦi²¹³	议	議			ɦi6
	ȵi²¹³	羿	羿			ȵi6
	ȵi²¹³	毅	毅			ȵi6
	ɦi²¹³	裔	裔			ɦi6
	ɦi²¹³	易	易	容～		ɦi6
	ɦi²¹³	肄	肄			ɦi6
	ɦi²¹³	异	異			ɦi6
	ɦi²¹³	异	异	同異		ɦi6
	ɦi²¹³	亿	億			ɦi6
	ɦiɪʔ²⁴	忆	憶	記～		ɦiɪʔ8
	ɦi²¹³	刈	刈	磨～落著：磨损了		ɦi6
	ɦi²¹³	乂	乂			ɦi6
	i⁵³	医	醫			i1
	i⁵³	伊	伊			i1
	i⁵³	衣	衣			i1
	i⁵³	依	依			i1
	i⁴⁵	以	以			i3
	i⁴⁵	已	已			i3
	i⁴⁵	矣	矣			i3
	i⁴²³	意	意			i5
	pu⁵³	波	波			pu1
	pu⁵³	菠	菠			pu1
	pu⁵³	簸	簸			pu1
	pu⁵³	播	播			pu1
	pu⁵³	玻	玻			pu1
	pu⁴⁵	补	補			pu3
	pu⁴²³	布	布			pu5
	pu⁴²³	布	佈	～置		pu5
	pu⁴²³	怖	怖			pu5
	pʰu⁵³	颇	頗	景～		pʰu1
	pʰu⁵³	坡	坡			pʰu1
	pʰu⁵³	铺	鋪	～床		pʰu1
	pʰu⁴⁵	谱	譜			pʰu3
	pʰu⁴⁵	圃	圃			pʰu3
	pʰu⁴⁵	普	普			pʰu3
	pʰu⁴⁵	浦	浦			pʰu3
	pʰu⁴⁵	脯	脯			pʰu3
	pʰu⁴²³	破	破			pʰu5
	pʰu⁴²³	铺	鋪	店～		pʰu5
	pʰu⁴²³	铺	舖	店～		pʰu5
	bu¹³	婆	婆			bu2
	bu¹³	抚	撫	～一～：輕輕摸一摸		bu2
	bu¹³	蒲	蒲			bu2
	bu¹³	菩	菩			bu2
	bu¹³	脯	脯			bu2
	bu¹³	葡	葡			bu2
	bəʔ²⁴	葡	葡	～萄		bəʔ8
	bu¹³	孵	孵			bu2
	bu²¹³	部	部			bu6
	bu²¹³	簿	簿			bu6
	bu²¹³	步	步			bu6
	bu²¹³	捕	捕			bu6
	bu²¹³	埠	埠			bu6
	bu²¹³	伏	伏	～下來		bu6
	fu⁵³	孵	孵			fu1
	fu⁵³	俘	俘			fu1
	fu⁵³	夫	夫			fu1
	fu⁵³	肤	膚			fu1
	fu⁵³	敷	敷			fu1
	fu⁵³	麸	麩			fu1
	fu⁴⁵	府	府			fu3
	fu⁴⁵	腑	腑			fu3
	fu⁴⁵	俯	俯			fu3
	fu⁴⁵	甫	甫			fu3
	fu⁴⁵	斧	斧			fu3
	fu⁴⁵	釜	釜			fu3
	fu⁴⁵	辅	輔			fu3
	fu⁴⁵	武	武			fu3
	fu⁴⁵	舞	舞			fu3
	fu⁴⁵	侮	侮			fu3
	fu⁴⁵	鹉	鵡			fu3
	fu⁴²³	付	付			fu5
	fu⁴²³	傅	傅			fu5
	fu⁴²³	赋	賦			fu5
	fu⁴²³	咐	咐			fu5
	fu⁴²³	赴	赴			fu5
	fu⁴²³	讣	訃			fu5
	fu⁴²³	富	富			fu5
	fu⁴²³	副	副			fu5
	vu¹³	符	符			vu2
	vu¹³	扶	扶			vu2
	vu¹³	芙	芙			vu2
	vu¹³	无	無			vu2
	vu¹³	巫	巫			vu2
	vu¹³	浮	浮			vu2
	vu¹³	抚	撫			vu2
	vu²¹³	傅	傅			vu6
	vu²¹³	父	父			vu6
	vu²¹³	腐	腐			vu6
	vu²¹³	附	附			vu6
	vu²¹³	驸	駙			vu6
	vu²¹³	务	務			vu6
	vu²¹³	雾	霧			vu6
	vu²¹³	妇	婦			vu6
	vu²¹³	负	負			vu6
	vu²¹³	戊	戊			vu6
	vu²¹³	腐	腐			vu6
	ku⁵³	姑	姑			ku1
	ku⁵³	孤	孤			ku1
	ku⁵³	箍	箍			ku1
	ku⁵³	鸪	鴣			ku1
	ku⁵³	辜	辜			ku1
	ku⁴⁵	古	古			ku3
	ku⁴⁵	估	估			ku3
	ku⁴⁵	牯	牯			ku3
	ku⁴⁵	股	股			ku3
	ku⁴⁵	鼓	鼓			ku3
	ku⁴²³	故	故			ku5
	ku⁴²³	固	固			ku5
	ku⁴²³	锢	錮			ku5
	ku⁴²³	雇	雇	～用，姓		ku5
	ku⁴²³	雇	僱	～用		ku5
	ku⁴²³	顾	顧			ku5
	kʰu⁵³	枯	枯			kʰu1
	kʰu⁴⁵	苦	苦			kʰu3
	kʰu⁴²³	库	庫			kʰu5
	kʰu⁴²³	裤	褲			kʰu5
	hu⁵³	呼	呼			hu1
	hu⁴⁵	虎	虎			hu3
	hu⁴⁵	琥	琥			hu3
	hu⁴⁵	浒	滸	水～傳		hu3
	ɕy⁴⁵	浒	滸	～墅關		ɕy3
	ɦu¹³	吴	吳			ɦu2
	ɦu¹³	蜈	蜈			ɦu2
	ɦu¹³	梧	梧			ɦu2
	ɦu¹³	鹕	鶘	鵜～		ɦu2
	ɦu¹³	醐	醐	醍～		ɦu2
	ɦu¹³	胡	胡	～嚨：喉嚨，～琴		ɦu2
	ɦu¹³	胡	鬍	～鬚		ɦu2
	ɦu¹³	胡	衚	～衕		ɦu2
	ɦu¹³	狐	狐			ɦu2
	ɦu¹³	湖	湖			ɦu2
	ɦu¹³	壶	壺			ɦu2
	ɦu¹³	葫	葫			ɦu2
	ɦu¹³	糊	糊			ɦu2
	ɦu¹³	蝴	蝴			ɦu2
	ɦu¹³	乎	乎			ɦu2
	ɦu²¹³	误	誤			ɦu6
	ɦu²¹³	悟	悟			ɦu6
	ɦu²¹³	户	戶			ɦu6
	ɦu²¹³	沪	滬			ɦu6
	ɦu²¹³	互	互			ɦu6
	ɦu²¹³	护	護			ɦu6
	u⁵³	乌	烏			u1
	u⁵³	污	污			u1
	u⁵³	污	汙			u1
	u⁵³	坞	塢			u1
	u⁵³	诬	誣			u1
	u⁴⁵	伍	伍			u3
	u⁴⁵	午	午			u3
	tɕy⁵³	诸	諸			tɕy1
	tɕy⁵³	居	居			tɕy1
	tɕy⁵³	车	車	～馬炮		tɕy1
	tɕy⁵³	诛	誅			tɕy1
	tɕy⁵³	蛛	蛛	結～：蜘蛛		tɕy1
	tɕy⁵³	蛛	鼄	結～：蜘蛛		tɕy1
	tɕy⁵³	株	株			tɕy1
	tɕy⁵³	朱	朱			tɕy1
	tɕy⁵³	朱	硃	～砂		tɕy1
	tɕy⁵³	珠	珠			tɕy1
	dʑy¹³	殊	殊			dʑy2
	tɕy⁵³	拘	拘			tɕy1
	tɕy⁵³	驹	駒			tɕy1
	tɕy⁵³	矩	矩			tɕy1
	tɕy⁵³	猪	豬			tɕy1
	tɕy⁵³	褚	褚			tɕy1
	tɕy⁴⁵	渚	渚			tɕy3
	tɕy⁴⁵	煮	煮			tɕy3
	tɕy⁴⁵	举	舉			tɕy3
	tɕy⁴⁵	举	擧			tɕy3
	tɕy⁴⁵	柜	柜	～柳		tɕy3
	tɕy⁴⁵	榉	櫸			tɕy3
	tɕy⁴⁵	榉	𣟱			tɕy3
	tɕy⁴⁵	榉	欅			tɕy3
	tɕy⁴⁵	拄	拄			tɕy3
	tɕy⁴⁵	主	主			tɕy3
	tɕy⁴²³	著	著	～名		tɕy5
	tɕy⁴²³	据	据	拮～		tɕy5
	tɕy⁴²³	据	據			tɕy5
