				#调值 [1]44 [2]243 [3]213 [4]53 [0]輕聲
字	聲韻	調	注釋	
今	tɕiɛɹ	44	“今兒”的合音	
個	kɤ		輕聲，今兒~	
暖	nau	213	~和	
和	xũ		輕聲，暖~	
做	tsou	53		
飯	fan	53		
了	lɤ		輕聲，助詞	
杯	stakan		俄語借詞	
滿	man	243	可能是變調	
水	suei	213		
擱	kau	243		
多	tuo	44		
少	sau	44		
這	tɕiɛ	53		
件	tɕʰiã	53		
衣	i	44		
衫	xan		輕聲，衣~	
你	ni	213		
穿	tsʰuan	44		
得	tɤ		輕聲，助詞	
大	ta	53		
兩	liɑŋ	243		
家	tɕia	53		
人	in	213		
家	tɕia		輕聲，人~	
我	uo	213		
錢	tɕʰian	243		
不	pu	243		
夠	kou	53		
使	sɿ	213		
喚	xuã		輕聲，使~	
來	lei	243		
吧	pa		輕聲	
串	tsʰuan	53		
門	meiɹ	243	“門兒”的合音，串~	
里	li		輕聲，這~	
起	tɕʰi	243		
火	xuo	243		
逮	tei	213	表示“在”、“喫”等含義：~這兒，~飯	
這	tɕiaɹ	53	“這兒”的合音	
幹	kã	53	~什麼	
幹	kan	53	~活	
什	xan	243	~麼	
麼	ma		輕聲，什~	
擋	tɑŋ	53	“耽誤”之意	
活	xuo	243		
