			中山石岐話			南蓢白話			珠海唐家話												
	單字		聲母	韻母	聲調	聲母	韻母	聲調	聲母	韻母	聲調	注釋									
	東		t	ʊŋ	55	t	ʊŋ	45	t	ʊŋ	55										
	凍		t	ʊŋ	33	t	ʊŋ	33	t	ʊŋ	22										
	鶇		t	ʊŋ	55	t	ʊŋ	45	t	ʊŋ	55										
	通		tʰ	ʊŋ	55	tʰ	ʊŋ	45	tʰ	ʊŋ	55										
	俑		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21										
	桐		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51										
	洞		t	ʊŋ	33	t	ʊŋ	33	t	ʊŋ	22										
	筒		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51										
	銅		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51										
	僮		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	書僮									
	僮		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22	僮族									
	童		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51										
	同		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51										
	仝		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51										
	聾		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51										
	朧		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51										
	嚨		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51										
	瓏		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51										
	籠		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51										
	隆		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51										
	窿		l	ʊŋ	55	l	ʊŋ	45	l	ʊŋ	55										
	聰		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55										
	囪		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55										
	蔥		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55										
	叢		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51										
	嵩		s	ʊŋ	55	s	ʊŋ	45	s	ʊŋ	55										
	衷		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	忠		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	中		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	中間									
	中		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	中獎									
	忡		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55										
	蟲		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51										
	沖		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55										
	崇		s	ʊŋ	51	s	ʊŋ	51	s	ʊŋ	51										
	眾		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22										
	螽		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	終		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	充		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55										
	絨		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	功		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	工		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	蚣		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	公		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	攻		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	躬		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	宮		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	弓		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	空		kʰ	ʊŋ	55	kʰ	ʊŋ	45	kʰ	ʊŋ	55										
	穹		kʰ	ʊŋ	51	kʰ	ʊŋ	51	kʰ	ʊŋ	51										
	訌		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51										
	洪		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51										
	虹		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51										
	烘		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22										
	紅		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	紅色									
	紅		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	女紅									
