字	声母	韵母	调值	備註	陰平54 陰上32 陰去52 陰入2  陽平24 陽去21 陽入4		
一	0	iʔ	2				
丁	t	ɛŋ	54				
七	tsʰ	iʔ	2				
三	ɬ	ɒ̃	54	白讀			
三	ɬ	aŋ	54	文讀			
上	ɬ	yøŋ	21				
下	h	ɒ	21	白讀			
下	h	a	21	文讀			
丐	k	ai	52				
丑	tʰ	iu	32				
专	ts	uoŋ	54				
且	tsʰ	iã	32				
丕	pʰ	i	32				
世	ɬ	i/ya/e	52	文讀，出世，接續			
丗	ɬ	i/ya/e	52	文讀，出世，接續			
丙	p	iã/iŋ	32				
业	k	ieʔ	4				
丛	ts	aŋ	24	量詞			
东	t	aŋ/ɒŋ	54				
丝	ɬ	i	54				
丞	ɬ	iŋ	24				
两	n	ŋ	32	白讀，兩斤			
两	n	iũ	32	白讀，斤兩			
两	l	yøŋ	32	文讀			
严	ŋ	ɛŋ	24	白讀，手～～：手很冰			
严	ŋ	ieŋ	24				
丧	ɬ	ɒŋ	52	喪氣			
丫	0	a	54				
中	t	ɒŋ	54	白讀，~央			
中	t	yøŋ	54	文讀			
临	l	ɛŋ/iŋ	24	降臨，臨時			
丸	0	uĩ	24				
主	ts	ɔu/y	32				
丼	ts	ã/iŋ	32				
丽	l	e	21	美麗			
丽	l	e	24	高麗			
举	k	y	32				
乃	n	ai	32				
久	k	u	32	白讀			
久	k	iu	32	文讀			
义	k	i	21				
之	ts	i/o	54				
乌	0	ɔu	54				
乍	ts	a	52				
乎	h	ɔu	24				
乏	0	aʔ	4				
乐	k	aʔ	4	音樂。			
乔	k	ieu	24				
乗	ɬ	iŋ	24				
乘	ɬ	iŋ	24				
乙	0	iʔ	2				
九	k	au	32	白讀			
九	k	iu	32	文讀			
乞	kʰ	uoʔ	2				
也	0	ia	32				
习	ɬ	iʔ	4				
乡	h	iũ	54	白讀			
乡	h	yøŋ	54	文讀			
书	ts	y	54	白讀			
书	ɬ	y	54	文讀			
买	p	e	32	白讀			
买	m	ai	32	文讀			
乱	l	uoŋ	52				
乳	ts	y	32				
乾	k	yøŋ	24	乾坤。			
亂	l	uoŋ	52				
了	l	ieu	32				
事	t	ai	21	白讀			
事	ɬ	o	21	文讀			
二	ts	i	21				
于	0	u	24	文讀			
于	0	y	24	姓			
亏	kʰ	ui	54				
互	h	ɔu	21				
五	k	ɔu	21	白讀			
五	ŋ	ɔu	32	文讀			
井	ts	ã	32	白讀			
井	ts	iŋ	32	文讀			
亚	0	a	52				
亞	0	a	52				
亡	m	ɒŋ	24				
交	k	au	54				
亥	h	ai	21				
产	ɬ	aŋ	32				
亨	pʰ	ɛŋ	24				
享	h	yøŋ	32				
京	k	iã	54	白讀			
京	k	iŋ	54	文讀			
亭	t	ɛŋ	24				
亮	l	yøŋ	21				
亵	ɬ	ɛʔ	2	褻瀆。			
亿	0	i	52				
什	ɬ	iʔ	4				
仁	ts	iŋ	24				
仃	t	ɛŋ	54				
仄	ts	a	21				
仅	k	iŋ	21				
仇	k	iu	24				
今	k	iŋ	54				
介	k	ai	52				
仑	l	uoŋ	24				
仓	tsʰ	ŋ	54	白讀			
仓	tsʰ	ɒŋ	54	文讀			
仕	ɬ	o	21				
仗	t	yøŋ	21				
