字	音	注
□	taŋ[1]	啄(鳥)
□	lɔ[6]	找;𣍐=□得著mai5 lɔ6 te7 tio8 :找不著
□	lueˀ[8]	蟑螂
□	taiŋ[1]	蘸
□	wa[3]	窄。校：或認爲本字是“迫”
□	tʰoˀ[8]	扎
□	xa[6]	在；參見/si5 /是
□	lau[5]	遠
□	siaŋ[2]	引誘，呼喚豬喫
□	pau[2]	溢出
□	tiaŋ[6]	硯□ŋaiŋ6 tiaŋ6 :硯
□	ŋaiŋ[6]	研磨
□	luŋ[5]	溫暖
□	noiŋ[6]	聽□hiaŋ1 noiŋ6 :聽到;聽□得著hiaŋ1 noiŋ6 te7 tio8 :聽不懂;聽□伓=著hiaŋ1 noiŋ6 oiŋ5 tio8 :聽不到
□	ɣiŋ[2]	隨身攜帶。校：待考
□	neu[5]	樹根
□	pʰo[5]	石□tsio8 pho5 :巨大的石頭
□	nɔ[2]	揉
□	pʰuiˀ[8]	泡沫
□	pie[7]	女陰
□	le[2]	你□去noi9 le2 khɔ5 :你如果去;如果
□	nui[9]	男陰
□	tsʰiŋ[7]	目□mo8 tshiŋ7 :睡眠
□	tsɔŋ[5]	門□muŋ2 tsɔŋ5 :門閂
□	lyeŋ[9]	門□muŋ2 lyeŋ9 :門檻
□	ko[2]	饅頭□maiŋ2 heu2 ko2 :嬰兒。校：原作ku2 ；超出音系
□	leˀ[8]	流目□lau2 mo8 le8 :流眼淚;目□mo8 le8 :眼淚
□	paŋ[1]	跨過
□	waiŋ[3]	見/toi3 waiŋ3 /裏□;裏=□toi3 waiŋ3 :衣服襯裏。校：待考
□	ɣaŋ[6]	見/ko7 lɔ8 ɣaŋ6 /角落□;角落□ko7 lo8 ɣaŋ6 :角落。校：待考
□	tsiˀ[8]	肩□頭kaiŋ1 tsi8 heu2 :肩膀。校：待考
□	loi[9]	雞□kai1 loi9 :雞蝨;雞蝨
□	kui[5]	雞□kai1 kui5 :雞冠;髻
□	ɣaiŋ[9]	含銜
□	tso[3]	故□ko5 tso3 :因此。校：參考建甌ku3 tsʰu3
□	xa[5]	浮□水面上iu9 xa5 sy3 mieŋ6 tsioŋ6
□	toiŋ[6]	燉
□	kʰe[7]	翅膀
□	tʰeu[3]	巢
□	∅ue[9]	菜老。校：或認爲本字是“過”
□	tsʰioŋ[1]	菜□the5 tshioŋ1 :蔬菜園的高架床。校：待考
□	leŋ[9]	彩虹
□	hue[7]	擦。校：本字可能是擦，参考建甌tʰuɛ7
□	tsuiˀ[8]	擦
□	tsʰi[7]	閉上(眼睛);目珠□著mo8 tsiu1 tshi7 tio8 :眼睛閉著
□	nɔ[6]	笨
□	le[3]	懊惱得□au3 nau3 te7 le3 :懊惱得很。校：得很te7 le3 可參考建甌tɛ7 tɛ3 廣州tɐk7 tsɐi6 黎川tɛʔ7 hɛʔ8 ;急得□ki7 te7 le3 :急得很;忙得□mɔŋ2 te7 le3 ;霧大得□wo6 tue6 te7 le3 :霧大得很;想得□sioŋ3 te7 le3 :想得很
□	tsaŋ[5]	按壓
□	pʰaŋ[3]	□子phaŋ3 tsie3 :毯子。校：毯讀音特殊
□	niaˀ[8]	□子nia8 tsie3 :辮子
□	ɣiŋ[5]	□子ɣiŋ5 tsie3 :肫;雞□子kai1 ɣiŋ5 tsie3 :雞肫
□	keu[3]	□蚤keu3 tseu3 :跳蚤
□	ho[7]	□一=隻𠢠ho7 tsi8 tsia7 se8 :被一個刺扎;刺入
