"#符号说明：-白=文/书*俗?待考"	
"tʰ"	"［7］脱托［2］驼驮"
"n"	"［2］挪傩娜［7］搦"
"l"	"［2］罗萝螺锣逻［7］乐"
"ts"	"［7］拙着酌灼芍作凿昨卓桌琢啄浊镯捉擢濯"
"tsʰ"	"［7］龊矗戳绰撮［2］锄"
"s"	"［7］勺索朔"
"z"	"［7］若弱疟约药岳"
"k"	"［7］鸽割葛郭廓各阁搁胳角疙蛤铬个桷"
"kʰ"	"［7］磕瞌壳咳"
"h"	"［7］喝合盒豁活鹤霍貉涸褐［2］荷菏"
"ŋ"	"［7］鄂遏［2］蛾俄峨讹腭娥"
"#ə"	
"h"	"［1］他-它-"
"#əʔ"	
"z"	"［7］叶{树～}"
"#ɤ"	
"kʰ"	"［1］科蝌［5］去"
"h"	
"Ø"	"［3］尔耳饵恶洱［5］二贰"
"#ɤʔ"	
"t"	"［7］得德"
"tʰ"	"［7］特忒"
"n"	
"l"	"［7］肋勒"
"ts"	"［7］则贼泽择窄"
"tsʰ"	"［7］拆掣"
"s"	"［7］瑟啬"
"k"	"［7］格革隔"
"kʰ"	"［7］客刻克"
"h"	"［7］黑吓核阂赫"
"Ø"	"［7］而额厄扼"
"#i"	
"p"	"［3］蓖比秕彼鄙［5］臂被{棉～}蔽敝弊币毙闭陛庇痹备篦滗毖避鐾"
"pʰ"	"［1］披批纰［5］屁譬［3］彼痞"
"m"	"［3］米［5］秘泌"
"v"	
"t"	"［1］低的{～确}［3］底抵［5］蒂弟第递地帝的{目～}缔"
"tʰ"	"［1］梯［3］体［5］嚏替涕剃啼剔"
"n"	"［3］拟［5］腻逆溺"
"l"	"［1］的{我～}［3］吕旅礼李里狸理鲤你妳［5］虑滤例厉励丽隶荔呢腻蜊履利痢吏劣栗律率疬"
"ts"	"［1］知蜘踟支枝肢豉妓肌缉［3］藉纸挤济脂旨指止趾址臻［5］智制祭际剂技致稚至矢置痔治志痣炙寂这"
"tsʰ"	" ［1］痴妻差{参～}［3］耻齿侈杞［5］屉砌翅弃炽"
"s"	"［1］西栖牺犀奚兮施匙{钥～}尸诗［3］玺徙洗屎史驶使始［5］世势誓逝细婿是氏示视柿试市恃什式"
"k"	"［1］鸡基机讥饥屐畸箕稽［3］己纪几［5］计继系{～鞋带}寄记忌既季"
"kʰ"	"［1］欺期曲{弯～}［3］启企起曲{歌～}［5］契器气汽弃"
"h"	"［1］虚嘘溪熙希稀嬉［3］许喜［5］系{关～}戏"
"z"	"［1］医矣衣依［3］已以椅［5］艺蚁义议易冀肄意忆亿翼译抑疫"
"#iʔ"	
"p"	"［7］笔逼鼻碧毕必"
"pʰ"	"［7］匹璧壁辟劈霹［2］琵枇皮疲脾"
"m"	"［2］糜弥靡迷谜［7］密蜜觅汨"
"t"	"［7］滴嫡笛敌狄涤荻迪翟"
"tʰ"	"［2］堤题提蹄［7］踢惕"
"n"	"［7］霓尼昵［2］倪妮泥"
"l"	"［2］离篱璃离犁黎梨厘［7］立笠粒力历"
"ts"	"［7］只帜质集蛰执疾质即鲫织直值职殖植戟积迹脊籍藉绩辑"
"tsʰ"	"［2］池弛驰齐脐匙{汤～}岐歧迟鳍持［7］泣七漆膝赤尺戚{亲～}"
"s"	"［7］时鲥习袭湿十拾悉蟋实失室息熄食蚀识饰惜昔席夕适释石锡析"
"k"	"［7］急级及吸桔吉极击激菊鞠局圾掬汲"
"kʰ"	"［2］奇骑徛倚祁其棋旗麒岂祈［7］乞吃"
"h"	"［7］"
"z"	"［2］宜仪谊移夷姨疑沂遗［7］揖日乙一逸益缢"
"#u"	
"p"	"［3］补鼻哺［5］簸布怖部簿步"
"pʰ"	"［1］铺{～平}［3］谱圃普浦蒲捕甫脯［5］铺{店～}埠曝"
"m"	"［3］母拇［5］暮慕墓幕"
"f"	"［1］夫芙肤敷孵麸［3］府腑俯斧釜腐甫辅抚［5］付赋傅咐父附驸富副妇负赴阜"
"v"	"［1］乌污坞诬巫［3］五伍午武舞侮鹉［5］募误悟务雾戊鹜"
"t"	"［1］都督［3］堵赌肚{猪～}睹［5］肚{～子}妒杜度渡镀"
"tʰ"	"［1］突［3］土［5］吐"
"n"	"［3］弩［5］怒"
"l"	"［3］鲁橹虏卤汝撸努［5］路赂露鹭碌璐"
"ts"	"［1］诛［3］［5］箸助蛀铸做"
"tsʰ"	"［1］粗［3］储楚础杵［5］处醋"
"s"	"［1］苏酥［3］数{～钱}蜀［5］诉塑素嗉数{～目}竖漱"
"z"	
"k"	"［1］姑孤鸪辜估枯菇咕沽［3］古牯股鼓蛊骨［5］故固锢雇顾"
"kʰ"	"［1］箍窟［3］苦［5］酷"
"h"	"［1］呼乎［3］虎唬浒［5］戽户沪护互"
"#uʔ"	
"p"	"［7］不北百佰白"
"pʰ"	"［7］卜扑仆瀑濮朴璞［2］葡讣"
"m"	"［7］麦木目牧睦苜沐穆［2］模{～样}"
"f"	"［7］佛缚福蝠腹辐覆服伏复沸拂氟袱弗幅馥蝮匐茯［2］俘符扶浮涪"
"v"	"［2］吴蜈吾梧抚无［7］物勿握屋恶鹜"
"t"	"［7］独读牍犊笃督毒渎椟黩髑［2］屠"
"tʰ"	"［2］徒途涂图［7］秃"
"n"	"［7］"
"l"	"［7］鹿禄六陆绿录戮麓碌辘渌逯［2］卢炉芦鸬庐如-奴驽"
"ts"	"［7］卒族竹=筑逐祝粥足烛嘱镞蹙鬻竺舳瞩躅"
"tsʰ"	"［7］出畜搐触簇促猝矗蹴"
"s"	"［7］术速肃宿缩叔熟孰塾粟俗赎束属淑菽谡夙觫"
"z"	"［7］肉育辱褥欲入［2］儒如="
"k"	"［7］骨国谷毂"
"kʰ"	"［7］哭"
"h"	"［2］狐壶胡湖蝴糊瑚葫弧［7］忽斛鹄"
"#y"	
"ts"	"［1］蛛株朱珠猪诸居车{～马炮}租［3］拄矩煮举主注驻祖组阻［5］俱具惧橘巨据锯渠拒距聚柱住剧"
"tsʰ"	"［1］趋雏枢区驱蛆［3］取娶［5］处趣"
"s"	"［1］殊姝枢书纾舒需须［5］树续旭序叙绪絮煦［3］许诩栩"
"n"	"［3］女"
"l"	"［3］旅侣缕"
"z"	"［1］迂淤［3］语雨宇禹羽与［5］郁狱浴玉育毓芋寓"
"k"	"［1］拘驹［5］句"
"#yʔ"	
"tsʰ"	"［7］屈躇［2］瞿除厨橱滁雏"
"s"	"［7］蓄［2］徐"
"z"	"［7］役煜毓［2］鱼于圩盂余虞"
"l"	"［2］驴"
"#ɿ"	
"ts"	"［1］资姿咨兹滋之芝栀［3］紫姊子梓秩滓［5］滞自字牸巳"
"tsʰ"	"［1］疵［3］此［5］刺赐次"
"s"	"［1］斯厮撕私师狮蛳司丝思饲［3］死使［5］四肆嗜伺似祀寺士仕俟事侍嗣"
"#ɿʔ"	
"ts"	"［7］责侄竹-"
"tsʰ"	"［7］侧测策册斥［2］雌糍辞词祠厕茨磁瓷慈"
"s"	"［7］涩虱塞{堵～}色"
"#ia"	
"ts"	
"tsʰ"	
"s"	
"k"	"［1］家加痂嘉茄佳 ［3］假贾［5］架驾嫁稼价假"
"h"	"［1］虾［5］下夏厦吓"
"#iaʔ"	
"kʰ"	"［7］恰"
"tsʰ"	"［7］洽"
"s"	"［7］"
"k"	"［7］夹甲胛匣呷"
"h"	"［7］瞎辖峡侠狭挟［2］霞遐暇"
"#ua"	
"ts"	"［1］抓挝"
"s"	"［3］耍"
"k"	"［1］瓜［3］寡剐［5］挂卦褂"
"kʰ"	"［1］夸［3］垮［5］胯跨"
"h"	"［1］花哗［5］化划画话"
"#uaʔ"	
"ts"	
"s"	"［7］刷歃"
"k"	"［7］括刮"
"kʰ"	
"h"	"［7］滑猾［2］哗华铧桦"
"#ai"	
"p"	"［3］摆［5］拜败稗"
"pʰ"	"［1］拍［5］派［3］螃-"
"m"	"［3］买［5］卖迈"
"v"	"［1］歪［5］外"
"t"	"［1］呆［3］逮傣歹［5］戴带待怠殆代贷袋岱玳"
"tʰ"	"［1］胎台［5］太泰态钛肽汰［3］"
"n"	
"l"	"［5］赖癞濑耐奈［3］乃奶氖廼迺"
"ts"	"［1］灾栽斋摘斋［3］宰载崽仔窄［5］再载债寨"
"tsʰ"	"［1］猜钗差拆［3］采彩睬踩［5］菜蔡"
"s"	"［1］腮鳃筛塞筛［5］赛晒"
"z"	
"k"	"［1］该阶街皆［3］改解{～放}［5］盖介界芥尬疥届戒械钙"
"kʰ"	"［1］开揩［3］丐凯楷［5］概溉慨{感～}"
"h"	"［3］海［5］亥骇害氦"
"ŋ"	
"Ø"	"［1］哀埃挨［3］蔼矮［5］碍艾哎爱隘"
"#aiʔ"	
"pʰ"	"［2］排牌"
"m"	"［2］埋"
"tʰ"	"［2］台抬苔薹邰臺擡檯颱"
"tsʰ"	"［2］才材财豺裁柴"
"z"	"［2］涯崖"
"h"	"［2］孩鞋骸"
"ŋ"	"［2］癌"
"Ø"	"［2］椰皑"
"#uai"	
"ts"	"［3］掷拽"
"tsʰ"	"［1］揣"
"s"	"［1］衰摔=［3］甩［5］帅"
"k"	"［1］乖［3］拐［5］怪"
"kʰ"	"［5］块筷快"
"h"	"［5］坏"
"#uaiʔ"	
"k"	"［2］果-"
"h"	"［2］怀槐淮"
"#au"	
"p"	"［1］包胞苞［3］褒保堡宝饱［5］报抱暴菢豹爆鲍曝刨趵"
"pʰ"	"［1］抛脬剖［5］泡炮鳔"
"m"	"［3］卯藐牡［5］冒帽貌"
"t"	"［1］刀叨［3］祷岛倒{～塌}捣导蹈［5］到倒{～挂}道稻盗悼"
"tʰ"	"［1］滔掏涛［3］讨［5］套"
"n"	"［1］孬［3］脑恼嫐［5］闹"
"l"	"［1］唠捞［3］老姥［5］涝"
"ts"	"［1］遭糟朝{今～}召{号～、～集}昭招［3］皂早枣蚤澡爪找［5］藻灶罩赵兆肇照躁造燥"
"tsʰ"	"［1］操抄钞超糙［3］草炒吵"
"s"	"［1］骚臊搔艘梢筲鞘稍烧［3］扫{～地}嫂少{多～}［5］扫{～把}韶绍邵少{～年}"
"z"	"［1］妖邀腰［3］扰舀［5］要耀绕"
"k"	"［1］高膏篙羔糕皋 ［3］稿搞镐［5］告"
"kʰ"	"［1］敲［3］考烤［5］拷靠犒"
"h"	"［1］薅［3］好{良～}［5］耗号浩好{喜～}"
"ŋ"	
"Ø"	"［3］咬［5］傲袄奥懊澳坳［1］凹"
"#auʔ"	
"p"	"［7］雹"
"pʰ"	"［2］袍跑=刨"
"m"	"［2］毛矛茅猫锚"
"tʰ"	"［2］桃逃淘陶萄"
"n"	"［2］挠"
"l"	"［2］劳牢痨"
"tsʰ"	"［2］曹槽嘲巢朝潮"
"h"	"［7］郝［2］豪壕毫嚎"
"z"	"［2］饶挠摇谣窑姚遥尧"
"Ø"	"［2］熬敖翱"
"#iau"	
"p"	"［1］标彪膘［3］表"
"pʰ"	"［1］膘飘漂{～浮}［3］票"
"m"	"［3］杳秒邈渺［5］庙妙"
"t"	"［1］刁貂雕碉叼凋［5］钓吊掉调{～查}"
"tʰ"	"［1］挑{单～}［3］挑{～战}［5］跳"
"n"	"［3］鸟嬲［5］尿="
"l"	"［3］了［5］镣瞭{～望}料廖撂"
"ts"	"［1］焦蕉椒［3］侥"
"tsʰ"	"［1］锹缲蹻［5］俏鞘翘"
"s"	"［1］捎消宵霄硝销逍嚣萧箫［3］小［5］笑"
"k"	"［1］交郊胶茭骄娇浇教［3］绞狡搅缴［5］教{～训}校{～对、学～}较酵窖觉矫轿叫"
"kʰ"	"［3］巧［5］窍"
"h"	"［3］肴晓［5］孝效"
"#iauʔ"	
"pʰ"	"［2］瓢嫖"
"m"	"［2］苗描"
"t"	"［7］别-"
"tʰ"	"［2］条调{协～}"
"l"	"［2］聊疗辽撩僚嘹燎"
"tsʰ"	"［2］樵瞧"
"kʰ"	"［2］乔侨桥"
"h"	"［2］淆"
"#ioʔ"	
"n"	"［7］虐疟"
"l"	"［7］略"
"ts"	"［7］爵嚼"
"tsʰ"	"［7］雀鹊搉"
"s"	
"k"	"［7］脚觉"
"kʰ"	"［7］却确"
"h"	"［7］学"
"z"	"［7］钥"
"Ø"	"［7］乐"
"#uo"	
"tʰ"	"［5］唾"
"k"	"［1］锅［3］果=裹馃［5］过"
"kʰ"	"［1］棵蝌［5］课"
"h"	"［1］豁［3］火伙［5］货祸"
"#uoʔ"	
"h"	"［2］禾和河何"
"#əu"	
"m"	"［3］某亩［5］茂贸"
"f"	"［3］否"
"t"	"［1］兜［3］抖陡斗{北～}［5］斗{争～}豆逗痘"
"tʰ"	"［1］偷［5］透"
"l"	"［3］搂篓 ［5］漏陋"
"ts"	"［1］邹周舟州洲［3］走肘［5］奏昼纣宙皱绉骤咒"
"tsʰ"	"［1］抽搊［3］丑［5］臭凑"
"s"	"［1］搜飕馊搜收［3］手首守［5］嗽瘦帚兽受寿授售"
"z"	"［1］优忧悠幽［3］有友"
"k"	"［1］勾钩沟［3］狗苟［5］垢够构购"
"kʰ"	"［1］抠［3］口［5］叩扣寇"
"h"	"［3］吼［5］后厚候"
"Ø"	"［1］欧鸥呕殴［3］藕偶［5］沤怄"
"#əuʔ"	
"m"	"［2］谋"
"tʰ"	"［2］头投"
"l"	"［2］楼"
"tsʰ"	"［2］绸稠筹愁仇酬畴踌"
"z"	"［2］柔揉尤邮由油游犹酉"
"h"	"［2］侯喉猴"
"ts"	"［7］轴"
"#iəu"	
"m"	"［5］谬"
"t"	"［1］丢"
"n"	
"l"	"［1］溜妞［3］柳纽扭钮［5］没"
"ts"	"［1］揪［3］酒灸［5］就"
"tsʰ"	"［1］秋鳅"
"s"	"［1］修羞［5］秀绣锈袖嗅"
"k"	"［1］鸠纠［3］九久韭［5］救究舅旧臼"
"kʰ"	"［1］阄丘蚯柩"
"h"	"［1］休［3］朽"
"Ø"	"［3］莠［5］又右佑诱柚釉幼囿"
"#iəuʔ"	
"l"	"［2］流刘留榴硫琉馏牛"
"tsʰ"	"［2］囚"
"kʰ"	"［2］求球仇"
"#iɛ"	
"p"	"［3］瘪"
"pʰ"	
"m"	
"t"	"［1］爹"
"tʰ"	
"n"	
"l"	
"ts"	"［1］遮［3］姐者［5］借蔗褶"
"tsʰ"	"［1］车［3］且扯［5］笡翅"
"s"	
"k"	
"kʰ"	"［1］怯［5］确"
"h"	
"Ø"	"［1］曰［3］惹也野［5］夜掖液腋"
"#iɛʔ"	
"p"	"［7］别=鳖憋"
"pʰ"	"［7］撇"
"m"	"［7］灭篾"
"t"	"［7］跌碟蝶谍叠迭"
"tʰ"	"［7］帖{妥～}帖{请～}铁"
"n"	"［7］聂镊蹑孽业捏涅"
"l"	"［7］猎业列烈裂"
"ts"	"［7］接捷哲蜇辙折浙节疖截绝厥蕨掘倔镢"
"tsʰ"	"［7］妾彻撤澈徹切窃［2］斜"
"s"	"［7］释媳"
"k"	"［7］秸劫杰揭竭结洁决诀"
"kʰ"	"［7］缺［2］瘸"
"h"	"［7］血穴胁协歇挟"
"Ø"	"［7］爷热噎阅亦叶{姓}"
"#yɛ"	
"ɕ"	"［1］靴"
"#yɛʔ"	
"s"	"［7］雪"
"z"	"［7］月越粤"
"kʰ"	"［7］阙"
"#əi"	
"p"	"［1］背碑卑杯悲［5］贝辈背倍佩被{～迫}钡狈惫焙拔不*{～得：不知道}"
"pʰ"	"［1］胚坯［5］沛配"
"m"	"［3］每美寐［5］妹昧媚"
"f"	"［1］非飞妃菲啡［3］匪诽翡［5］废肺痱费吠沸"
"v"	"［1］煨［3］委［5］喂卫为{～了}"
"t"	"［1］堆［5］对队兑"
"tʰ"	"［1］推=［3］腿［5］退蜕"
"l"	"［3］屡累垒［5］内累类泪"
"ts"	"［5］罪赘醉在"
"tsʰ"	"［5］脆翠瘁粹淬"
"s"	"［1］虽尿-［5］碎岁税瑞"
"k"	"［3］给"
"Ø"	"［1］推-"
"#əiʔ"	
"pʰ"	"［2］培陪赔裴"
"m"	"［2］枚玫媒煤梅脢莓眉楣霉看-［7］没="
"f"	"［2］肥"
"v"	"［2］危伪为{行～}维惟唯微围违桅"
"l"	"［2］雷擂{～鼓}儡来莱"
"ts"	"［7］汁-翟"
"tsʰ"	"［2］才{刚刚、刚才}"
"s"	"［7］席{草～}"
"Ø"	"［2］儿"
"#uəi"	
"tʰ"	
"l"	"［3］"
"ts"	"［1］缀锥追［3］嘴［5］坠最"
"tsʰ"	"［1］催崔吹炊摧［3］鼠"
"s"	"［1］绥［3］水［5］睡遂隧率蟀"
"k"	"［1］圭闺奎硅规龟归［3］诡轨［5］跪癸柜瑰鬼桂贵"
"kʰ"	"［1］亏［5］库裤溃桧愧"
"h"	"［1］盔恢灰挥辉徽［3］悔毁［5］贿晦汇刽会绘烩彗秽惠慧麾穗讳卉诲"
"#uəiʔ"	
"tʰ"	"［2］颓"
"l"	"［2］蕊□{女儿俗称}"
"tsʰ"	"［2］槌锤垂捶"
"s"	"［2］谁随髓"
"kʰ"	"［2］魁傀逵葵窥"
"h"	"［2］回茴徊蛔"
"#ui"	
"tʰ"	
"n"	
"ts"	"［5］"
"tsʰ"	"［1］［3］"
"s"	
"k"	
"h"	"［1］［5］"
"#uiʔ"	
"s"	"［7］"
"#an"	
"v"	
"n"	
"ts"	"［1］瞻［3］攒［5］占"
"s"	
"z"	
"h"	
"Ø"	
"#anʔ"	
"v"	"［2］顽"
"n"	
"h"	"［2］咸衔"
"#iən"	
"p"	"［1］鞭编边蝙［3］贬扁匾［5］变辨辩辫汴卞便{方～}遍"
"pʰ"	"［1］篇偏［5］骗遍片"
"m"	"［3］免勉娩缅［5］面"
"t"	"［1］颠癫掂滇［3］点典腆碘［5］店电殿奠垫淀靛佃甸掂"
"tʰ"	"［1］添天［3］舔"
"n"	
"l"	"［3］敛辇撵［5］殓练炼楝恋念"
"ts"	"［1］尖沾砧煎笺铅歼［3］鉴柬剪展［5］暂渐涧箭溅浅践贱饯荐"
"tsʰ"	"［1］签纤迁千"
"s"	"［1］仙鲜掀先［3］闪癣［5］陷馅芡限苋线羡善鳝膳扇眩"
"k"	"［1］监掮肩坚绢捐鹃［3］减碱咸检拣茧趼卷{试～}［5］俭剑件建键健见舰倦眷"
"kʰ"	"［1］兼谦牵圈{圆～}［3］遣［5］嵌欠歉劝"
"h"	"［1］跑-［3］险显蚬［5］宪献现县"
"z"	"［1］腌烟燕{～国}淹=阉蔫焉胭［3］掩演衍冉［5］验厌艳焰砚燕{～子}宴谚"
"Ø"	
"#iənʔ"	
"p"	
"pʰ"	"［2］便"
"m"	"［2］绵棉眠"
"t"	
"tʰ"	"［2］甜田填"
"n"	
"l"	"［2］年鲶莲廉镰帘连联鲢粘拈"
"ts"	
"tsʰ"	"［2］钱虔前"
"s"	"［2］涎衔"
"k"	
"kʰ"	"［2］乾拳权犬钳="
"h"	"［2］嫌贤弦舷悬"
"z"	"［2］俨炎盐阎檐严延言然燃筵岩="
"Ø"	
"#uən"	
"p"	"［5］伴半拌绊"
"pʰ"	"［5］判"
"m"	"［3］满"
"t"	"［1］端［3］短［5］断段缎锻"
"tʰ"	
"n"	"［3］暖"
"l"	"［3］卵［5］乱"
"ts"	"［1］专砖［3］转{～动、运～}［5］钻{～研、电～}纂撰篆传{～记}圈{猪～}撞赚"
"tsʰ"	"［1］川穿椿春［5］窜篡串蹿［3］喘蠢"
"s"	"［1］轩酸闩栓宣喧［3］选［5］算蒜涮旋{～风}"
"z"	"［1］冤鸳渊［3］远软=［5］院阮愿怨"
"k"	"［1］官棺观{参～、寺～}冠{衣～}鳏关［3］管滚馆［5］棍"
"kʰ"	"［1］宽［3］款"
"h"	"［1］欢［5］唤焕换幻患痪豢［3］缓"
"Ø"	
"#uənʔ"	
"pʰ"	"［2］盘"
"m"	"［2］瞒"
"tʰ"	"［2］团"
"l"	"［2］鸾銮"
"tsʰ"	"［2］全泉船椽传鹑淳"
"s"	"［2］旋{回～}玄悬"
"z"	"［2］圆园员缘沿袁辕援猿元原源垣"
"h"	"［2］还{归～}环桓"
"#eⁱŋ"	
"p"	"［1］宾槟冰兵斌彬濒滨［3］禀丙秉炳柄饼［5］殡鬓病并迸摈"
"pʰ"	"［3］品［5］聘"
"m"	"［3］闽悯敏抿［5］命"
"v"	"［3］稳［5］问"
"t"	"［1］丁钉盯叮［3］顶鼎［5］订锭定"
"tʰ"	"［1］听厅［3］艇挺铤"
"n"	
"l"	"［3］岭领［5］赁吟吝令佞拎另"
"ts"	"［1］针斟津珍真晶精睛［3］寝枕诊疹拯井［5］尽浸进晋镇阵振震静靖净正{～式}"
"tsʰ"	"［1］清青蜻侵亲［3］擎请［5］沁趁慎磬"
"s"	"［1］心深辛新薪身申伸星腥猩馨［3］沈审婶省醒［5］信讯肾衅性姓"
"k"	"［1］今金襟巾斤筋芹京荆惊鲸经［3］锦紧仅谨窘景警颈［5］禁劲近茎境敬竟镜竞劲径郡"
"kʰ"	"［1］钦卿轻［3］倾顷［5］庆"
"h"	"［1］欣兴{～旺}［5］兴{高～}杏幸"
"z"	"［1］音阴荫因咽姻殷应鹰蝇莺鹦樱英婴缨颖［3］饮{～酒}引蚓隐应{响～}影［5］任刃认韧印映"
"#eⁱŋʔ"	
"p"	
"pʰ"	"［2］贫频凭平坪评苹萍瓶屏"
"m"	"［2］民鸣明皿名铭冥螟"
"v"	"［2］闻"
"tʰ"	"［2］亭停廷庭蜓"
"n"	"［2］宁"
"l"	"［2］林淋临檩邻鳞燐磷陵凌菱绫凝灵零铃伶翎龄"
"tsʰ"	"［2］陈沉臣尘忱潜寻秦情晴"
"kʰ"	"［2］琴禽擒勤群裙琼"
"h"	"［2］行{品～}形型刑"
"s"	"［2］辰晨"
"z"	"［2］人仁壬饮淫银寅尹迎赢莹营茔萤盈"
"#un"	
"t"	"［5］盾遁"
"tʰ"	
"ts"	"［3］准"
"tsʰ"	
"s"	"［3］损［5］顺舜训逊驯"
"z"	"［1］晕［3］允［5］润韵运孕"
"k"	"［1］均军君"
"kʰ"	"［1］昆坤［3］捆［5］困睏"
"h"	"［1］昏婚荤［5］混"
"Ø"	"［1］温瘟"
"#unʔ"	
"tʰ"	"［2］臀"
"s"	"［2］荀旬循巡殉纯醇"
"z"	"［2］云耘"
"h"	"［2］魂馄浑"
"#yn"	
"ts"	"［1］钧［3］浚菌"
"s"	"［1］熏勋［5］甚"
"k"	"［1］君"
"Ø"	"［1］匀［5］酝闰"
"#aŋ"	
"p"	"［1］班斑颁帮梆邦［3］扳板版榜绑［5］瓣办傍棒扮镑磅谤"
"pʰ"	"［1］攀潘［5］盼叛胖"
"m"	"［3］莽蟒［5］慢馒漫幔蔓曼"
"f"	"［1］帆藩翻番方芳肪［3］反返仿纺［5］泛范饭放贩犯"
"v"	"［1］弯湾剜汪［3］晚往挽网枉［5］万旺忘望"
"t"	"［1］耽担{承～}丹单当{应～}铛裆郸［3］胆党挡掸疸［5］担{扁～}淡旦当{上～}档荡宕弹{子～}氮但惮诞蛋"
"tʰ"	"［1］贪坍滩摊瘫汤［3］毯坦倘躺趟帑［5］探炭叹烫"
"n"	"［5］难{患～}"
"l"	"［3］览揽榄缆懒朗［5］滥烂浪"
"ts"	"［1］簪錾毡张章樟赃脏{肮～}［3］斩盏长掌［5］站蘸赞濽栈战涨帐账胀涨丈杖仗障瘴葬藏脏{心～}"
"tsʰ"	"［1］参{～加}搀蟾渗餐昌菖仓苍舱沧掺猖［3］惨厂场铲产阐敞［5］忏颤畅唱倡灿"
"s"	"［1］三杉衫珊山删商伤桑裳磉嗓［3］陕伞赏晌［5］散疝禅{～让}上尚丧"
"z"	"［1］央秧殃鸯［3］壤攘仰养痒恙［5］让样"
"k"	"［1］甘柑泔尴肝干{～燥}竿杆艰间锏奸冈岗刚纲钢{～铁}缸肛［3］感敢橄擀赶简港秆［5］干{骨～}谏杠钢{～筋}赣虹"
"kʰ"	"［1］堪龛勘刊康糠［3］坎砍［5］看慷抗炕"
"h"	"［1］憨酣夯［3］喊［5］撼憾罕汉旱汗焊翰项巷捍悍限"
"ŋ"	"［1］安［5］岸"
"Ø"	"［1］庵鹌鞍氨胺肮淹-［5］暗按案晏盎［3］眼"
"#aŋʔ"	
"p"	
"pʰ"	"［2］旁螃=膀庞磅"
"m"	"［2］蛮忙芒茫盲虻氓"
"f"	"［2］凡烦繁矾钒坊妨访房防贩樊"
"v"	"［2］玩完王皖豌亡"
"t"	"［2］"
"tʰ"	"［2］潭谭坛谈痰檀坛弹堂棠螳唐糖塘弹{～簧}"
"n"	"［2］难{困～}囊"
"l"	"［2］蓝篮兰拦栏郎廊狼螂榔"
"ts"	"［2］绽"
"tsʰ"	"［2］惭谗馋残蝉禅{坐～}长肠蚕缠尝常偿"
"s"	
"z"	"［2］嚷羊洋烊杨阳扬疡"
"k"	
"kʰ"	"［2］侃扛钳-"
"h"	"［2］含函鼾寒韩闲行航杭邯涵"
"ŋ"	"［2］岩-颜"
"Ø"	"［2］昂"
"#iaŋ"	
"n"	"［5］酿［3］两俩"
