字目	读音	注释	声母(实际)	声母(原)	韵母	声调	声调（调类)						声调	国际惯例	声调
陂	pi1		p	p	i	22	1						53	3	阴上
脾琵枇啤	pi2		p	p	i	44	2						22	1	阴平
彼比畀	pi3		p	p	i	53	3						213	4	阳上
被幣備	pi4		p	p	i	213	4						44	2	阳平
臂秘泌痹蔽	pi5		p	p	i	21	5						21	5	阴去
背	pi5	提重物	p	p	i	21	5						42	6	阳去
費	pi5	白，姓	p	p	i	21	5						32	7	阴入
閉	pi5		p	p	i	21	5						5	8	阳入
弊避斃	pi6		p	p	i	42	6						0	0	无声调
披丕	pʰi1		pʰ	pʰ	i	22	1								
脾疲	pʰi2		pʰ	pʰ	i	44	2								
鄙痞	pʰi3		pʰ	pʰ	i	53	3								
微	bi2		b	b	i	44	2								
米	bi3		b	b	i	53	3								
未	bi6		b	b	i	42	6								
味	bi6		b	b	i	42	6								
咪眯	mi1		m	m	i	22	1								
迷	mi2		m	m	i	44	2								
棉	mi2		m	m	i	44	2								
謎	mi4		m	m	i	213	4								
麵	mi6		m	m	i	42	6								
低	ti1		t	t	i	22	1								
猪	ti1	白：～胆，形容物品极苦	t	t	i	22	1								
知蜘	ti1		t	t	i	22	1								
弟	ti2	口语小称变调	t	t	i	44	2								
池遞	ti2		t	t	i	44	2								
底抵徵詆	ti3		t	t	i	53	3								
弟	ti4		t	t	i	213	4								
遞隸娣	ti4		t	t	i	213	4								
戴	ti5	白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音	t	t	i	21	5								
帝致置智締	ti5		t	t	i	21	5								
地	ti6		t	t	i	42	6								
自	ti6	训：家～（自己）	t	t	i	42	6								
治	ti6		t	t	i	42	6								
黐	tʰi1	浓稠	tʰ	tʰ	i	22	1								
苔	tʰi2		tʰ	tʰ	i	44	2								
馳提啼持	tʰi2		tʰ	tʰ	i	44	2								
體	tʰi3		tʰ	tʰ	i	53	3								
痔	tʰi4		tʰ	tʰ	i	213	4								
□	tʰi5	撕	tʰ	tʰ	i	21	5								
替	tʰi5	仅用于代（tʰoi阴去）～，前字本字为“替”	tʰ	tʰ	i	21	5								
