音标	调类	调值	辖字
kiɛn	1	334	甄堅[實際音]
kʰiɛn	1	334	牽
ʔiɛn	1	334	煙
xiɛn	1	334	祆
piɛn	1	334	鞭
pʰiɛn	1	334	篇
ʔwiɛn	1	334	淵[實際音]
ɸiɛn	1	334	萱[實際音]
tiɛn	1	334	顛
tʰiɛn	1	334	天
tɕʰiɛn	1	334	脠[實際音]
ȵiɛn	1	334	拈[實際音]
tsiɛn	1	334	箋
tsʰiɛn	1	334	千
siɛn	1	334	仙
tʂiɛn	1	334	餰
kʰiɛn	2	113	乾[實際音]
giɛn	2	113	乾[實際音]
ɣiɛn	2	113	賢
ɦiɛn	2	113	延
pʰiɛn	2	113	便
biɛn	2	113	便
miɛn	2	113	眠
βiɛn	2	113	懸[實際音]
ɦwiɛn	2	113	員[實際音]
tʰiɛn	2	113	田
diɛn	2	113	田
niɛn	2	113	年連[實際音]
tɕʰiɛn	2	113	纏[實際音]
dʑiɛn	2	113	纏[實際音]
tsʰiɛn	2	113	前
dziɛn	2	113	前
ziɛn	2	113	㳄
ʐiɛn	2	113	蟬
liɛn	2	113	蓮
ɻiɛn	2	113	然
kiɛn	3	41	繭
kʰiɛn	3	41	遣
ʔiɛn	3	41	蝘
xiɛn	3	41	顯
piɛn	3	41	褊
pʰiɛn	3	41	萹
ʔwiɛn	3	41	遠[實際音]
tiɛn	3	41	典
tʰiɛn	3	41	腆
tɕiɛn	3	41	展[實際音]
tsiɛn	3	41	剪
tsʰiɛn	3	41	淺
siɛn	3	41	獮
ŋiɛn	4	21	□[齒欠]𮯀[齒欠]
ɣiɛn	4	21	峴
ɦiɛn	4	21	演
miɛn	4	21	緬
tʰiɛn	4	21	殄
diɛn	4	21	殄
niɛn	4	21	撚
tsʰiɛn	4	21	踐
dziɛn	4	21	踐
ziɛn	4	21	□[絲羨]𦆀[絲羨]
kiɛn	5	55	見
kʰiɛn	5	55	譴
ʔiɛn	5	55	宴
xiɛn	5	55	韅
piɛn	5	55	徧
pʰiɛn	5	55	鶣
ʔwiɛn	5	55	怨[實際音]
tiɛn	5	55	殿
tʰiɛn	5	55	瑱
tɕiɛn	5	55	戰[實際音]
tsiɛn	5	55	箭
tsʰiɛn	5	55	蒨
siɛn	5	55	霰
ŋiɛn	6	11	硯
ɣiɛn	6	11	見
ɦiɛn	6	11	衍
pʰiɛn	6	11	便
biɛn	6	11	便
miɛn	6	11	麫
tʰiɛn	6	11	電
diɛn	6	11	電
niɛn	6	11	睍
tsʰiɛn	6	11	賤
dziɛn	6	11	賤
ziɛn	6	11	羨
liɛn	6	11	練
kiɛt	7	5	結
kʰiɛt	7	5	猰
ʔiɛt	7	5	噎
xiɛt	7	5	□[大旨]𡘐[大旨]
piɛt	7	5	鷩
pʰiɛt	7	5	撆
tiɛt	7	5	窒
tʰiɛt	7	5	鐵
tɕiɛt	7	5	折[實際音]
ŋiɛt	8	24	齧
ɣiɛt	8	24	纈
ɦiɛt	8	24	枻
pʰiɛt	8	24	蹩
biɛt	8	24	蹩
tʰiɛt	8	24	姪
diɛt	8	24	姪
niɛt	8	24	涅
liɛt	8	24	劣
kiŋ	1	334	驚
kʰiŋ	1	334	卿
ʔiŋ	1	334	霙
xiŋ	1	334	馨[實際音]
piŋ	1	334	兵
ʔwiŋ	1	334	贇[實際音]
ɸiŋ	1	334	薰[實際音]
tiŋ	1	334	丁[實際音]
tʰiŋ	1	334	汀[實際音]
tɕiŋ	1	334	貞
tɕʰiŋ	1	334	檉
tsiŋ	1	334	精[實際音]
tsʰiŋ	1	334	清[實際音]
siŋ	1	334	星[實際音]
tʂiŋ	1	334	征
tʂʰiŋ	1	334	稱[實際音]
ʂiŋ	1	334	聲
kʰiŋ	2	113	檠勤[實際音]
giŋ	2	113	檠勤[實際音]
ŋiŋ	2	113	迎凝[實際音]
ɣiŋ	2	113	刑[實際音]
ɦiŋ	2	113	盈[實際音]
pʰiŋ	2	113	平
biŋ	2	113	平
miŋ	2	113	明
βiŋ	2	113	純[實際音]
ɦwiŋ	2	113	云[實際音]
tʰiŋ	2	113	庭[實際音]
diŋ	2	113	庭[實際音]
niŋ	2	113	寧[實際音]林[實際音]
tɕʰiŋ	2	113	呈
dʑiŋ	2	113	呈
ȵiŋ	2	113	儜[實際音]
tsʰiŋ	2	113	情[實際音]
dziŋ	2	113	情[實際音]
ziŋ	2	113	餳[實際音]
ʐiŋ	2	113	成辰[實際音]
liŋ	2	113	跉
ɻiŋ	2	113	穰人[實際音]
kiŋ	3	41	警
ʔiŋ	3	41	影
piŋ	3	41	丙
ʔwiŋ	3	41	永[實際音]
tiŋ	3	41	頂[實際音]
tɕiŋ	3	41	晸
tɕʰiŋ	3	41	逞
tsiŋ	3	41	井[實際音]
tʂiŋ	3	41	整
miŋ	4	21	皿
tɕʰiŋ	4	21	徎
dʑiŋ	4	21	徎
liŋ	4	21	令
ɻiŋ	4	21	䯀
kiŋ	5	55	敬
kʰiŋ	5	55	慶
ʔiŋ	5	55	映
piŋ	5	55	柄
pʰiŋ	5	55	寎
ʔwiŋ	5	55	韻[實際音]
tiŋ	5	55	訂[實際音]
tɕiŋ	5	55	正[實際音]
tɕʰiŋ	5	55	遉
tsiŋ	5	55	進[實際音]
tʂiŋ	5	55	政
ʂiŋ	5	55	聖
kʰiŋ	6	11	競
giŋ	6	11	競
ŋiŋ	6	11	迎
pʰiŋ	6	11	病
biŋ	6	11	病
miŋ	6	11	命
tɕʰiŋ	6	11	鄭
dʑiŋ	6	11	鄭
ȵiŋ	6	11	䗿
ʐiŋ	6	11	盛
liŋ	6	11	令
kik	7	5	䩤吉[實際音]
kʰik	7	5	隙
xik	7	5	虩
pik	7	5	碧
pʰik	7	5	䍇
tik	7	5	的[實際音]
tɕik	7	5	□[黍商]陟[實際音]
tɕʰik	7	5	彳
tsik	7	5	即[實際音]
tsʰik	7	5	七[實際音]
tʂik	7	5	隻
tʂʰik	7	5	尺
ʂik	7	5	釋
kʰik	8	24	劇
gik	8	24	劇
ŋik	8	24	逆
pʰik	8	24	欂
bik	8	24	欂
tɕʰik	8	24	擲直[實際音]
dʑik	8	24	擲直[實際音]
tʂʰik	8	24	麝
dʐik	8	24	麝
ʐik	8	24	石
lik	8	24	力
ɻik	8	24	日[實際音]
kɔŋ	1	334	岡
kʰɔŋ	1	334	康
ʔɔŋ	1	334	鴦
xɔŋ	1	334	炕
pɔŋ	1	334	幫
pʰɔŋ	1	334	滂
ʔwɔŋ	1	334	汪
ɸɔŋ	1	334	芳
tɔŋ	1	334	當
tʰɔŋ	1	334	湯
