"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"
"1"	"多"	"多"	"to阴平"	""	""	"阴平"
"2"	"他"	"他"	"tʰa阴平"	""	""	"阳平"
"3"	"舵"	"舵"	"tua阳上"	"白"	""	"阴上"
"4"	"舵"	"舵"	"tai阳上"	"文"	""	"阳上"
"5"	"大"	"大"	"tua去声"	"白"	""	"去声"
"6"	"大"	"大"	"tai阳上"	"文"	""	"阴入"
"7"	"拖"	"拖"	"tʰua阴平"	"白"	""	"阳入"
"8"	"拖"	"拖"	"tʰo阴平"	"文"	""	""
"9"	"拖"	"拖"	"tʰu阴平"	"又"	""	""
"10"	"駝"	"驼"	"tʰoʔ阳入"	"又"	""	""
"11"	"駝"	"驼"	"tʰo阳平"	"文"	""	""
"12"	"陀"	"陀"	"tʰo阳平"	""	""	""
"13"	"馱"	"驮"	"tʰua阳平"	"白"	""	""
"14"	"馱"	"驮"	"tʰo阳平"	"文"	""	""
"15"	"挪"	"挪"	"no阳平"	""	""	""
"16"	"羅"	"罗"	"lo阳平"	""	""	""
"17"	"鑼"	"锣"	"lo阳平"	""	""	""
"18"	"籮"	"箩"	"lua阳平"	"白"	""	""
"19"	"籮"	"箩"	"lo阳平"	"文"	""	""
"20"	"左"	"左"	"tso阴上"	""	""	""
"21"	"佐"	"佐"	"tso去声"	""	""	""
"22"	"做"	"做"	"tso去声"	""	""	""
"23"	"搓"	"搓"	"so阴平"	"白"	""	""
"24"	"搓"	"搓"	"tsʰa阴平"	"白"	""	""
"25"	"搓"	"搓"	"tsʰo阴平"	"文"	""	""
"26"	"娑"	"娑"	"sa阴平"	"白"	""	""
"27"	"娑"	"娑"	"so阴平"	"文"	""	""
"28"	"歌"	"歌"	"kua阴平"	"白"	""	""
"29"	"歌"	"歌"	"ko阴平"	"文"	""	""
"30"	"哥"	"哥"	"ko阴平"	""	""	""
"31"	"個"	"个"	"kai阳平"	"又"	""	""
"32"	"個"	"个"	"kai去声"	"白"	""	""
"33"	"個"	"个"	"ko阳上"	"文"	""	""
"34"	"軻"	"轲"	"kʰo阴平"	""	""	""
"35"	"可"	"可"	"kʰo阴上"	""	""	""
"36"	"蛾"	"蛾"	"ŋo阳平"	""	""	""
"37"	"鵝"	"鹅"	"go阳平"	""	""	""
"38"	"俄"	"俄"	"ŋo阳平"	""	""	""
"39"	"我"	"我"	"ua阴上"	"白"	""	""
"40"	"我"	"我"	"ŋo阴上"	"文"	""	""
"41"	"餓"	"饿"	"go去声"	""	""	""
"42"	"何"	"何"	"ho阳平"	""	""	""
"43"	"河"	"河"	"ho阳平"	""	""	""
"44"	"荷"	"荷"	"ho阳平"	"文"	""	""
"45"	"荷"	"荷"	"o阳平"	"又"	""	""
"46"	"荷"	"荷"	"o阳上"	"又"	""	""
"47"	"苛"	"苛"	"kʰo阴平"	""	""	""
"48"	"賀"	"贺"	"ho去声"	""	""	""
"49"	"阿"	"阿"	"a阴平"	"白"	""	""
"50"	"阿"	"阿"	"o阴平"	"文"	""	""
"51"	"茄"	"茄"	"kio阳平"	""	""	""
"52"	"茄"	"茄"	"kia阴平"	"文"	""	""
"53"	"波"	"波"	"po阴平"	""	""	""
"54"	"跛"	"跛"	"po阴上"	"文"	""	""
"55"	"跛"	"跛"	"bai阴上"	"替"	""	""
"56"	"簸"	"簸"	"pua去声"	""	""	""
"57"	"播"	"播"	"pua去声"	"白"	""	""
"58"	"播"	"播"	"po去声"	"文"	""	""
"59"	"頗"	"颇"	"pʰua阴上"	"白"	""	""
"60"	"頗"	"颇"	"pʰo阴上"	"文"	""	""
"61"	"坡"	"坡"	"pʰo阴平"	""	""	""
