"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	"1"	"資姿咨諮茲輜𢫴[用指甲摳]"
"z"	"tsɿ"	"3"	"紫子姊梓滓"
"c"	"tsʰɿ"	"1"	"雌疵差[參～]"
"c"	"tsʰɿ"	"2"	"瓷糍慈磁滋辭詞祠"
"c"	"tsʰɿ"	"3"	"此"
"c"	"tsʰɿ"	"5"	"刺賜次自字伺巳寺"
"s"	"sɿ"	"1"	"司思絲私撕斯廝師獅"
"s"	"sɿ"	"3"	"死"
"s"	"sɿ"	"5"	"四肆似祀嗣飼士仕俟事"
"zr"	"tʂʅ"	"1"	"知支枝肢梔脂之芝"
"zr"	"tʂʅ"	"3"	"紙旨指止趾址脂[(又)]"
"zr"	"tʂʅ"	"5"	"智致至稚置志痣痔制製蟄[驚～]"
"zr"	"tʂʅ"	"7"	"汁執質織職擲只隻[(文)]炙[(文)]蜘"
"cr"	"tʂʰʅ"	"1"	"痴嗤"
"cr"	"tʂʰʅ"	"2"	"池馳遲持"
"cr"	"tʂʰʅ"	"3"	"侈恥齒"
"cr"	"tʂʰʅ"	"5"	"翅直[(白)]"
"cr"	"tʂʰʅ"	"7"	"赤[(文)]尺[(文)]斥秩侄直[(文)]值植殖"
"sr"	"ʂʅ"	"1"	"詩尸屍施水[(白)]"
"sr"	"ʂʅ"	"2"	"時"
"sr"	"ʂʅ"	"3"	"矢屎使史駛始"
"sr"	"ʂʅ"	"5"	"是氏豉示視嗜柿市侍恃試世誓逝式十[(白)]食[(白)]實[(白)]"
"sr"	"ʂʅ"	"7"	"拾濕十[(文)]實[(文)]失[(文)]室食[(文)]石[(文)]蝕識飾適釋"
"bi"	"pi"	"1"	"屄[女陰，兼作詈語]"
"bi"	"pi"	"3"	"比彼"
"bi"	"pi"	"5"	"臂秘泌痺蔽敝弊斃閉陛幣"
"bi"	"pi"	"7"	"筆[(文)]必畢逼碧壁璧"
"pi"	"pʰi"	"1"	"批披丕"
"pi"	"pʰi"	"2"	"皮疲脾琵枇便[「便宜」的合音]"
"pi"	"pʰi"	"3"	"鄙庇秕"
"pi"	"pʰi"	"5"	"譬被[(白)]屁弼鼻[(白)]"
"pi"	"pʰi"	"7"	"避匹僻辟闢劈[(文)]"
"mi"	"mi"	"1"	"瞇"
"mi"	"mi"	"2"	"糜彌靡迷謎[～語]"
"mi"	"mi"	"3"	"米"
"mi"	"mi"	"5"	"謎[～子]密[(白)]"
"mi"	"mi"	"7"	"密[(文)]蜜覓"
"di"	"ti"	"1"	"低"
"di"	"ti"	"3"	"底抵"
"di"	"ti"	"5"	"帝"
"di"	"ti"	"7"	"笛敵嫡滴[(文)]狄的"
"ti"	"tʰi"	"1"	"梯"
"ti"	"tʰi"	"2"	"題提[(文)]堤蹄啼屜[(白)]"
"ti"	"tʰi"	"3"	"體剔[(又)]"
"ti"	"tʰi"	"5"	"替涕屜[(文)]剃隸遞地弟第"
"ti"	"tʰi"	"7"	"剔踢"
"li"	"li"	"2"	"離梨犁黎籬厘狸驢璃"
"li"	"li"	"3"	"李裏理旅履鯉禮"
"li"	"li"	"5"	"麗例厲勵荔利痢吏粒栗[板～]"
"li"	"li"	"7"	"律歷曆立笠力率[效～]栗[戰～]"
"zhi"	"tɕi"	"1"	"雞稽飢饑肌基姬譏機幾[～乎]屐"
"zhi"	"tɕi"	"3"	"擠幾[～個]己紀杞"
"zhi"	"tɕi"	"5"	"濟祭際計繼繫[～鞋帶]記既寄冀季"
"zhi"	"tɕi"	"7"	"急級集輯緝吉即鯽積跡脊戟績擊激"
"chi"	"tɕʰi"	"1"	"妻棲趨蛆欺"
"chi"	"tɕʰi"	"2"	"齊臍其期旗棋奇騎鰭祁祈岐"
"chi"	"tɕʰi"	"3"	"啟起豈取娶"
"chi"	"tɕʰi"	"5"	"砌劑契企技妓器棄忌氣汽聚趣"
"chi"	"tɕʰi"	"7"	"及吸七乞漆疾極籍戚寂"
"gni"	"ȵi"	"2"	"泥尼呢[～絨]倪宜疑儀誼"
"gni"	"ȵi"	"3"	"你擬蟻"
"gni"	"ȵi"	"5"	"藝義議毅膩"
"gni"	"ȵi"	"7"	"溺匿逆日"
"shi"	"ɕi"	"1"	"西犀溪奚兮須需希稀嬉熙犧髓"
"shi"	"ɕi"	"2"	"徐"
"shi"	"ɕi"	"3"	"洗璽徙喜"
"shi"	"ɕi"	"5"	"細絮緒序敘戲系"
"shi"	"ɕi"	"7"	"習襲錫析昔惜席夕息熄媳悉膝戌恤卹婿"
"i"	"i"	"1"	"伊醫衣依"
"i"	"i"	"2"	"移夷姨怡"
"i"	"i"	"3"	"以己椅倚矣"
"i"	"i"	"5"	"意異肄易[難～]憶億翼"
"i"	"i"	"7"	"一益亦譯易[交～]液腋抑逸揖"
"bu"	"pu"	"3"	"補捕"
"bu"	"pu"	"5"	"布怖"
"bu"	"pu"	"7"	"不"
"pu"	"pʰu"	"1"	"鋪[～設]"
"pu"	"pʰu"	"2"	"蒲菩脯"
"pu"	"pʰu"	"3"	"普浦輔甫"
"pu"	"pʰu"	"5"	"步部簿埠鋪[店～]"
"pu"	"pʰu"	"7"	"勃撲僕瀑卜曝"
"fu"	"fu"	"1"	"乎夫敷麩膚"
"fu"	"fu"	"2"	"呼俘孵符扶芙胡湖狐壺葫"
"fu"	"fu"	"3"	"府腑俯斧撫釜腐虎滸輔"
"fu"	"fu"	"5"	"父付賦傅赴訃附縛戶滬戽互護婦負富副斛伏[(白)]服[(白)]"
"fu"	"fu"	"7"	"忽佛福幅蝠腹覆服[(文)]伏[(文)]"
"gu"	"ku"	"1"	"姑孤箍估[(文)]"
"gu"	"ku"	"3"	"古估[(白)]牯股鼓"
"gu"	"ku"	"5"	"故固錮僱顧過[(白)]"
"gu"	"ku"	"7"	"骨[(文)]谷轂"
"ku"	"kʰu"	"1"	"枯"
"ku"	"kʰu"	"3"	"苦"
"ku"	"kʰu"	"5"	"庫褲"
"ku"	"kʰu"	"7"	"窟酷哭"
"u"	"u"	"1"	"烏污塢巫誣"
"u"	"u"	"2"	"吳娛吾梧無"
"u"	"u"	"3"	"五伍午武舞侮鵡"
"u"	"u"	"5"	"誤悟惡[可～]戊務霧"
"u"	"u"	"7"	"屋物勿"
"zhy"	"tɕy"	"1"	"豬諸車居朱蛛株珠誅俱拘駒"
"zhy"	"tɕy"	"3"	"煮舉主矩拄"
"zhy"	"tɕy"	"5"	"巨拒距駐注蛀鑄句具懼據著[顯～]鋸[(文)]劇"
"zhy"	"tɕy"	"7"	"局菊掬橘"
"chy"	"tɕʰy"	"1"	"區樞驅吹[(白)]"
"chy"	"tɕʰy"	"2"	"除渠廚瞿儲薯殊錘[(白)]"
"chy"	"tɕʰy"	"3"	"褚杵處[相～]"
"chy"	"tɕʰy"	"5"	"處[～所]柱住苧去[(文)]"
"chy"	"tɕʰy"	"7"	"出屈"
"gny"	"ȵy"	"3"	"女語"
"shy"	"ɕy"	"1"	"書舒輸虛墟噓吁"
"shy"	"ɕy"	"3"	"許暑鼠黍水[(白)]"
"shy"	"ɕy"	"5"	"署庶恕豎戍樹術述"
"y"	"y"	"1"	"迂淤"
"y"	"y"	"2"	"余餘如魚漁儒愚於于盂虞娛榆渝愉"
"y"	"y"	"3"	"汝乳與雨宇羽禹"
"y"	"y"	"5"	"御禦遇寓譽預豫玉郁鬱愈喻裕芋餵疫[(又)]"
"y"	"y"	"7"	"入[(文)]域疫役"
"ba"	"pɑ"	"1"	"巴芭疤爸"
"ba"	"pɑ"	"3"	"把"
"ba"	"pɑ"	"5"	"霸垻壩欛罷"
"ba"	"pɑ"	"7"	"八伯"
"pa"	"pʰɑ"	"1"	"葩"
"pa"	"pʰɑ"	"2"	"爬耙鈀琶杷"
