單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	備註
阿			aa	1			a	1		ʔ	a	23	阿文
啊			aa	1			a	1		ʔ	a	23	
唉			aai	2			ai	3		ʔ	ai	35	
欸			aai	2			ai	3		ʔ	ai	35	
哎			aai	2			ai	3		ʔ	ai	35	
霸		b	aa	1		b	a	1		p	a	23	
壩		b	aa	1		b	a	1		p	a	23	
峇		b	aa	1		b	a	1		p	a	23	
伯		b	aa	1		b	a	1		p	a	23	春秋五伯
巴		b	aa	2		b	a	3		p	a	35	
芭		b	aa	2		b	a	3		p	a	35	
笆		b	aa	2		b	a	3		p	a	35	
靶		b	aa	2		b	a	3		p	a	35	
把		b	aa	2		b	a	3		p	a	35	
疤		b	aa	2		b	a	3		p	a	35	
粑		b	aa	2		b	a	3		p	a	35	
爸		b	aa	5		b	a	5		p	a	21	
罷		b	aa	6		b	a	4		p	a	31	
罢		b	aa	6		b	a	4		p	a	31	
吧		b	aa	6		b	a	4		p	a	31	
拜		b	aai	1		b	ai	1		p	ai	23	
湃		b	aai	1		b	ai	1		p	ai	23	
襬		b	aai	2		b	ai	3		p	ai	35	
擺		b	aai	2		b	ai	3		p	ai	35	
摆		b	aai	2		b	ai	3		p	ai	35	
敗		b	aai	6		b	ai	4		p	ai	31	
败		b	aai	6		b	ai	4		p	ai	31	
頒		b	aan	1		b	an	1		p	an	23	
班		b	aan	1		b	an	1		p	an	23	
斑		b	aan	1		b	an	1		p	an	23	
阪		b	aan	2		b	an	3		p	an	35	
板		b	aan	2		b	an	3		p	an	35	
版		b	aan	2		b	an	3		p	an	35	
粄		b	aan	2		b	an	3		p	an	35	
闆		b	aan	2		b	an	3		p	an	35	
扮		b	aan	6		b	an	4		p	an	31	
辦		b	aan	6		b	an	4		p	an	31	
八		b	et	7A		b	et	6		p	ɛt	35	八卦
八		b	et	7B		b	et	7		p	ɛt	23	數字八
捌		b	et	7B		b	et	7		p	ɛt	23	
叭		b	et	7B		b	et	7		p	ɛt	23	
包		b	iaau	1		b	iau	1		p	iau	23	
包		b	iaau	5		b	iau	5		p	iau	21	量詞，變調
苞		b	iaau	1		b	iau	1		p	iau	23	
胞		b	iaau	1		b	iau	1		p	iau	23	
爆		b	iaau	1		b	iau	1		p	iau	23	
孢		b	iaau	1		b	iau	1		p	iau	23	
飽		b	iaau	2		b	iau	3		p	iau	35	
鮑		b	iaau	2		b	iau	3		p	iau	35	鮑魚
鮑		b	iaau	6		b	iau	4		p	iau	31	鮑魚之肆
閉		b	oi	1		b	oi	1		p	ɔi	23	
陛		b	oi	1		b	oi	1		p	ɔi	23	
蔽		b	oi	1		b	oi	1		p	ɔi	23	
跛		b	oi	2		b	oi	3		p	ɔi	35	跛腳
敝		b	oi	6		b	oi	4		p	ɔi	31	
弊		b	oi	6		b	oi	4		p	ɔi	31	
幣		b	oi	6		b	oi	4		p	ɔi	31	
斃		b	oi	6		b	oi	4		p	ɔi	31	
伯		b	aak	8		b	ak	8		p	ak	31	
白		b	aak	8		b	ak	8		p	ak	31	
帛		b	aak	8		b	ak	8		p	ak	31	
蔔		b	aak	8		b	ak	8		p	ak	31	
卜		b	aak	8		b	ak	8		p	ak	31	萝卜
伯		b	aak	9		b	ak	9		p	ak	21	阿伯
北		b	aak	7A		b	ak	6		p	ak	35	
百		b	aak	7A		b	ak	6		p	ak	35	百厭
百		b	aak	7B		b	ak	7		p	ak	23	一百
伯		b	aak	7B		b	ak	7		p	ak	23	伯爺
乓		b	am	1		b	aem	1		p	ɐm	23	
賓		b	an	1		b	aen	1		p	ɐn	23	
濱		b	an	1		b	aen	1		p	ɐn	23	
檳		b	an	1		b	aen	1		p	ɐn	23	
鬢		b	an	1		b	aen	1		p	ɐn	23	
臏		b	an	1		b	aen	1		p	ɐn	23	
繽		b	an	1		b	aen	1		p	ɐn	23	
彬		b	an	1		b	aen	1		p	ɐn	23	
奔		b	an	1		b	aen	1		p	ɐn	23	
稟		b	an	2		b	aen	3		p	ɐn	35	
品		b	an	2		b	aen	3		p	ɐn	35	
鬢		b	an	6		b	aen	4		p	ɐn	31	
笨		b	an	6		b	aen	4		p	ɐn	31	
繃		b	aang	1		b	ang	1		p	aŋ	23	繃帶
崩		b	aang	1		b	ang	1		p	aŋ	23	
蹦		b	aang	2		b	ang	3		p	aŋ	35	
拔		b	at	8		b	aet	8		p	ɐt	31	
跋		b	at	8		b	aet	8		p	ɐt	31	
畢		b	at	7A		b	aet	6		p	ɐt	35	
筆		b	at	7A		b	aet	6		p	ɐt	35	
不		b	at	7A		b	aet	6		p	ɐt	35	
嗶		b	at	7A		b	aet	6		p	ɐt	35	
啤		b	iaa	1		b	ia	1		p	ia	23	
卑		b	ei	1		b	ei	1		p	ei	23	
臂		b	ei	1		b	ei	1		p	ei	23	
碑		b	ei	1		b	ei	1		p	ei	23	
庇		b	ei	1		b	ei	1		p	ei	23	比較
悲		b	ei	1		b	ei	1		p	ei	23	
泌		b	ei	1		b	ei	1		p	ei	23	
祕		b	ei	1		b	ei	1		p	ei	23	
痺		b	ei	1		b	ei	1		p	ei	23	
秘		b	ei	1		b	ei	1		p	ei	23	
彼		b	ei	2		b	ei	3		p	ei	35	
比		b	ei	2		b	ei	3		p	ei	35	被動
妣		b	ei	2		b	ei	3		p	ei	35	
畀		b	ei	2		b	ei	3		p	ei	35	
陂		b	ei	5		b	ei	5		p	ei	21	
避		b	ei	6		b	ei	4		p	ei	31	
被		b	ei	6		b	ei	4		p	ei	31	
鼻		b	ei	6		b	ei	4		p	ei	31	
備		b	ei	6		b	ei	4		p	ei	31	
憊		b	ei	6		b	ei	4		p	ei	31	
柄		b	iaang	1		b	iang	1		p	iaŋ	23	
餅		b	iaang	2		b	iang	3		p	iaŋ	35	
病		b	iaang	6		b	iang	4		p	iaŋ	31	
壁		b	ik	7B		b	ik	7		p	ɪk	23	
璧		b	ik	7B		b	ik	7		p	ɪk	23	
碧		b	ik	7B		b	ik	7		p	ɪk	23	
逼		b	ik	7B		b	ik	7		p	ɪk	23	
迫		b	ik	7B		b	ik	7		p	ɪk	23	
邊		b	in	1		b	in	1		p	in	23	
辮		b	in	1		b	in	1		p	in	23	
鞭		b	in	1		b	in	1		p	in	23	
變		b	in	1		b	in	1		p	in	23	
扁		b	in	2		b	in	3		p	in	35	扁平
匾		b	in	2		b	in	3		p	in	35	
貶		b	in	2		b	in	3		p	in	35	
邊		b	in	4		b	in	2		p	in	22	邊址
便		b	in	6		b	in	4		p	in	31	便利
汴		b	in	6		b	in	4		p	in	31	
辨		b	in	6		b	in	4		p	in	31	
辯		b	in	6		b	in	4		p	in	31	
兵		b	ing	1		b	ing	1		p	ɪŋ	23	
冰		b	ing	1		b	ing	1		p	ɪŋ	23	
乒		b	ing	1		b	ing	1		p	ɪŋ	23	
柄		b	ing	2		b	ing	3		p	ɪŋ	35	
丙		b	ing	2		b	ing	3		p	ɪŋ	35	
秉		b	ing	2		b	ing	3		p	ɪŋ	35	
炳		b	ing	2		b	ing	3		p	ɪŋ	35	
摒		b	ing	2		b	ing	3		p	ɪŋ	35	
屏		b	ing	2		b	ing	3		p	ɪŋ	35	屏除
並		b	ing	6		b	ing	4		p	ɪŋ	31	
并		b	ing	6		b	ing	4		p	ɪŋ	31	
迸		b	ing	6		b	ing	4		p	ɪŋ	31	
癟		b	it	8		b	it	8		p	it	31	
別		b	it	8		b	it	8		p	it	31	
必		b	it	7A		b	it	6		p	it	35	
彆		b	it	7B		b	it	7		p	it	23	
標		b	iaau	1		b	iau	1		p	iau	23	
飆		b	iaau	1		b	iau	1		p	iau	23	
鑣		b	iaau	1		b	iau	1		p	iau	23	
彪		b	iaau	1		b	iau	1		p	iau	23	
錶		b	iaau	1		b	iau	1		p	iau	23	
表		b	iaau	2		b	iau	3		p	iau	35	
錶		b	iaau	2		b	iau	3		p	iau	35	
波		b	o	1		b	o	1		p	ɔ	23	
播		b	o	1		b	o	1		p	ɔ	23	
簸		b	o	1		b	o	1		p	ɔ	23	
玻		b	o	1		b	o	1		p	ɔ	23	
坡		b	o	1		b	o	1		p	ɔ	23	
菠		b	o	1		b	o	1		p	ɔ	23	
菠		b	o	2		b	o	3		p	ɔ	35	
雹		b	ok	8		b	ok	8		p	ɔk	31	
薄		b	ok	8		b	ok	8		p	ɔk	31	
箔		b	ok	8		b	ok	8		p	ɔk	31	
礴		b	ok	8		b	ok	8		p	ɔk	31	
泊		b	ok	8		b	ok	8		p	ɔk	31	
魄		b	ok	8		b	ok	8		p	ɔk	31	旁魄
博		b	ok	7A		b	ok	6		p	ɔk	35	
卜		b	ok	7A		b	ok	6		p	ɔk	35	
搏		b	ok	7B		b	ok	7		p	ɔk	23	
駁		b	ok	7B		b	ok	7		p	ɔk	23	
博		b	ok	7B		b	ok	7		p	ɔk	23	
膊		b	ok	7B		b	ok	7		p	ɔk	23	
縛		b	ok	7B		b	ok	7		p	ɔk	23	
邦		b	ong	1		b	ong	1		p	ɔŋ	23	
幫		b	ong	1		b	ong	1		p	ɔŋ	23	
榜		b	ong	2		b	ong	3		p	ɔŋ	35	
綁		b	ong	2		b	ong	3		p	ɔŋ	35	
膀		b	ong	2		b	ong	3		p	ɔŋ	35	肩膀
傍		b	ong	6		b	ong	4		p	ɔŋ	31	依山傍水
傍		b	ong	6		b	ong	4		p	ɔŋ	31	傍晚
磅		b	ong	6		b	ong	4		p	ɔŋ	31	一磅
布		b	ou	1		b	ou	1		p	ou	23	
佈		b	ou	1		b	ou	1		p	ou	23	
怖		b	ou	1		b	ou	1		p	ou	23	
埔		b	ou	1		b	ou	1		p	ou	23	
褒		b	aau	1		b	au	1		p	au	23	
報		b	aau	1		b	au	1		p	au	23	
煲		b	aau	1		b	au	1		p	au	23	
煲		b	aau	5		b	au	5		p	au	21	煲仔，變調
補		b	ou	2		b	ou	3		p	ou	35	
保		b	aau	2		b	au	3		p	au	35	
葆		b	aau	2		b	au	3		p	au	35	
堡		b	aau	2		b	au	3		p	au	35	
褓		b	aau	2		b	au	3		p	au	35	
寶		b	aau	2		b	au	3		p	au	35	
捕		b	ou	6		b	ou	4		p	ou	31	
哺		b	ou	6		b	ou	4		p	ou	31	
步		b	ou	6		b	ou	4		p	ou	31	
部		b	ou	6		b	ou	4		p	ou	31	
簿		b	ou	6		b	ou	4		p	ou	31	
暴		b	aau	6		b	au	4		p	au	31	凶暴
埠		b	ou	6		b	ou	4		p	ou	31	埠頭
貝		b	waai	1		b	uai	1		p	uai	23	
狽		b	waai	1		b	uai	1		p	uai	23	
杯		b	waai	1		b	uai	1		p	uai	23	
盃		b	waai	1		b	uai	1		p	uai	23	
背		b	waai	1		b	uai	1		p	uai	23	背後
輩		b	waai	1		b	uai	1		p	uai	23	
悖		b	waai	1		b	uai	1		p	uai	23	
背		b	waai	6		b	uai	4		p	uai	31	背書
悖		b	waai	6		b	uai	4		p	uai	31	
焙		b	ui	6		b	ui	4		p	ui	31	
蹼		b	uk	8		b	uk	8		p	ʊk	31	
暴		b	uk	8		b	uk	8		p	ʊk	31	一暴十寒
僕		b	uk	8		b	uk	8		p	ʊk	31	
瀑		b	uk	8		b	uk	8		p	ʊk	31	
曝		b	uk	8		b	uk	8		p	ʊk	31	
仆		b	uk	8		b	uk	8		p	ʊk	31	
卜		b	uk	7A		b	uk	6		p	ʊk	35	
般		b	waan	1		b	uan	1		p	uan	23	
半		b	waan	1		b	uan	1		p	uan	23	
搬		b	waan	1		b	uan	1		p	uan	23	
本		b	waan	2		b	uan	3		p	uan	35	
畚		b	waan	2		b	uan	3		p	uan	35	
絆		b	waan	6		b	uan	4		p	uan	31	
叛		b	waan	6		b	uan	4		p	uan	31	
畔		b	waan	6		b	uan	4		p	uan	31	
伴		b	waan	6		b	uan	4		p	uan	31	
拌		b	waan	6		b	uan	4		p	uan	31	
胖		b	waan	6		b	uan	4		p	uan	31	肥胖
肨		b	waan	6		b	uan	4		p	uan	31	
撥		b	waat	8		b	uat	8		p	uat	31	
勃		b	waat	8		b	uat	8		p	uat	31	
脖		b	waat	8		b	uat	8		p	uat	31	
渤		b	waat	8		b	uat	8		p	uat	31	
缽		b	waat	8		b	uat	8		p	uat	31	
砵		b	waat	8		b	uat	8		p	uat	31	
鉢		b	waat	8		b	uat	8		p	uat	31	
缽		b	waat	8		b	uat	8		p	uat	31	
詫		c	aa	1		c	a	1		ʦʰ	a	23	
奼		c	aa	1		c	a	1		ʦʰ	a	23	
差		c	aa	1		c	a	1		ʦʰ	a	23	差別
叉		c	aa	1		c	a	1		ʦʰ	a	23	
岔		c	aa	1		c	a	1		ʦʰ	a	23	
茶		c	aa	4		c	a	2		ʦʰ	a	22	
查		c	aa	4		c	a	2		ʦʰ	a	22	檢查
槎		c	aa	4		c	a	2		ʦʰ	a	22	
差		c	aai	1		c	ai	1		ʦʰ	ai	23	出差
猜		t	aai	2		t	ai	3		tʰ	ai	35	
踩		c	aai	2		c	ai	3		ʦʰ	ai	35	
柴		c	aai	4		c	ai	2		ʦʰ	ai	22	
參		t	aam	1		t	am	1		tʰ	am	23	
攙		c	aam	1		c	am	1		ʦʰ	am	23	參加
摻		c	aam	1		c	am	1		ʦʰ	am	23	
杉		c	aam	1		c	am	1		ʦʰ	am	23	
慘		t	aam	2		t	am	3		tʰ	am	35	
饞		c	aam	4		c	am	2		ʦʰ	am	22	
蠶		t	aam	4		t	am	2		tʰ	am	22	
慚		t	aam	4		t	am	2		tʰ	am	22	
巉		c	aam	4		c	am	2		ʦʰ	am	22	
餐		t	aan	1		t	an	1		tʰ	an	23	
璨		t	aan	1		t	an	1		tʰ	an	23	
燦		t	aan	1		t	an	1		tʰ	an	23	
鏟		c	aan	2		c	an	3		ʦʰ	an	35	
