正體	簡體	聲母	韻母	聲調	詞例	声母音标	韵母音标	調值	拼音	
啊	啊		a	1	叹词		a	21	a1	
唉	唉		ae	1	語氣詞		ɛ	21	ae1	
阿	阿		ah	7	阿哥		aʔ	4	ah7	
吧	吧	b	a	0	語氣詞	p	a	0	ba0	
巴	巴	b	a	1		p	a	21	ba1	
扒	扒	b	a	1	扒開來	p	a	21	ba1	
叭	叭	b	a	1		p	a	21	ba1	
芭	芭	b	a	1		p	a	21	ba1	
疤	疤	b	a	1		p	a	21	ba1	
笆	笆	b	a	1		p	a	21	ba1	
粑	粑	b	a	1		p	a	21	ba1	
吧	吧	b	a	1	酒吧	p	a	21	ba1	
把	把	b	a	3	把持	p	a	31	ba3	
㞎	㞎	b	a	3		p	a	31	ba3	
靶	靶	b	a	3		p	a	31	ba3	
欛	把	b	a	5	刀欛	p	a	44	ba5	
壩	坝	b	a	5		p	a	44	ba5	
爸	爸	b	a	5		p	a	44	ba5	
霸	霸	b	a	5		p	a	44	ba5	
唄	呗	b	ae	0	語氣詞	p	ɛ	0	bae0	
擺	摆	b	ae	3		p	ɛ	31	bae3	
拜	拜	b	ae	5		p	ɛ	44	bae5	
八	八	b	aeh	7		p	iaʔ	4	baeh7	
捌	捌	b	aeh	7		p	iaʔ	4	baeh7	
扳	扳	b	aen	1		p	ɛ̃	21	baen1	
攽	攽	b	aen	1		p	ɛ̃	21	baen1	
班	班	b	aen	1		p	ɛ̃	21	baen1	
般	般	b	aen	1	般配	p	ɛ̃	21	baen1	
頒	颁	b	aen	1		p	ɛ̃	21	baen1	
斑	斑	b	aen	1		p	ɛ̃	21	baen1	
瘢	瘢	b	aen	1		p	ɛ̃	21	baen1	
蓖	蓖	b	aen	1		p	ɛ̃	21	baen1	
阪	阪	b	aen	3		p	ɛ̃	31	baen3	
坂	坂	b	aen	3		p	ɛ̃	31	baen3	
板	板	b	aen	3		p	ɛ̃	31	baen3	
闆	板	b	aen	3		p	ɛ̃	31	baen3	
版	版	b	aen	3		p	ɛ̃	31	baen3	
舨	舨	b	aen	3		p	ɛ̃	31	baen3	
辦	办	b	aen	5	文读	p	ɛ̃	44	baen5	
扮	扮	b	aen	5		p	ɛ̃	44	baen5	
𢴬	𢴬	b	aen	5		p	ɛ̃	44	baen5	
瓣	瓣	b	aen	5		p	ɛ̃	44	baen5	
柏	柏	b	ah	7	柏油	p	aʔ	4	bah7	
剝	剥	b	ah	7		p	aʔ	4	bah7	
𠺣	𠺣	b	ah	7		p	aʔ	4	bah7	
駁	驳	b	ah	7		p	aʔ	4	bah7	
博	博	b	ah	7		p	aʔ	4	bah7	
搏	搏	b	ah	7		p	aʔ	4	bah7	
煿	煿	b	ah	7	火烤	p	aʔ	4	bah7	
邦	邦	b	an	1		p	ã	21	ban1	
幫	帮	b	an	1		p	ã	21	ban1	
梆	梆	b	an	1		p	ã	21	ban1	
浜	浜	b	an	1		p	ã	21	ban1	
傍	傍	b	an	1		p	ã	21	ban1	
泵	泵	b	an	1		p	ã	21	ban1	
綁	绑	b	an	3		p	ã	31	ban3	
榜	榜	b	an	3		p	ã	31	ban3	
膀	膀	b	an	3	肩膀	p	ã	31	ban3	
謗	谤	b	an	5		p	ã	44	ban5	
鎊	镑	b	an	5		p	ã	44	ban5	
不	不	b	eh	7		p	əʔ	4	beh7	
杯	杯	b	ei	1		p	əi	21	bei1	
卑	卑	b	ei	1		p	əi	21	bei1	
悲	悲	b	ei	1		p	əi	21	bei1	
碑	碑	b	ei	1		p	əi	21	bei1	
揹	背	b	ei	1	背包	p	əi	21	bei1	
貝	贝	b	ei	5		p	əi	44	bei5	
狽	狈	b	ei	5		p	əi	44	bei5	
背	背	b	ei	5	背脊	p	əi	44	bei5	
鋇	钡	b	ei	5		p	əi	44	bei5	
倍	倍	b	ei	5		p	əi	44	bei5	
