單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
阿			aa	1			a	1		ʔ	a	23		ʔ	ᴀ	23	阿文
啊			aa	1			a	1		ʔ	a	23		ʔ	ᴀ	23	
唉			aai	2			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
欸			aai	2			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
哎			aai	2			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
罷		b	aa	6		b	a	4		p	a	32		p	ᴀ	32	
罢		b	aa	6		b	a	4		p	a	32		p	ᴀ	32	
霸		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
巴		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
芭		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
笆		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
靶		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
把		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
吧		b	aa	6		b	a	4		p	a	32		p	ᴀ	32	
爸		b	aa	5		b	a	2		p	a	21		p	ᴀ	21	
壩		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
峇		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
疤		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
粑		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
伯		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	春秋五伯
襬		b	aai	2		b	ai	3		p	ai	45		p	ᴀj	45	
拜		b	aai	1		b	ai	1		p	ai	23		p	ᴀj	23	
湃		b	aai	1		b	ai	1		p	ai	23		p	ᴀj	23	
擺		b	aai	2		b	ai	3		p	ai	45		p	ᴀj	45	
摆		b	aai	2		b	ai	3		p	ai	45		p	ᴀj	45	
敗		b	aai	6		b	ai	4		p	ai	32		p	ᴀj	32	
败		b	aai	6		b	ai	4		p	ai	32		p	ᴀj	32	
頒		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
阪		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
扮		b	aan	6		b	an	4		p	an	32		p	ᴀn	32	
班		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
斑		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
板		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
版		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
辦		b	aan	6		b	an	4		p	an	32		p	ᴀn	32	
粄		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
闆		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
褒		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
報		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
保		b	aau	2		b	au	3		p	au	45		p	ᴀw	45	
葆		b	aau	2		b	au	3		p	au	45		p	ᴀw	45	
堡		b	aau	2		b	au	3		p	au	45		p	ᴀw	45	
褓		b	aau	2		b	au	3		p	au	45		p	ᴀw	45	
寶		b	aau	2		b	au	3		p	au	45		p	ᴀw	45	
暴		b	aau	6		b	au	4		p	au	32		p	ᴀw	32	凶暴
煲		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
伯		b	ak	9		b	aek	9		p	ɐk	21		p	ɐk	21	阿伯
伯		b	ak	8		b	aek	8		p	ɐk	32		p	ɐk	32	
白		b	ak	8		b	aek	8		p	ɐk	32		p	ɐk	32	
帛		b	ak	8		b	aek	8		p	ɐk	32		p	ɐk	32	
百		b	ak	7b		b	aek	7		p	ɐk	23		p	ɐk	23	一百
伯		b	ak	7b		b	aek	7		p	ɐk	23		p	ɐk	23	伯爺
蔔		b	ak	8		b	aek	8		p	ɐk	32		p	ɐk	32	萝卜
卜		b	ak	8		b	aek	8		p	ɐk	32		p	ɐk	32	
乓		b	am	1		b	aem	1		p	ɐm	23		p	ɐm	23	
鬢		b	an	6		b	aen	4		p	ɐn	32		p	ɐn	32	
賓		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
濱		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
檳		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
鬢		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
彬		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
臏		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
繽		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
稟		b	an	2		b	aen	3		p	ɐn	45		p	ɐn	45	
品		b	an	2		b	aen	3		p	ɐn	45		p	ɐn	45	
繃		b	ang	1		b	aeng	1		p	ɐŋ	23		p	ɐŋ	23	繃帶
崩		b	ang	1		b	aeng	1		p	ɐŋ	23		p	ɐŋ	23	
蹦		b	ang	2		b	aeng	3		p	ɐŋ	45		p	ɐŋ	45	
拔		b	at	8		b	aet	8		p	ɐt	32		p	ɐt	32	
畢		b	at	7a		b	aet	6		p	ɐt	45		p	ɐt	45	
筆		b	at	7a		b	aet	6		p	ɐt	45		p	ɐt	45	
不		b	at	7a		b	aet	6		p	ɐt	45		p	ɐt	45	
跋		b	at	8		b	aet	8		p	ɐt	32		p	ɐt	32	
嗶		b	at	7a		b	aet	6		p	ɐt	45		p	ɐt	45	
閉		b	ei	1		b	ei	1		p	ei	23		p	ei	23	
陛		b	ei	1		b	ei	1		p	ei	23		p	ei	23	
蔽		b	ei	1		b	ei	1		p	ei	23		p	ei	23	
敝		b	ei	6		b	ei	4		p	ei	32		p	ei	32	
弊		b	ei	6		b	ei	4		p	ei	32		p	ei	32	
幣		b	ei	6		b	ei	4		p	ei	32		p	ei	32	
斃		b	ei	6		b	ei	4		p	ei	32		p	ei	32	跛腳
跛		b	ei	2		b	ei	3		p	ei	45		p	ei	45	
柄		b	eng	1		b	eng	1		p	ɛŋ	23		p	ɛŋ	23	
餅		b	eng	2		b	eng	3		p	ɛŋ	45		p	ɛŋ	45	
病		b	eng	6		b	eng	4		p	ɛŋ	32		p	ɛŋ	32	
八		b	et	7b		b	et	7		p	ɛt	23		p	ɛt	23	
捌		b	et	7b		b	et	7		p	ɛt	23		p	ɛt	23	
叭		b	et	7b		b	et	7		p	ɛt	23		p	ɛt	23	
卑		b	i	1		b	i	1		p	i	23		p	i	23	
臂		b	i	1		b	i	1		p	i	23		p	i	23	
碑		b	i	1		b	i	1		p	i	23		p	i	23	
庇		b	i	1		b	i	1		p	i	23		p	i	23	比較
悲		b	i	1		b	i	1		p	i	23		p	i	23	
泌		b	i	1		b	i	1		p	i	23		p	i	23	
祕		b	i	1		b	i	1		p	i	23		p	i	23	
彼		b	i	2		b	i	3		p	i	45		p	i	45	
比		b	i	2		b	i	3		p	i	45		p	i	45	被動
妣		b	i	2		b	i	3		p	i	45		p	i	45	
避		b	i	6		b	i	4		p	i	32		p	i	32	
被		b	i	6		b	i	4		p	i	32		p	i	32	
鼻		b	i	6		b	i	4		p	i	32		p	i	32	
備		b	i	6		b	i	4		p	i	32		p	i	32	
憊		b	i	6		b	i	4		p	i	32		p	i	32	
痺		b	i	1		b	i	1		p	i	23		p	i	23	
秘		b	i	1		b	i	1		p	i	23		p	i	23	
陂		b	i	5		b	i	2		p	i	21		p	i	21	
畀		b	i	2		b	i	3		p	i	45		p	i	45	
啤		b	iaa	1		b	ia	1		p	ia	23		p	ɪᴀ	23	
北		b	ik	7a		b	ik	6		p	ɪk	45		p	eɪk	45	
百		b	ik	7a		b	ik	6		p	ɪk	45		p	eɪk	45	百厭
壁		b	ik	7b		b	ik	7		p	ɪk	23		p	eɪk	23	
璧		b	ik	7b		b	ik	7		p	ɪk	23		p	eɪk	23	
碧		b	ik	7b		b	ik	7		p	ɪk	23		p	eɪk	23	
逼		b	ik	7b		b	ik	7		p	ɪk	23		p	eɪk	23	
迫		b	ik	7b		b	ik	7		p	ɪk	23		p	eɪk	23	
邊		b	in	1		b	in	1		p	in	23		p	in	23	
辮		b	in	1		b	in	1		p	in	23		p	in	23	
扁		b	in	2		b	in	3		p	in	45		p	in	45	扁平
匾		b	in	2		b	in	3		p	in	45		p	in	45	
鞭		b	in	1		b	in	1		p	in	23		p	in	23	
變		b	in	1		b	in	1		p	in	23		p	in	23	
貶		b	in	2		b	in	3		p	in	45		p	in	45	
邊		b	in	4		b	in	2		p	in	22		p	in	22	邊址
便		b	in	6		b	in	4		p	in	32		p	in	32	便利
汴		b	in	6		b	in	4		p	in	32		p	in	32	
辨		b	in	6		b	in	4		p	in	32		p	in	32	
辯		b	in	6		b	in	4		p	in	32		p	in	32	
並		b	ing	6		b	ing	4		p	ɪŋ	32		p	eɪŋ	32	
兵		b	ing	1		b	ing	1		p	ɪŋ	23		p	eɪŋ	23	
冰		b	ing	1		b	ing	1		p	ɪŋ	23		p	eɪŋ	23	
柄		b	ing	2		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
丙		b	ing	2		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
秉		b	ing	2		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
炳		b	ing	2		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
摒		b	ing	2		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
屏		b	ing	2		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	屏除
并		b	ing	6		b	ing	4		p	ɪŋ	32		p	eɪŋ	32	
迸		b	ing	6		b	ing	4		p	ɪŋ	32		p	eɪŋ	32	
乒		b	ing	1		b	ing	1		p	ɪŋ	23		p	eɪŋ	23	
癟		b	it	8		b	it	8		p	it	32		p	it	32	
別		b	it	8		b	it	8		p	it	32		p	it	32	
必		b	it	7a		b	it	6		p	it	45		p	it	45	
