id	ini	fn	pt	单字	IPA	注释	
1	t	o	33	多	to33	多少	
2	tʰ	o	33	拖	tʰo33	拖拉机	
3	tʰ	a	33	他	tʰa33	其他	
4	tʰ	o	41	駝	tʰo41	骆驼	
5	tʰ	o	41	舵	tʰo41	舵手	
6	t	ai	53	大	tai53	大夫、大黄	
7	n	o	41	哪	no41	哪里；哪吒	
8	n	a	41	那	na41	那里；那霍（地名）	
9	l	o	41	羅	lo41	姓	
10	l	o	41	鑼	lo41	锣鼓	
11	l	o	41	蘿	lo41	萝卜	
12	l	o	41	籮	lo41	箩筐	
13	ts	o	21	左	tso21	左右	
14	ts	o	21	佐	tso21	辅佐	
15	tsʰ	a	33	搓	tsʰa33	搓手	
16	k	o	33	歌	ko33	唱歌	
17	k	o	33	哥	ko33	哥哥	
18	k	o	53	個	ko53	一个	
19	h	o	21	可	ho21	可以	
20	ŋ	o	41	蛾	ŋo41	飞蛾	
21	ŋ	o	41	鵝	ŋo41	天鹅	
22	ŋ	o	41	俄	ŋo41	俄国	
23	ŋ	o	21	我	ŋo21	我们	
24	ŋ	o	53	餓	ŋo53	肚子饿	
25	h	o	41	荷	ho41	薄荷	
26	h	o	41	河	ho41	黄河	
27	h	o	41	何	ho41	姓何	
28	h	o	41	荷	ho41	荷花	
29	h	o	53	賀	ho53	祝贺	
30		a	33	阿	a33	阿哥	
31		o	33	阿	o33	阿胶；阿弥陀佛	
32	kʰ	ɛ	41	茄	kʰɛ41	茄子	
33	p	o	33	波	po33	风波	
34	p	o	33	菠	po33	菠菜	
35	pʰ	o	21	跛	pʰo21	跛足	
36	p	o	25	簸	po25	簸箕	
37	p	o	25	播	po25	播种	
38	pʰ	o	33	坡	pʰo33	山坡	
39	p	o	33	玻	po33	玻璃	
40	pʰ	o	25	破	pʰo25	破坏	
41	pʰ	o	41	婆	pʰo41	外婆	
42	p	ok	041	薄	pok41	薄荷	
43	m	o	33	魔	mo33	魔术	
44	m	o	41	磨	mo41	磨刀（动）	
45	m	o	33	摩	mo33	摩擦	
46	m	o	53	磨	mo53	石磨（名）	
47	t	o	21	朵	to21	一朵花	
48	t	o	21	躲	to21	躲避	
49	t	iɛk	021	剁	tiɛk21	剁猪肉	
50	tʰ	o	21	妥	tʰo21	妥当	
