pa	pa	夫玞砆鳺																							
paʔ	paq	斧鈇蚥甫{男子美稱；大；開始}簠黼脯㕮																							
pah	pah	賦																							
pʰa	pha	敷																							
pʰaʔ	phaq	撫俌																							
ba	ba	夫扶芙枎榑																							
baʔ	baq	父釜滏輔鬴																							
bah	bah	賻																							
ma	ma	無无蕪譕巫誣莁亡																							
maʔ	maq	武鵡舞潕廡甒儛膴{美厚}憮{悵然失意}毋𢜮																							
m̥aʔ	mhaq	鄦許{姓}冔																							
ta	ta	諸櫧遮																							
taʔ	taq	渚陼煑煮䰞褚{囊袋}者赭																							
tah	tah	翥柘蔗																							
sta	sta	書																							
staʔ	staq	緒																							
stah	stah	庶																							
tʰaʔ	thaq	處杵																							
tʰah	thah	厈䞣																							
stʰaʔ	sthaq	暑																							
stʰa	stha	奢奓																							
da	da	蜍{蟾~}																							
daʔ	daq	社																							
dah	dah	署曙藷薯																							
na	na	如茹{根；~藘，茜草}𩶯鴽																							
naʔ	naq	汝茹{喫}																							
nah	nah	茹{柔軟；猜度}洳{沮~：低濕之地}𣹤																							
n̥ah	nhah	恕赦																							
snah	snah	絮{粗絲綿}																							
tsa	tsa	且{多；也~；紀月地支；專名}苴{鞋中草墊}蛆䪶罝																							
tsaʔ	tsaq	咀飷																							
tsah	tsah	沮{~洳：低濕之地}唶借{~出；假如}																							
tsʰa	tsha	沮{河名}狙砠疽雎鴡																							
tsʰaʔ	tshaq	且																							
dza	dza	豠																							
dzaʔ	dzaq	沮{阻止；毀壞；恐懼}																							
sa	sa	胥蝑																							
saʔ	saq	湑諝糈稰胥{才智；小官}																							
la	la	余餘畬雓狳伃妤																							
laʔ	laq	予野壄																							
lah	lah	豫{安樂、喜悅}預悆射{~干，木名}																							
l̥a	lha	舒賒																							
l̥aʔ	lhaq	鼠癙黍舍{~棄；赦免；施~}騇																							
l̥ah	lhah	舍舎捨																							
slaʔ	slaq	寫序{廂房；學校}敘{次序；記~}漵紓																							
sla	sla	徐																							
slah	slah	榭謝㴬																							
mlaʔ	mlaq	墅野{東漢中原方言}抒																							
mlah	mlah	射䠶																							
ra	ra	慮藘廬驢																							
raʔ	raq	旅膂呂侶																							
rah	rah	勴濾																							
C.ra	C.ra	閭臚																							
C.raʔ	C.raq	儢																							
ɫa	ja	輿譽{動詞}璵旟歟𪋮耶瑘琊鎁鋣																							
ɫaʔ	jaq	與也冶																							
ɫah	jah	譽鸒{~斯，鳥名}礜藇{藷~}蕷豫{猶~}夜射{僕~、~姑}鵺																							
ɫ̥a	jha	車																							
kɫaʔ	kjaq	舉																							
mɫa	mja	邪{不正}衺斜																							
mɫaʔ	mjaq	藇{酒美}鱮																							
ka	ka	車居琚裾倨据崌鶋凥																							
kaʔ	kaq	柜矩榘萭																							
kah	kah	椐鋸踞據																							
kʰa	kha	墟祛袪阹魼																							
kʰaʔ	khaq	紶麮																							
kʰah	khah	去呿鼁																							
ga	ga	渠蕖腒懅籧蘧																							
gaʔ	gaq	巨蚷姖鉅拒詎秬岠苣歫距炬虡簴鐻																							
gah	gah	遽豦醵																							
ŋa	nga	魚漁																							
ŋaʔ	ngaq	語圉圄禦篽敔鋙																							
ŋah	ngah	御馭																							
ŋ̊aʔ	nhgaq	許																							
ha	ha	虛噓魖𧴆歔𨼋																							
haʔ	haq	所{~~}許{~~}																							
kwa	kwa	𥇛㪺																							
kwaʔ	kwaq	蝺楀																							
kʰwaʔ	khwaq	踽齲																							
gwa	gwa	瞿衢躣鸜																							
ŋwa	ngwa	虞澞娛																							
ŋwaʔ	ngwaq	俁{~~，大}噳{~~，多}麌																							
wa	wa	于竽玗盂雩謣邘迂杅																							
waʔ	waq	雨羽宇禹鄅偊																							
wah	wah	芋																							
ẘa	wha	吁盱荂																							
ẘaʔ	whaq	栩詡訏																							
ʔa	qa	於淤																							
ʔah	qah	菸𡌧棜瘀																							
ʔwa	qwa	紆陓																							
pra	pra	膚																							
praʔ	praq	甫{國名}																							
prah	prah	傅																							
tra	tra	豬潴瀦																							
traʔ	traq	貯褚{棺飾}																							
trah	trah	著{顯著；成就；記載}箸咤																							
tʰra	thra	㻬㯉樗																							
tʰraʔ	thraq	楮																							
dra	dra	躇藸																							
draʔ	draq	儲宁佇杼羜紵芧竚䇡																							
nra	nra	挐蒘袽帤																							
nraʔ	nraq	女籹																							
n̥ra	nhra	筡絮{調味}																							
tsra	tsra	菹葅																							
tsraʔ	tsraq	阻俎助																							
tsrah	tsrah	詛																							
tsʰra	tshra	初																							
tsʰraʔ	tshraq	楚濋																							
dzra	dzra	苴{麻子}鋤耡鉏																							
dzrah	dzrah	麆																							
sra	sra	疋疏疎踈梳蔬																							
lra	lra	除篨蒢																							
r̥a	rha	攄																							
kraʔ	kraq	莒筥																							
graʔ	graq	粔																							
