pʰa[2]耙爬杷葩琶扒[5]怕[6]罢吧
ȵau[1]耰挠{白}[3]爪{白}[6]爪{白，动词}
kau[1]交胶郊跤鲛茭架{打架}[3]姣饺绞狡皎蛟搅搞[5]较教校{校对}觉{睡觉}窖铰筊
kʰau[5]靠
ŋau[2]崤淆肴[4]咬
hau[1]敲酵铐哮烤拷[3]巧考[5]孝[6]效校学校
ʔau[3]朽[5]坳[6]坳{深洞}

pʰan[1]攀[2]爬{白}[5]盼[6]办扮瓣湴
ɓan[1]班斑癡扳颁搬{搬兵}[3]板坂扳阪版版[5]襻
man[1]挽{挽回，白}[2]蛮顽[3]挽顽[4]晚[6]万曼慢缦幔漫蔓缦馒墁鳗嫚
fan[1]番翻幡幡[2]烦凡矾帆梵藩繁燔樊[3]反返泛[5]贩[6]饭犯范
wan[1]弯湾[2]还环寰鬟缳[3]玩莞{莞尔}[4]皖[6]幻患宦豢
tan[5]赞缵
tʰan[1]摊滩瘫餐坍[2]弹{弹拨}坛檀昙残戕[3]坦袒姐疸毯灿忐粲璨[5]叹炭碳[6]蛋弹子弹惮
ɗan[1]丹单郸箪[5]旦诞
nan[2]难{困难}[6]难{苦难}
tʃan[3]盏
tʃʰan[1]搀[3]铲[6]栈赚撰馔
ʃan[1]山触栅删珊跚闩[2]孱潺馋馋婪[3]产[5]汕疝篡
lan[1]躅栏{白}兰{荷兰}[2]拦栏兰阑澜镧岚[4]懒[6]烂蔺躏
ɬan[3]散{散开}[5]散{分散}伞
kan[1]奸艰间{时间}营[3]柬拣碱简锏研涧謇[5]谏间{间隔}
ŋan[1]间{一间}[3]间{一间}[4]眼[6]雁赝
han[1]悭铿[2]闲娴鹏[6]限苋
kʷan[1]关纶鳏[5]惯
kʷʰan[5]掼{轻触}[6]掼{扔}
ʔan[5]晏

pʰaŋ[1]烹[2]朋棚彭澎彭硼鹏[4]棒[6]蚌湴{稀泥}
ɓaŋ[1]邦{人名}
maŋ[3]蜢{白}[2]盲[4]蜢锰猛[6]孟
waŋ[2]横{横竖}衡[6]横{横木}
tʃaŋ[1]争睁峥筝挣
tʃʰaŋ[1]撑[5]撑{撑开}[2]依[6]橙绽
ʃaŋ[1]生牲甥笙[3]省
laŋ[3]冷{心冷}[4]冷{天气冷}
kaŋ[1]耕更粳庚赓羹[3]港讲[5]降{降落、降服}绛更虹{白。按“虹”字为江韵去声，正与“降绛”音同}
ŋaŋ[6]硬
haŋ[1]坑桁瓦桁亨哼[2]桁{桁条}珩行{行走}[4]行{行愿}[6]巷
kʷʰaŋ[1]框{白}轰[3]梗{白}
ʔaŋ[1]罂莺

tam[1]簪[5]湛
tʰam[1]贪参骖[2]惭覃潭谭蚕氮谈[3]惨[4]淡[5]探[6]啖
ɗam[1]担{担着}耽眈叼[3]胆[5]担{担子}
nam[1]喃{喃斋}[2]男南楠[4]腩蘸[6]蝻
tʃam[3]斩崭眨
tʃʰam[5]忏谶[6]站
ʃam[1]衫
jam[5]渗
lam[1]躝[3]览榄揽[2]蓝篮褴[6]缆滥舰
ɬam[1]叁三[5]三{三思}
kam[1]监{监牢}[3]减[5]鉴淦监{太监}尴槛
ŋam[1]喏[2]岩癌
ham[1]嵌憨[2]咸函涵衔[3]瞰[5]喊[6]陷憾撼
ʔam[1]喑谙黯

pʰat[8]拔跋祓卜{萝卜}[9]帕
ɓat[9]八捌
mat[8]袜[9]抹
fat[8]伐阀罚筏乏[9]发法珐砝
wat[8]滑猾[9]挖
tat[8]达挞哒
tʰat[9]擦{白}遢
ɗat[9]笪
nat[8]挞{白}
tʃat[9]扎札轧
tʃʰat[8]铡[9]察擦獭
ʃat[9]杀刹煞刷
jat[8]曳拽
lat[8]辣邋[9]辣{火辣辣}
ɬat[9]萨撒
ŋat[8]兀{兀鹰}
kʷat[9]刮

pʰak[8]白帛弼[9]拍迫珀舶粕泊{泊岸}魄{魂魄}
ɓak[9]百佰陌柏檗蓦
mak[8]麦[9]剥
wak[8]获或域惑域划画{动词，白}
tʃak[9]摘谪窄责簧赜帻
tʃʰak[8]宅翟择泽[9]拆策册
kak[9]格阁觉{知觉}革翮隔膈嗝角桷珏
ŋak[8]岳额乐{音乐}
hak[8]学[9]吓赫客
kʷak[8]虢
ʔak[9]厄扼栀铌轭握压遏

tap[9]洽恰匝咂霎
tʰap[8]什杂沓踏[9]塔塌榻蹋
ɗap[9]答搭裕瘩
nap[8]呐纳钠[9]捺
tʃap[9]集{鸟停树上}
tʃʰap[8]闸[9]插
lap[8]蜡腊拉{拉杂}垃
ɬap[9]圾飒歃
kap[9]甲
hap[8]匣狎峡侠[9]喝{白}
ʔap[9]鸭押

pʰɐi[1]批[2]脾{脾胃}[6]弊斃陛币
ɓɐi[1]跛{白}[5]闭蔽
mɐi[1]米{一米}[2]迷谜[4]米{白米}[5]眯睡着[6]袂
fɐi[1]挥辉晖徽麾携亏[3]毁[5]蔚慰讳卉
wɐi[1]威葳崴[2]围违闱帏桅遗唯惟维为{行为}[3]委萎逶诿痿[4]伟韦炜纬苇讳[5]畏喂秽[6]卫外为{为了}胃喟渭猬谓位穗慧惠蕙会{会不会}
tɐi[1]剂挤跻[3]济仔[5]霁祭际
tʰɐi[1]妻凄栖栖锑[2]提堤题蹄啼齐荠[3]睇体[4]弟娣[5]切砌沏剃涕替屉绨缔啻[6]第递悌隶逮棣
ɗɐi[1]低[3]底坻诋邸砥抵[5]帝蒂咄{白}
nɐi[1]泥糊住[2]泥妮尼[6]泥{身上污垢}腻
tʃɐi[1]斟白[5]制掣[6]滞
ʃɐi[1]筛[3]驶使[5]世势[6]誓逝
jɐi[6]曳拽系{关系，白}
lɐi[2]犁黎藜黧[4]礼醴澧蠡[6]厉励砺蛎疠丽俪利{利是}
ɬɐi[1]西犀樨嘶[3]洗[5]细婿
kɐi[1]鸡笄机{扳机}[5]系{系住}计[6]计{“计头”,奥妙，白}抵{抵住，白}
kʰɐi[1]溪蹊稽嵇[3]启檠[5]契
ŋɐi[2]危魏蜕巍倪睨霓嵬[4]伪蚁[6]艺诣羿毅
hɐi[1]屄{女阴}[5]契{契约，白}[6]系{是}
kʷɐi[1]归龟岿圭珪闺硅鲑鳜[3]鬼诡簋晷傀轨[5]贵桂季瑰癸恚悸
kʷʰɐi[1]规盔窥[2]葵睽揆馗畦逵魁奎槐[5]愧[6]跪匮馈柜
ŋʷɐi[6]外
ʔɐi[5]缢

pʰɐu[3]剖
ɓɐu[1]褒鸨
mɐu[1]痞[2]某谋缪牟侔眸[6]贸茂谬缪
fɐu[1]缶否{否决}[2]浮[3]否{是否}[6]阜埠
tɐu[1]邹[3]走酒
tʰɐu[1]秋楸偷[2]头投[3]敵[5]透[6]就鹫岫袖宙痘窦逗读{句读}
ɗɐu[1]兜苑逗{白}[3]斗{升斗}抖蚪纠赳陡[5]斗{斗争}逗{白}薮{窝，巢}
nɐu[3]扭纽钮钮妞
tʃɐu[1]周啁舟州洲[3]肘帚[5]咒昼胄籀
tʃʰɐu[1]抽[2]绸惆稠囚俦筹畴踌酬[3]丑[4]纣[5]臭嗅
ʃɐu[1]收馊[2]愁仇[3]手首守狩[5]兽叟瘦[6]受授绶寿售
ȵɐu[2]牛[5]皱绉
jɐu[1]忧优幽[2]由油柚铀邮尤鱿犹酋遒柔揉蹂攸悠游蝣[4]友有囿宥[5]幼[6]又右佑祐诱牖
lɐu[1]娄褛疆溜[2]留楼硫流琉刘浏瘤绺[3]搂褛蝼楼[4]榴[5]溜{溜下}[6]陋漏溜{滑溜}
ɬɐu[1]修修羞馐飕{白}须{胡须}[3]抖{白}[5]秀莠绣锈漱嗽
kɐu[1]勾钩沟鸠篝阉[3]九狗苟枸久玖韭[5]够咎垢诟厩构疚柩究媾购
kʰɐu[1]抠抽{白}[2]求球俅仇逑[4]白舅[5]叩扣寇蔻彀[6]旧
ŋɐu[4]偶耦藕[6]呆{白}
hɐu[1]丘邱蚯休[3]口[5]候[2]侯猴喉糅[4]厚[6]候后逅
ʔɐu[1]区姓鸥瓯讴欧[3]呕殴瘀{白}[5]沤

pʰɐn[1]喷{香喷喷}[2]贫频濒藏颦[3]品[4]笨{粗笨}[5]喷[6]笨
ɓɐn[1]乓宾滨镔侯嫔缤膑槟彬斌[3]禀[5]摈殡鬓
mɐn[1]蚊缗文{一文钱}焖[2]文旻雯闻氓民[4]泯岷吻汶敏闽悯愍刎[6]问
fɐn[1]分芬氛吩纷雾昏婚阁熏_曛醺勋荤[2]坟汾焚[3]粉[4]奋愤[5]训粪[6]份忿
wɐn[1]昏{昏君}温熏瘟氲[2]晕云芸耘纭魂[3]稳揾{寻找}[4]允尹[5]蕴酝愠图[6]陨殒韵运浑诨珲混
tɐn[1]津谆遵榛蓁臻[3]攒烬[5]进[6]沌顿钝炖盾遁疍{疍家}
tʰɐn[1]吞亲[2]旬荀秦询驯循[6]尽
ɗɐn[1]屯吨敦暾墩顿顿时[3]地囤顿[5]炖
nɐn[1]墩[3]捻
tʃɐn[1]真嗔瞋缜珍[3]准珍轸殄诊疹拯[5]晋缙振震赈镇圳
tʃʰɐn[1]伸春椿鹑[2]陈尘[3]蠢[5]衬趁榇[6]阵
ʃɐn[1]申伸呻绅[2]神辰晨娠唇蜃宸纯淳醇[4]肾盹[5]呻{白}[6]顺慎
ȵɐn[1]人{人人，每人}[2]人仁[4]忍刃韧纫轫[6]认
jɐn[2]匀寅夤[4]引蚓瘾
lɐn[2]伦轮仑纶沦抡鳞辑瑞嶙磷麟紊怜邻[6]论
ɬɐn[1]辛锌新薪[3]笋隼[5]汛迅讯舜瞬浚俊峻竣骏隽
kɐn[1]斤巾根跟筋[3]紧仅谨谨槿瑾觐[5]艮
kʰɐn[2]勤芹[4]近
ŋɐn[1]奀[2]银垠凝龈
hɐn[2]痕[3]肯啃垦恳很[6]恨狠
kʷɐn[1]均筠军君君钧昆琨鲲岷鉴[3]衮滚確鲧混棍{量词}[5]混{混骗}棍
kʷʰɐn[1]坤髡堃[2]群裙[3]困捆相菌绳[4]菌{菌类}[5]困窘悃睏[6]郡
ʔɐn[1]因姻茵恩殷甄湮[3]隐[5]印

pʰɐŋ[2]朋凭{凭据}[6]凭{依凭}
ɓɐŋ[1]崩绷蹦嘣甭[3]嘣{白}
mɐŋ[1]掹[2]盟[4]皿
tɐŋ[1]曾{姓}增缯臀憎[5]甑
tʰɐŋ[2]曾{曾经}滕藤誉腾[4]藤{被藤}[6]赠邓戥{白}蹬
ɗɐŋ[1]灯登瞪[3]等虿戥[5]凳
nɐŋ[3]拧[2]能
ɬɐŋ[1]僧[5]擤
kɐŋ[3]耿梗
kʰɐŋ[3]哽
ŋɐŋ[4]愣{白}
hɐŋ[2]衡恒[6]幸悻杏狠
kʷʰɐŋ[1]薨框{白}
ŋʷɐŋ[2]卬

tɐm[5]浸
tʰɐm[1]侵骏[2]寻浔荨[4]潭{白}
nɐm[3]稔惗
tʃɐm[1]针砧斟箴缄[3]枕怎[5]朕
tʃʰɐm[2]沉[4]镘[6]沉{压进水里}
ʃɐm[1]深参琛森[3]沈鸠审婶[5]瞬渗[6]甚椹甚什
ȵɐm[2]吟[3]饮渖[5]蹬{白}[6]任荏衽
jɐm[1]音阴荫[2]檐淫[5]荫渗{白}
lɐm[2]临林淋琳霖[4]凛惊廪[6]林{一林，一丛}
ɬɐm[1]心芯[5]沁
kɐm[1]今金[3]锦{锦卺}[5]禁噤
kʰɐm[1]衿衾襟[2]芩岑琴禽擒噙蠄{蠄蟧}[4]妗
hɐm[1]钦歆昕欣鑫
ʔɐm[1]揞{揞依儿}[3]瘖揞{揞紧}[5]揞{揞湿}

pʰɐt[7]匹
ɓɐt[7]不笔毕跸
mɐt[7]乜[8]密蜜勿物谧
fɐt[7]弗拂忽惚佛绨氟[8]佛由
wɐt[7]郁屈尉{尉迟}[8]核{果核}兀{兀突}
tɐt[7]卒
tʰɐt[7]七柒漆[8]疾蒺突凸
tʃɐt[7]质领踬骘
tʃʰɐt[7]出黜[8]侄窒蛭桎
ʃɐt[7]失室瑟虱[8]实术怵
ȵɐt[8]日
jɐt[7]一壹[8]逸轶佚佾
lɐt[7]甩[8]聿律栗傈率{效率}
ɬɐt[7]率{率领}摔蟀膝戌
kɐt[7]吉桔
kʰɐt[7]疙
hɐt[7]乞吃迄纥讫[8]核{核对}辖瞎
kʷɐt[7]骨橘谲
kʷʰɐt[7]屈曲屈倔窟[8]掘崛屈{不尖}
ŋʷɐt[8]兀{兀突}

ɓɐk[7]北
mɐk[8]脉墨默
tɐk[7]则即鲫稷塞{白}
tʰɐk[7]忒[8]贼特
ɗɐk[7]得德
tʃɐk[7]仄昃侧恻骘
tʃʰɐk[7]测
lɐk[8]勒筋肋
ɬɐk[7]塞息{重孙}
kʰɐk[7]咳[8]压{重物压}
ŋɐk[7]扼{克扣、骗取}
hɐk[7]黑刻克吃[8]檄
ʔɐk[7]压{用手压}

tʰɐp[7]缉辑[8]集{集中}袭习
nɐp[7]粒
tʃɐp[7]执汁
ʃɐp[7]湿[8]十拾
ȵɐp[7]执{白}[8]入
jɐp[7]揖噎邑浥悒挹裏
lɐp[7]泣笠{鱼笠}[8]立笠{斗笠}
ɬɐp[7]涩
kɐp[7]给急芨蛤{蛤蚧}
kʰɐp[7]级芨[8]及
hɐp[7]吸汲岌

pʰɛ[1]扑{扑克}
ɓɛ[1]啤[3]瘪[5]措
tɛ[3]姐[5]借
tʰɛ[2]斜邪[4]坐[5]斜{白}[6]座谢惰
ɗɛ[1]爹[3]朵躲垛嗲[5]剁
nɛ[1]呢[2]濡[6]懦糯
tʃɛ[1]遮嗟[3]这者赭[5]蔗鹧
tʃʰɛ[1]车[3]扯且
ʃɛ[1]赊奢[3]舍{舍得}[5]舍{宿舍}赦[2]蛇佘[4]社[6]射麝
ȵɛ[4]嘢偌喏
jɛ[1]爷{爷娘}[2]爷{爷爷}[3]儿{小动物小植物}[4]野冶也惹[6]夜耶椰
lɛ[1]哩[2]螺服[5]罅
ɬɛ[1]些梭[3]写唆锁琐唢[5]泻卸
kɛ[1]裹白[3]裹{白}[5]锯{白}
kʰɛ[2]茄病[6]罅{白}
hɛ[1]靴
kʷʰɛ[2]瘸
ʔɛ[1]桠{白}[3]儿{小动物}

pʰɛi[1]丕呸披疲[2]皮疲脾枇琵[3]彼噽否{减否}[4]被[5]屁[6]鼻备篦避被
ɓɛi[1]悲卑碑鼙陂罴蓖[3]比此妣秕毖毗庇裨媲譬彼畀[5]痹臂泌秘辔宓
mɛi[1]尾{白}微{白}[2]微糜麋薇眉嵋楣湄媚[4]尾娓美镁[5]沕[6]未味昧寐魅
fɛi[1]飞非菲绯蜚霏妃啡[2]肥淝[3]匪斐翡诽菲[5]费肺废[6]吠
wɛi[1]喂{招呼语}
tɛi[1]兹孳螂啦滋孜资案姿辎且{人名}沮苴狙粗疽咀趋{白}[3]子仔籽神梓姊紫眦髭[5]恣
tʰɛi[1]蛆趋[2]脐慈磁鹚糍瓷词辞徐隋[3]此取娶[4]饲伺嗣已祀似[5]次刺茨厕趣[6]地自字将寺聚耜序叙似
nɛi[2]呢{呢子}妮弥猕弭[4]你饵女
lɛi[1]捞{白}[2]莉鹂厘狸璃离梨篱漓螯罹婺骡[4]李理里哩{海里}鲤吕闾榈侣铝里{里面}旅膂履[6]利痢猁脚蜊吏詈莅厉虑滤捷
ɬɛi[1]思私斯撕嘶厮撕狮丝司笥胥须虽需[3]死[5]四肆驷泗膆
kɛi[1]几{茶几}机饥玑矶讥肌姬乩畿箕基居车俱[3]几{几个}己纪杞举遽矩莒酗[5]寄记既暨计{伙计}句据锯踞裾倨
kʰɛi[1]羁畸崎拘驹佝区岖躯驱祛[2]奇欹骑琦其棋期祺填骐麒族祈圻沂旗蕲歧岐祁芪耆嗜鳍劬菜瞿衢[4]企巨佢{他}炬距讵钜苣渠[5]冀骥[6]忌跽技妓伎具惧飓
ŋɛi[2]愚[6]遇驭御寓
hɛi[1]希稀烯郗禧熹嘻僖嬉欺羲牺虚墟嘘[3]岂喜起许诩栩煦[5]气筑汽器弃戏憩去
ʔɛi[1]衣依铱伊医于吁[3]倚绮椅瘀[5]意薏癔懿瘗醫饫

pʰɛu[6]龅
mɛu[1]猫蚂{蚂蟥，白}
ɗɛu[1]屌{男阴}
nɛu[1]袅{白}[3]鸟袅莺蔫
lɛu[3]缭{绕}
ɬɛu[1]梢{白}
kɛu[1]胶{糖胶}[3]搅{白}
kʰɛu[1]跷{翘腿}[3]潦{草笔}[5]撬
ʔɛu[3]拗{折}
ʔɛu[1]叫{白}[3]拗{折}

pʰɛn[1]篇[3]片{竹片}[4]编{白}[6]辩{白}
fɛn[1]翻{白}[3]反{白}
ɓɛn[3]扁匾编贬砭
nɛn[1]拈[3]拈{捏}
tʃɛn[3]盏{白}
ŋɛn[3]碾{白}[5]碾{白}研{白}
kʷɛn[3]捲{白}
kʷʰɛn[6]圈{白}

ɓɛŋ[3]绑{白}
tɛŋ[1]浆将{将来}锵[3]蒋奖桨[5]酱将{将军}
tʰɛŋ[1]枪[2]墙嫱樯蔷详祥翔[3]抢[6]象橡像匠技
nɛŋ[2]娘
tʃɛŋ[1]张章樟漳嫜獐[3]掌长{生长}[5]涨帐账胀障瘴幛仗
tʃʰɛŋ[1]昌菖娼倡鲳猖[2]长{长短}肠场[3]厂畅氅[4]丈{姑丈}[5]唱怅[6]丈{丈夫}
ʃɛŋ[1]伤觞殇襄商[3]赏偿[2]常裳嫦倘尝[4]上{上去}[6]上{上面}
ȵɛŋ[2]嚷禳骧穰壤壤[4]仰[6]让羔酿
jɛŋ[1]央她殃秧泱怏鸯鞅[2]羊洋佯徉扬杨疡肠飏阳[3]映{放映}[4]养痒氧[6]样漾
lɛŋ[2]良粮量度量凉梁粱[3]两{斤两}辆[4]两{两个}俩[5]靓[6]亮晾量数量
ɬɛŋ[1]相{相信}箱厢湘镶襄[3]想[5]相{相貌}
kɛŋ[1]姜羌蜣僵缰疆[3]蔃
kʰɛŋ[4]强镪
ŋɛŋ[4]仰
hɛŋ[1]香乡[3]响饷晌享飨[5]向
ʔɛŋ[1]央她殃秧怏泱鸯鞅[3]映

tʰɛm[1]签
nɛm[1]拈[5]踮{白}
lɛm[4]舔{白}
ʃɛm[2]尝
kʰɛm[1]嗛{禽啄食}[2]钳黔[6]俭{白}

mɛt[7]剥{白}
wɛt[8]曰划{指划}[9]划{白}
tʰɛt[5]趿{白}
ɗɛt[7]剁{白}[9]咄蹄{白}剁{白}
tʃʰɛt[7]擦{擦火柴}
ʃɛt[9]刷{白}
ʔɛt[9]籺{米糍}

pʰɛk[7]劈{白}
tʰɛk[9]鹊爵雀
ɗɛk[9]琢啄
tʃɛk[9]着{着衣}酌芍灼斫雀{麻雀：麻将}
tʃʰɛk[8]着{正确}
ʃɛk[8]勺硕
ȵɛk[8]跃若虐谑弱
jɛk[8]药[9]约钥烁
lɛk[8]略掠
ɬɛk[9]削
kɛk[8]挟[9]脚
kʰɛk[8]狭[9]却

tɛp[7]嚼
tʃʰɛp[9]插{白}
ʃɛp[9]呷
ȵɛp[8]廿
jɛp[9]眨{白，按：此字为洽韵入声字，此为古读}
kɛp[8]挟
kʰɛp[8]狭箧

ɗi[1]嘀{嘀嗒，喷呐}
tʃi[1]之芝支吱枝跂肢知蜘卮栀脂氏{大月氏}鸱朱侏株诛珠蛛铢姝茱诸猪潴[3]旨指纸只{只是}咫徵止趾址芷祗主煮[5]智至致志痣置质挚注蛀著铸绪{光绪}
tʃʰi[1]痴媸嗤雌疵藕够侈答篪[2]迟墀恃峙持池弛驰除储厨蹰橱[3]耻齿始矢豕处{处置}[4]柱拄杵渚褚杼[5]翅处{处所}[6]住驻箸贮停
ʃi[1]师施诗书枢尸舒抒纾输[2]时莳谢鲥匙薯殊茹蜍[3]暑署史黍鼠屎使{使者}[4]是市[5]试弑恕庶柿[6]氏示视仕侍雉谥事豉戍树竖是{是非}
ȵi[1]儿[2]儿鱼渔宜谊疑仪尔迩[4]议耳汝圉珥洱语[6]义二贰
ji[2]夷姨胰颐怡贻饴眙沂迤虞儒孺襦盂龋臾庾谀腴[4]已以苡矣雨汝与屿禹宇予彝[6]预蓣豫誉裕峪肄俞榆渝瑜逾愉揄喻谕愈

pʰiu[1]漂飘缥[2]膘瓢剽瞟嫖鳔舜朴{姓}[5]票
ɓiu[1]标镖骠彪焱飙表{手表}[3]表{表面}
miu[1]瞄{瞄一眼}[2]苗描瞄{瞄准}[3]秒眇渺藐邈森杳[6]妙庙
tiu[1]焦礁瞧樵蕉鹤憔椒[3]剿[5]醮
tʰiu[1]挑祧锹[2]条调{调节}跳{白}窕[3]悄[5]跳眺俏佻粜调{调皮}[6]调{声调}
ɗiu[1]丢刁叼貂凋碉雕蜩[5]吊钓
niu[6]尿
tʃiu[1]招昭朝[3]剿[5]照
tʃʰiu[1]超钊[2]朝潮嘲[6]召诏沼绍肇赵兆晁翘{连翘}
ʃiu[1]烧[3]少{多少}[5]少{少年}
ȵiu[2]尧饶绕娆蛲桡[3]舀
jiu[1]夭妖幺要{要求}腰邀[2]遥瑶谣瑶徭繇姚[3]窈[5]要{重要}[6]鹞耀曜
liu[1]寮鹤[2]聊寥獠嘹瞭僚撩缭潦辽疗[4]了蓼[6]料廖镣
ɬiu[1]肖消逍硝宵绡销霄萧潇螨[3]小筱[5]笑鞘啸峭
kiu[1]娇骄浇{白}[3]缴[5]叫
kʰiu[2]乔侨桥[4]矫荞[6]轿
hiu[1]嚣翘{翘起}鸮枵枭浇骁侥[3]晓[6]窍
ʔiu[1]夭妖幺要{要求}腰邀[3]窈[5]要{重要}

pʰin[1]编偏翩蝙扁骗褊[5]骗遍[6]便骈辨辩弁卞汴边{方位}
ɓin[1]边鞭饬辫[5]变
min[1]面{形容词}[2]棉绵眠繇[3]䩄[4]免娩勉冕湎缅丐眄渑[6]面{名词}
fin[3]犬[5]劝绚
win[1]冤渊鸳[2]丸纨元沅园圆完阮悬袁猿辕原源玄眩椽[3]苑宛惋皖[4]远软[5]怨[6]县院愿
tin[1]煎[3]剪翦戬纂
tʰin[1]天千迁阡纤跹钎[2]钱前{前面}田佃填政滇阗[3]浅爨[4]前{前天}[5]践溅[6]贱电甸奠殿淀
ɗin[1]颠巅癫[3]典碘
nin[2]年
ʃin[3]擅颤碾[5]扇掮煽骗
ȵin[2]言研妍原源[6]唁彦谚
jin[1]烟胭咽燕燕国嫣[2]然燃弦蜒[3]堰偃[4]演延[5]燕{燕子}宴[6]现砚苋
lin[2]连涟莲鲢[4]脸[6]练楝链
ɬin[1]先鲜仙俊[3]洗跣铣藓癣[5]线霰腺巽
kin[1]坚肩掮捐涓娟绢鹃[3]卷捲蹇茧跚[5]见建腱键券眷
kʰin[2]乾虔拳权颧犍[4]件{白}[6]健件键倦
hin[1]轩搴骞寨牵[3]遣谴蚬显[5]献宪芡
ŋin[2]言研妍原源[6]愿唁彦谚
kʷin[1]捐涓娟绢鹃[3]卷捲[5]券眷
kʷʰin[1]圈
ŋʷin[2]原源[4]软[6]愿
ʔin[1]烟胭咽[5]燕

tun[1]钻樽[5]钻
tʰun[1]村[2]抟团全存[4]断[5]寸忖[6]臀段缎锻
ɗun[1]尊蹲端橄[5]断{判断}
nun[4]暖[6]嫩
tʃun[1]专砖转{转斗}毡颛塑旃[3]转{转身}[5]战转{一转}
tʃʰun[1]川钏穿[2]缠传泉[3]喘揣[5]串窜撺蹿[6]传{传记}漩
ʃun[2]船[3]展[4]鳝[6]善缮膳
[1]un[2]峦銮鸾孪辇联[3]恋[4]卵[6]乱
ɬun[1]酸孙荪宣喧萱谖[2]痊荃拴栓[3]选损[5]算蒜[6]逊旋璇篆铨诠

tim[1]尖
tʰim[1]迁纤阡钎跹添[2]甜恬舔潜[3]忝[4]垫簟[6]渐僭
ɗim[1]踮[3]点[5]玷店掂踮钓白
nim[1]粘粘贴[2]严[6]验念
tʃim[1]粘{粘米}占{占下}沾詹赡[5]占{占据}
tʃʰim[2]挦{拔毛}[5]倩茜堑谄暹
ʃim[2]单{姓}婵阐蟾禅[3]闪陕
ȵim[2]严俨阎[4]染苒冉
jim[1]阉[2]盐髯檐[3]奄淹掩[5]厌[6]炎琰焱焰艳滟
lim[2]廉镰窜奁睑[4]脸敛激殓
kim[1]兼蒹鹣缣[3]检捡[5]剑
kʰim[6]俭
him[1]嫌谦[3]险猃[5]欠歉
ʔim[1]阉[3]淹奄掩[5]厌

pʰiŋ[1]拼拼音[2]平坪评抨萍苹屏瓶[4]并[5]骋聘娉拼{拼凑}[6]病
ɓiŋ[1]兵乒冰[3]丙炳秉[5]柄迸摈
miŋ[1]焖[2]明萌鸣名铭酩[4]冥螟瞑瞑[5]闻{白}[6]命
fiŋ[1]兄
wiŋ[2]莹萤萦荧茔荥荣嵘营[4]永[6]咏泳泳颍颖
tiŋ[1]精睛晶[3]井穽
