字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
蓖	=D2&E2&F2		p	i	22	=IF(D2=0,"〇",D2)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2=B3,0,1)	=IF(C2=0,A2,A2&"{"&C2&"}")	=D2&E2	=IF(M2=M3,0,1)	=IF(N1=0,IF(K1=0,IF(B2=B1,O1&IF(C2=0,A2,A2&"{"&C2&"}"),"["&J2&"]"&IF(C2=0,A2,A2&"{"&C2&"}")),O1&"["&J2&"]"&IF(C2=0,A2,A2&"{"&C2&"}")),"["&J2&"]"&IF(C2=0,A2,A2&"{"&C2&"}"))	=M2&O2
碑	=D3&E3&F3		p	i	22	=IF(D3=0,"〇",D3)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3=B4,0,1)	=IF(B3=B2,L2&IF(C3=0,A3,A3&"{"&C3&"}"),IF(C3=0,A3,A3&"{"&C3&"}"))	=D3&E3	=IF(M3=M4,0,1)	=IF(N2=0,IF(K2=0,IF(B3=B2,O2&IF(C3=0,A3,A3&"{"&C3&"}"),"["&J3&"]"&IF(C3=0,A3,A3&"{"&C3&"}")),O2&"["&J3&"]"&IF(C3=0,A3,A3&"{"&C3&"}")),"["&J3&"]"&IF(C3=0,A3,A3&"{"&C3&"}"))	=M3&O3
卑	=D4&E4&F4		p	i	22	=IF(D4=0,"〇",D4)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B4=B5,0,1)	=IF(B4=B3,L3&IF(C4=0,A4,A4&"{"&C4&"}"),IF(C4=0,A4,A4&"{"&C4&"}"))	=D4&E4	=IF(M4=M5,0,1)	=IF(N3=0,IF(K3=0,IF(B4=B3,O3&IF(C4=0,A4,A4&"{"&C4&"}"),"["&J4&"]"&IF(C4=0,A4,A4&"{"&C4&"}")),O3&"["&J4&"]"&IF(C4=0,A4,A4&"{"&C4&"}")),"["&J4&"]"&IF(C4=0,A4,A4&"{"&C4&"}"))	=M4&O4
陂	=D5&E5&F5		p	i	22	=IF(D5=0,"〇",D5)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B5=B6,0,1)	=IF(B5=B4,L4&IF(C5=0,A5,A5&"{"&C5&"}"),IF(C5=0,A5,A5&"{"&C5&"}"))	=D5&E5	=IF(M5=M6,0,1)	=IF(N4=0,IF(K4=0,IF(B5=B4,O4&IF(C5=0,A5,A5&"{"&C5&"}"),"["&J5&"]"&IF(C5=0,A5,A5&"{"&C5&"}")),O4&"["&J5&"]"&IF(C5=0,A5,A5&"{"&C5&"}")),"["&J5&"]"&IF(C5=0,A5,A5&"{"&C5&"}"))	=M5&O5
脾	=D6&E6&F6		p	i	44	=IF(D6=0,"〇",D6)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B6=B7,0,1)	=IF(B6=B5,L5&IF(C6=0,A6,A6&"{"&C6&"}"),IF(C6=0,A6,A6&"{"&C6&"}"))	=D6&E6	=IF(M6=M7,0,1)	=IF(N5=0,IF(K5=0,IF(B6=B5,O5&IF(C6=0,A6,A6&"{"&C6&"}"),"["&J6&"]"&IF(C6=0,A6,A6&"{"&C6&"}")),O5&"["&J6&"]"&IF(C6=0,A6,A6&"{"&C6&"}")),"["&J6&"]"&IF(C6=0,A6,A6&"{"&C6&"}"))	=M6&O6
琵	=D7&E7&F7		p	i	44	=IF(D7=0,"〇",D7)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B7=B8,0,1)	=IF(B7=B6,L6&IF(C7=0,A7,A7&"{"&C7&"}"),IF(C7=0,A7,A7&"{"&C7&"}"))	=D7&E7	=IF(M7=M8,0,1)	=IF(N6=0,IF(K6=0,IF(B7=B6,O6&IF(C7=0,A7,A7&"{"&C7&"}"),"["&J7&"]"&IF(C7=0,A7,A7&"{"&C7&"}")),O6&"["&J7&"]"&IF(C7=0,A7,A7&"{"&C7&"}")),"["&J7&"]"&IF(C7=0,A7,A7&"{"&C7&"}"))	=M7&O7
枇	=D8&E8&F8		p	i	44	=IF(D8=0,"〇",D8)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B8=B9,0,1)	=IF(B8=B7,L7&IF(C8=0,A8,A8&"{"&C8&"}"),IF(C8=0,A8,A8&"{"&C8&"}"))	=D8&E8	=IF(M8=M9,0,1)	=IF(N7=0,IF(K7=0,IF(B8=B7,O7&IF(C8=0,A8,A8&"{"&C8&"}"),"["&J8&"]"&IF(C8=0,A8,A8&"{"&C8&"}")),O7&"["&J8&"]"&IF(C8=0,A8,A8&"{"&C8&"}")),"["&J8&"]"&IF(C8=0,A8,A8&"{"&C8&"}"))	=M8&O8
啤	=D9&E9&F9		p	i	44	=IF(D9=0,"〇",D9)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B9=B10,0,1)	=IF(B9=B8,L8&IF(C9=0,A9,A9&"{"&C9&"}"),IF(C9=0,A9,A9&"{"&C9&"}"))	=D9&E9	=IF(M9=M10,0,1)	=IF(N8=0,IF(K8=0,IF(B9=B8,O8&IF(C9=0,A9,A9&"{"&C9&"}"),"["&J9&"]"&IF(C9=0,A9,A9&"{"&C9&"}")),O8&"["&J9&"]"&IF(C9=0,A9,A9&"{"&C9&"}")),"["&J9&"]"&IF(C9=0,A9,A9&"{"&C9&"}"))	=M9&O9
俾	=D10&E10&F10		p	i	53	=IF(D10=0,"〇",D10)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B10=B11,0,1)	=IF(B10=B9,L9&IF(C10=0,A10,A10&"{"&C10&"}"),IF(C10=0,A10,A10&"{"&C10&"}"))	=D10&E10	=IF(M10=M11,0,1)	=IF(N9=0,IF(K9=0,IF(B10=B9,O9&IF(C10=0,A10,A10&"{"&C10&"}"),"["&J10&"]"&IF(C10=0,A10,A10&"{"&C10&"}")),O9&"["&J10&"]"&IF(C10=0,A10,A10&"{"&C10&"}")),"["&J10&"]"&IF(C10=0,A10,A10&"{"&C10&"}"))	=M10&O10
彼	=D11&E11&F11		p	i	53	=IF(D11=0,"〇",D11)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B11=B12,0,1)	=IF(B11=B10,L10&IF(C11=0,A11,A11&"{"&C11&"}"),IF(C11=0,A11,A11&"{"&C11&"}"))	=D11&E11	=IF(M11=M12,0,1)	=IF(N10=0,IF(K10=0,IF(B11=B10,O10&IF(C11=0,A11,A11&"{"&C11&"}"),"["&J11&"]"&IF(C11=0,A11,A11&"{"&C11&"}")),O10&"["&J11&"]"&IF(C11=0,A11,A11&"{"&C11&"}")),"["&J11&"]"&IF(C11=0,A11,A11&"{"&C11&"}"))	=M11&O11
