音标	调类	调值	辖字
tsɿ	1	334	貲
tsʰɿ	1	334	雌
sɿ	1	334	思
t∫ɿ	1	334	菑[實際音]之[實際音]
t∫ʰɿ	1	334	差[實際音]
∫ɿ	1	334	師[實際音]施[實際音]
tsʰɿ	2	113	慈
dzɿ	2	113	慈
zɿ	2	113	詞
t∫ʰɿ	2	113	茌[實際音]池[實際音]
dʒɿ	2	113	茌[實際音]池[實際音]
ʒɿ	2	113	時[實際音]
lɿ	2	113	離[實際音]
ɹɿ	2	113	兒[實際音]
tsɿ	3	41	姊
tsʰɿ	3	41	此
sɿ	3	41	呆[騃]騃
tsʰɿ	4	21	鮆
dzɿ	4	21	鮆
zɿ	4	21	似
tsɿ	5	55	恣
tsʰɿ	5	55	次
sɿ	5	55	四
t∫ɿ	5	55	□[此衣，實際音]𧙁[此衣，實際音]
t∫ʰɿ	5	55	廁[實際音]
∫ɿ	5	55	駛[實際音]
tsʰɿ	6	11	自
dzɿ	6	11	自
zɿ	6	11	寺
t∫ɿʔ	7	4	櫛[實際音]
∫ɿʔ	7	4	瑟[實際音]
t∫ʰɿʔ	8	5	㓼
dʒɿʔ	8	5	㓼
ka	1	334	迦
kʰa	1	334	佉
pa	1	334	巴[實際音]
pʰa	1	334	葩[實際音]
ɸa	1	334	花[實際音]
tʰa	1	334	他[實際音]
kʰa	2	113	迦
pʰa	2	113	爬[實際音]
ba	2	113	爬[實際音]
ma	2	113	麻[實際音]
la	2	113	儸
ɹa	2	113	若
pa	3	41	把[實際音]
ʔwa	3	41	瓦[實際音]
ta	3	41	打[實際音]
ma	4	21	馬[實際音]
la	4	21	䟩
ɹa	4	21	若
pa	5	55	霸[實際音]
ɸa	5	55	化[實際音]
ma	6	11	禡[實際音]
la	6	11	□[似到]
ɹa	6	11	偌
kua	1	334	瓜
kʰua	1	334	誇
ʔua	1	334	窊
xua	1	334	華花[實際音]
pua	1	334	巴[實際音]
ɸua	1	334	靴[實際音]
tʰua	1	334	他[實際音]
ŋua	2	113	□[化欠]𣢉[化欠]
ɣua	2	113	華
lua	2	113	㽋
kua	3	41	寡
kʰua	3	41	髁
ʔua	3	41	搲
ŋua	4	21	瓦
ɣua	4	21	踝
kua	5	55	坬
kʰua	5	55	跨
ʔua	5	55	搲
xua	5	55	化
ŋua	6	11	瓦
ɣua	6	11	摦
kia	1	334	嘉
kʰia	1	334	䶗
ʔia	1	334	鴉
xia	1	334	煆
ɸia	1	334	靴[實際音]
tia	1	334	爹[實際音]
t∫ia	1	334	奓
t∫ʰia	1	334	侘
t∫ia	1	334	樝遮[實際音]
t∫ʰia	1	334	叉車[實際音]
∫ia	1	334	鯊
ŋia	2	113	牙
ɣia	2	113	遐
t∫ʰia	2	113	茶
dʒia	2	113	茶
ȵia	2	113	挐
t∫ʰia	2	113	楂
dʒia	2	113	楂
kia	3	41	檟
kʰia	3	41	跒
ʔia	3	41	啞
xia	3	41	㗿
t∫ia	3	41	䋾
t∫ʰia	3	41	奼
t∫ia	3	41	鮓
t∫ʰia	3	41	□[竹叉]𥫢[竹叉]
∫ia	3	41	灑
ŋia	4	21	雅
ɣia	4	21	下
t∫ʰia	4	21	䟻
dʒia	4	21	䟻
ȵia	4	21	䋈
t∫ʰia	4	21	槎
dʒia	4	21	槎
lia	4	21	䖃
kia	5	55	駕
kʰia	5	55	髂
ʔia	5	55	亞
xia	5	55	嚇
t∫ia	5	55	吒
t∫ʰia	5	55	詫
t∫ia	5	55	詐
t∫ʰia	5	55	瘥
∫ia	5	55	嗄
ŋia	6	11	迓
ɣia	6	11	暇
t∫ʰia	6	11	䖳
dʒia	6	11	䖳
ȵia	6	11	䏧
t∫ʰia	6	11	乍
dʒia	6	11	乍
kai	1	334	該
kʰai	1	334	開
ʔai	1	334	哀
xai	1	334	咍
pʰai	1	334	□[女缶]𡜊[女缶]
ʔwai	1	334	歪[實際音]
tai	1	334	□[黑臺]𪒴[黑臺]
tʰai	1	334	胎
tsai	1	334	烖
tsʰai	1	334	猜
sai	1	334	鰓
ŋai	2	113	皚
ɣai	2	113	孩
ɦai	2	113	頤
pʰai	2	113	□[片咅]𤗏[片咅]
bai	2	113	□[片咅]𤗏[片咅]
βai	2	113	懷[實際音]
tʰai	2	113	臺
dai	2	113	臺
nai	2	113	能
tsʰai	2	113	裁
dzai	2	113	裁
lai	2	113	來
kai	3	41	改
kʰai	3	41	愷
ʔai	3	41	欸
xai	3	41	海
pai	3	41	㤳
pʰai	3	41	俖
tai	3	41	等
tʰai	3	41	㘆
tsai	3	41	宰
tsʰai	3	41	采
sai	3	41	諰
ŋai	4	21	騃
ɣai	4	21	亥
ɦai	4	21	䑂
pʰai	4	21	倍
bai	4	21	倍
mai	4	21	䆀
tʰai	4	21	駘
dai	4	21	駘
nai	4	21	乃
tsʰai	4	21	在
dzai	4	21	在
lai	4	21	□[金禮]𨰋[金禮]
kai	5	55	蓋
kʰai	5	55	磕
ʔai	5	55	藹
xai	5	55	餀
pai	5	55	贝
pʰai	5	55	霈
tai	5	55	帶
tʰai	5	55	泰
tsai	5	55	載
tsʰai	5	55	蔡
sai	5	55	賽
kʰai	6	11	隑
gai	6	11	隑
ŋai	6	11	艾
ɣai	6	11	害
