a（文白）
ɦ [2] 呆而儿（文） [4] 亥尔耳（又音）二 [6] 碍艾害饵（文）耳（文）
h [3] 海 [5] 嗨
g [4] 䧎〔？〕{站住}䜣〔？〕 [6] 䧎〔？〕{靠}馂〔？〕{饱嗝}

ie
p [1] 标彪鞭编边蝙（文） [3] 表眨扁匾婊{～子：妓女} [5] 变遍
pʰ [1] 偏飘篇 [3] 漂 [5] 票骗片
ts [1] 尖占{～卜}煎 [3] 展笕{水～} [5] 占{～领}箭溅{～了一身泥}荐{荜～屋}
tsʰ [1] 歼{～灭}簽迁签□{脚伸过去} [3] 浅
s [1] 仙鲜 [3] 癣筅{～帚}镴〔？〕{～鸡} [5] 缐线
tɕ [1] 肩坚兼 [3] 检 [5] 剑建见
tɕʰ [1] 牵谦 [5] 欠歉牵{拉～}遣
ȵ [1] 研粘黏 [2] 严爱颞{～头} [4] 碾染 [6] 验{实～}砚{～瓦}
ɕ [1] 杴{铲子} [3] 险显宪 [5] 献轩掀
∅ [1] 淹阉蔫{不新鲜} [5] 厌堰嚥掩
b [2] 瓢嫖鳔便{～宜} [6] 辨辩便{方～}
m [2] 苗描绵棉 [4] 免娩勉缅渑{～池} [6] 秒庙妙面
d [2] 钿钱
l [2] 连联廉 [4] 验（文）敛（文）殓
z [2] 潜{～水}艇全 [6] 贱{～骨头}旋镟泉蟾{～酥}
dz [2] 钳乾虔{～诚} [4] 践{实～}俭莫{～头：歪头} [6] 件健键{关～}
ɦ [2] 炎盐阎檐延筵贤弦涎 [6] 焰盐{动词}艳醃{～肉：咸肉}现

ue
kʰ [1] 盔魁奎 [5] 块塊
h [1] 灰恢㧟{～跌：摔跤} [3] 悔 [5] 晦
∅ [1] 煨
ɦ [2] 回茴 [6] 会{开～}汇

ye
tɕ [1] 毡{～帽}专砖捐瞻占镘{～锌：开山锄} [3] 转卷 [5] 战眷卷绢占
tɕʰ [1] 穿川串圈舂{～米}喘{～气}桊{牛鼻～} [5] 劝券
ɕ [1] 揎{～动}闩{门～}拴宣靴栓 [3] 选陕闪 [5] 扇楦{鞋～}搧
∅ [1] 渊冤鸳{～鸯} [5] 怨
dʑ [2] 传{～达}拳权颧椽 [6] 篆传{～记}倦缠
ȵ [2] 元原源 [4] 软 [6] 愿
ʑ [2] 船玄 [4] 善然燃膳 [6] 旋炫漩
ɦ [2] 园员圆缘袁辕援悬{～空}船（又音） [4] 远善膳然燃 [6] 县院

ɿ（文白）
ts [1] 知（文）蜘（文）支（文）枝（文）肢（文）栀{～子花}（文）资姿咨脂滋辎之芝鲻{～鱼}鹚{黑～～}智（文） [3] 紫纸（文）只旨指子梓止趾址 [5] 致（文）至（文）志（文）志（文）置（文）
tsʰ [1] 雌差{参～}（文）痴嗤 [3] 此齿耻 [5] 刺次翅
s [1] 斯厮撕筛施私师尸（文）司丝思诗梳{～头}蛳{螺～} [3] 死使史驶始（文） [5] 四（文）肆（文）矢赐屎（文）
dz [2] 池（文）驰（文）迟（文）持（文）兹慈磁{～铁} [4] 峙{对～}痔（文）雉{～鸡}（文） [6] 稚（文）治{～理}（文）
z [2] 匙瓷餈{麻～}辞词祠似时鲥{～鱼} [4] 士仕市侍柿巳{辰～}祀{祭～}是（文）氏（文） [6] 自（文）示视豉{豆～}嗜寺嗣饲字事俟侍饲薯{蕃～}铈{镘～}牸{～牛}

i
p [1] 蓖{～麻}屄{女阴。老～} [3] 比鄙 [5] 蔽毙闭臂譬秘泌庇痹{麻～～}
pʰ [1] 批披丕秕㓱{用牙析物} [5] 屁
f [1] 非飞妃榧{香～} [3] 匪榧 [5] 废肺痱费翡吠
t [1] 低 [3] 底抵诋{～毁}邸{官～}柢{根深～固} [5] 帝谛{溚溚〔？〕～}
tʰ [1] 梯 [3] 体 [5] 替涕剃屉{抽～}
ts [1] 知蜘智支枝肢齑{～糟农：很顽人。}栀{玉～花} [3] 挤纸姊姐 [5] 祭际穄济制制致至置志志醉舀{～饭：盛饭。}
tsʰ [1] 妻觑{近～儿：近视} [3] 鼠耻扯撕 [5] 觑{近～}侈
s [1] 西犀施尸髓{骨～}尿 [3] 洗试 [5] 细絮{棉～}婿世势岁四肆玺试髓
tɕ [1] 鸡稽饥肌几基机讥饥篞〔？〕{笹～：竹丝梳子。} [3] 纪{年～}麂稽 [5] 计继系髻寄冀己纪记既系{～鞋带}
tɕʰ [1] 溪欺 [3] 启企起杞岂 [5] 契器弃气汽
ɕ [1] 牺嬉熙希稀兮 [3] 喜蟢{八脚～} [5] 系係戏
∅ [1] 衣依医伊椅{～子}倚 [3] 又{～来了：又来了} [5] 翳{目～}意庼〔？〕{～长短：比试长短}亿
b [2] 皮敝币疲弊脾琵枇㶸〔？〕{～～：一层}肥{～料} [4] 被婢{奴～} [6] 鐾{～刀}避篦陛笓{～箅}
m [2] 迷弥眉醚〔？〕{～眼} [4] 米 [5] 咪{笑～～} [6] 谜未{还～}尾（又音）
v [2] 雏惟唯肥微 [6] 未味尾（文）
d [2] 堤提题啼蹄 [4] 弟娣 [6] 第递地雉{～鸡}
l [2] 犁黎离篱璃梨厘狸 [4] 吕旅履李里裹鲤礼劙{～破} [6] 丽隶例厉励利痢吏泪屡荔瓠{倒～}虑滤㴻{稀饭烧得稀软，稠～}蜊
dz [2] 齐脐池池迟持 [4] 是痔 [6] 箸{筷子}苎{～麻}荠滞稚治
z [2] 徐 [4] 氏
dʑ [2] 奇骑琦祁其祺琪期旗鳍祈淇骐蜞 [4] 技妓 [6] 忌豉鲭{鱼～}
ȵ [2] 泥倪宜仪尼疑沂 [4] 拟 [6] 艺蚁义议腻毅
ɦ [2] 奚移夷姨遗 [4] 已以 [6] 易{难～}肄异矣
n [3] 你（文）

u
pʰ [1] 铺潽{饭～了} [3] 普浦谱 [5] 铺{查～}捕
f [1] 夫肤跗敷俘麸蜉{～蝦：蚂蚁} [3] 府腑俯甫脯釜虎 [5] 付赋傅赴讣富副
t [1] 都 [3] 堵赌肚{猪～} [5] 妒妒
ts [1] 租 [3] 祖组阻
tsʰ [1] 初粗 [3] 楚础 [5] 醋
s [1] 苏酥梳疏蔬须{胡～} [3] 数{动词} [5] 素诉塑嗉疏{注～}数{名词}
k [1] 姑孤菇轱鸪蛄{蝼～}咕沽 [3] 古估牯股鼓蛊姑 [5] 故固锢雇顾
kʰ [1] 枯箍 [3] 苦 [5] 库裤
h [1] 呼乎 [3] 虎浒{水～} [5] 戽{～水，～斗}
∅ [1] 乌污 [3] 坞 [5] 恶{可～}焐{食物在文火中使之熟}
b [2] 蒲菩脯{胸～}哺{～热头儿：晒太阳} [4] 部簿抱 [6] 步埠{～头}孵{～小鸡}部簿
v [2] 符扶芙巫诬浮（均为文读音） [4] 父腐辅侮妇阜{曲～}（均为文读音） [6] 附务雾（均为文读音）
d [2] 徒屠途涂图 [4] 杜肚 [6] 度渡镀
n [2] 奴 [4] 努 [6] 怒
l [2] 卢炉芦鸬鲁橹 [4] 鹵卤掳 [6] 路赂露鹭裸{～体}
dz [2] 锄雏（文） [6] 助
g [2] 跍（文）{蹲下}
ɦ [2] 吴湖狐壶胡蜈吾梧无浮诬巫芙扶符 [4] 户沪伍{队伍}午（文）武侮鹉舞腐辅{～导}侮妇污{～泥} [6] 互护误悟务雾附{～近}
p [3] 补 [5] 布布饰
tʰ [3] 土吐 [5] 吐{呕～}兔唾

y
tɕ [1] 猪（文）诸居车诛蛛朱朱珠拘驹龟归{～农家：回家} [3] 举主矩嘴{口～}鬼 [5] 著{里～}煮据锯拄驻注蛀铸句贵踞疰{～夏}
tɕʰ [1] 吹区{～别}趋蛆（文） [3] 处{相～}取娶{哄赶鸡声} [5] 处{～所}去趣区{分～}
ɕ [1] 书舒虚嘘须需须输 [3] 水许暑嘘 [5] 恕署戍黍（文）絮（文）输{送～}贯{～器店}
∅ [1] 於淤于盂迂椅
dʑ [2] 除储渠厨瞿槌锤衢 [4] 巨柜距柱跪 [6] 住具惧俱
ȵ [2] 愚虞娱 [4] 女语喁{呼猪声} [6] 御御遇寓蕖{花蕾}
ʑ [2] 徐殊儒垂{～落} [4] 序叙绪聚竖乳（文） [6] 树薯{蕃～}署{专～}（均为文读音）
ɦ [2] 如余榆俞逾愉渔鱼（文） [4] 与愈雨字羽汝（文）竖序 [6] 誉预予豫芋{～艿}喻{比～}裕树薯{藩～}
l [4] 吕（文）旅（文） [6] 虑滤屡（均为文读音）

ai（文白）
p [1] 杯悲 [3] 摆 [5] 贝拜辈背
pʰ [1] 胚坯丕 [3] □{～空：突然}呸（白） [5] 沛派配
b [2] 排牌培陪赔斐爿 [6] 败倍佩背{～书}焙备被{～动}
m [2] 埋梅枚媒煤楣霉玫媚镘{～：锅底烟灰}（白） [4] 买美 [6] 卖迈每妹昧媚寐
t [1] 堆杲〔？〕扚{～一记：扭一下} [3] 劰{用力拉} [5] 戴带对碓{水～}
tʰ [1] 胎台{天～}苔{舌～}推 [3] 腿 [5] 太态泰退蜕{～化}
d [2] 台抬颓 [6] 代袋贷待怠兑队
n [4] 奶 [6] 耐奈内
l [2] 耒雷 [4] 儡{傀～}癧叻{拌，了。涂～：涂拌、涂了}（白） [6] 赖癞累垒类
ts [1] 灾栽斋疒〔？〕瘠{～病}（白） [3] 宰{～相}再（又音） [5] 载债寨再
tsʰ [1] 猜钗差{出～}催 [3] 彩采采 [5] 菜蔡
dz [2] 才材财裁 [4] 在
z [2] 柴豺 [4] 罪
s [1] 腮鳃衰 [5] 赛晒帅碎
k [1] 该 [3] 改 [5] 盖丐概溉
kʰ [1] 开 [5] 凯慨去（白）
g [2] 渠{他。}（白）
h [3] 海 [5] 嗨
ɦ [2] 呆孩 [6] 害亥艾碍
∅ [1] 哀捱{～打}埃{尘～}挨 [3] 矮 [5] 爱隘

iai（文）
tɕ [1] 皆阶街 [3] 解{～开} [5] 界介芥疥届戒
tɕʰ [1] 揩 [5] 楷{正～}
ɕ [3] 解{姓}蟹
ɦ [2] 鞋谐 [6] 械懈{松～}
∅ [3] 矮（城内老派音）

uai（文）
k [1] 规圭闺龟乖归 [3] 鬼诡 [5] 会{～计}桧怪桂轨癸贵
kʰ [1] 盔魁奎亏窥 [3] 傀{～儡} [5] 块愧刽{～子手}
g [2] 逵葵蒯{姓}揆{猜测、估计} [4] 跪 [6] 溃柜
h [1] 灰恢麾挥辉徽 [3] 贿毁悔 [5] 晦讳{忌～}
ɦ [2] 回茴{～香}桅怀槐淮危为{作～}违围纬 [4] 伟苇 [6] 会{开～}外坏惠慧卫伪为{～什么}位魏纬胃谓猬{刺～}
∅ [1] 煨{食物在火中使之熟}歪萎威 [3] 委 [5] 畏慰喂

yai（文）
dz [2] 槌锤 [6] 坠
tɕ [1] 追 [3] 最嘴 [5] 醉缀{点～}赘
tɕʰ [1] 吹炊崔催 [5] 脆翠
dʑ [2] 睡垂{～直}谁随 [6] 锐瑞粹遂隧
ɕ [1] 虽绥 [3] 水 [5] 岁税

au（文白）
p [1] 包胞褒苞 [3] 保堡宝饱豹葆褓 [5] 报趵{跳}
pʰ [1] 抛 [3] 炮{大～}泡{～茶} [5] 炮{枪～}泡{水～}疱
b [2] 袍跑 [4] 抱鲍 [6] 刨暴瀑
m [2] 毛茅矛猫 [4] 卯 [6] 冒帽墓貌
t [1] 刀叨 [3] 岛捣倒 [5] 到祷
tʰ [1] 滔□{小鬼～：骂人语} [3] 讨 [5] 套
d [2] 桃逃掏淘陶萄涛 [4] 道稻导 [6] 盗导{引～}
n [2] 挠 [4] 脑恼闹{～事} [6] 闹{热～}
l [2] 劳捞牢唠 [4] 老
ts [3] 早澡枣蚤 [5] 灶燥罩爪{～牙}
tsʰ [3] 草炒吵 [5] 糙
dz [2] 曹槽巢浞{～雨：淋雨}
z [4] 皂造 [6] 扰{～乱}
s [1] 骚臊{～气}梢捎 [3] 扫嫂 [5] 扫{～帚}稍悛{豪～}
k [1] 高膏篙羔糕 [3] 搞稿 [5] 告膏{～油}
kʰ [1] 敲 [3] 考 [5] 烤靠
h [1] 蒿 [3] 好 [5] 耗
ɦ [2] 熬豪壕毫 [6] 号浩傲
∅ [1] 燙{～白菜} [3] 袄 [5] 奥懊{～悔}

iau（文白）
p [1] 标彪臕{肥～} [3] 表表
pʰ [1] 飘 [3] 漂飘 [5] 票漂{～亮}
b [2] 瓢嫖鳔
m [2] 苗描 [6] 秒渺藐妙谬
t [1] 刁貂雕 [3] 鸟（又音） [5] 吊钓
tʰ [1] 挑 [5] 跳粜
d [2] 条调{～和} [6] 掉调{音～}
l [2] 燎聊疗辽僚撩寥 [4] 了{完了} [6] 了{～结}瞭料
ts [1] 焦蕉椒昭招沼 [5] 照诏
tsʰ [1] 锹缲 [3] 悄{静～～} [5] 俏
dz [2] 樵朝潮 [4] 赵兆
z [2] 韶 [4] 绍{～兴} [6] 召邵
s [1] 消宵霄硝销烧箫萧 [3] 小少 [5] 笑鞘{刀～}
tɕ [1] 交郊胶骄娇浇侥{～幸}缴 [3] 绞铰搅矫 [5] 狡教校{～对}较觉叫
tɕʰ [1] 敲 [3] 巧 [5] 窍{七～}窾
dʑ [2] 乔侨桥荞 [4] 挢{橇开} [6] 轿
ȵ [2] 饶桡尧挠 [4] 鸟 [6] 绕
ɕ [3] 晓 [5] 孝酵
ɦ [2] 肴淆摇谣窑遥姚珧 [6] 校{学～}效耀鹞{纸～}
∅ [1] 妖邀腰要{～求}么{～二三}吆杳 [3] 咬舀{～水} [5] 要{重～}注：au、iau 白读主要来自入声。

ɯ（城内老派韵）
m [6] 望{看}
t [1] 端 [3] 短 [5] 断{决～}
tʰ [1] 吞贪 [3] 氽{人物在水上漂} [5] 探□{蒸笼～：蒸笼格}
d [2] 团糰谭潭 [6] 断{～绝}段缎
n [2] 南男 [6] 嫩
k [1] 甘柑泔{米～水}干肝竿 [3] 感敢杆秆赶
kʰ [1] 堪龛刊 [5] 勘
h [1] 鼾 [5] 汉罕
ɦ [2] 含函寒韩 [6] 汗旱岸翰焊
∅ [1] 安庵鞍 [5] 暗按案

ɯa
p [1] 巴芭疤 [3] 把 [5] 霸坝
b [2] 爬琶杷 [6] 耙皅〔？〕{～牙}筢{翻～：翻土除草农具。}
m [2] 麻蟆蟆 [4] 马码㑷{老～：妻子} [6] 骂
l [2] 良粮梁粱凉量 [4] 两 [6] 亮谅两{斤～}辆量{数～}
ts [1] 将{～来}浆张章樟蟑 [3] 奖桨蒋长{首～}掌涨 [5] 仗酱将{大～}帐账胀障瘴
tsʰ [1] 枪昌菖湿〔？〕 [3] 枪厂 [5] 唱倡畅
dz [2] 长肠场 [6] 丈杖
z [2] 墙详祥常尝裳偿 [4] 象像橡 [6] 匠尚上{～面}让
s [1] 相箱厢湘襄镶商伤 [3] 想鲞赏 [5] 相{～貌，～食}

ɯɤ（新派及乡下韵）
p [1] 波菠玻包胞搬 [3] 保堡宝饱褒蟆{蛤～：癞蛤蟆} [5] 报半拌{火～：焦泥灰}豹趵{暴跳，暴开}爆簸
pʰ [1] 抛泮泡{～茶} [5] 炮泡{名词}判脬{猪的膀胱}
b [2] 婆袍盘跑 [4] 伴拌绊鲍 [6] 暴刨叛
m [1] 帮 [2] 磨魔摩馍毛茅猫瞒馒忙{忘～记} [4] 满卯 [6] 磨冒帽貌望{看}
t [1] 刁豹雕端 [3] 短□{～被头} [5] 吊钓断{决～}窎{～角：偏僻之地}盀{～瓶：酒坛}
tʰ [1] 挑跳吞剜{把里面的东西剔出来。} [3] 挑{～选}氽{人物在水上漂} [5] 跳粜探躭{出～：人品出众}
d [2] 条调{～和}团糰谭潭 [6] 掉调{音～}段缎
n [2] 南男 [6] 嫩
l [2] 捞撩 [6] 料疗尥撩{向高处拿东西}□{团～：团篇}
ts [1] 焦蕉椒昭招躜{～到水里} [3] 钻{名词} [5] 照诏醮{再～}
tsʰ [1] 锹缲{～边}超杲{盛饭勺。饭～} [3] 忖{～～起儿：想想看} [5] 俏
dz [2] 朝{～代}潮 [4] 赵兆绍邵 [6] 召{～集}
s [1] 消宵霄硝销烧萧箫些{面～：那些} [3] 小少 [5] 笑鞘算
