單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
阿			aa	1			a	1		ʔ	a	23		ʔ	ᴀ	23	阿文
啊			aa	1			a	1		ʔ	a	23		ʔ	ᴀ	23	
唉			aai	2			ai	3		ʔ	ai	35		ʔ	ᴀj	35	
欸			aai	2			ai	3		ʔ	ai	35		ʔ	ᴀj	35	
哎			aai	2			ai	3		ʔ	ai	35		ʔ	ᴀj	35	
罷		b	aa	6		b	a	4		p	a	31		p	ᴀ	31	
罢		b	aa	6		b	a	4		p	a	31		p	ᴀ	31	
霸		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
巴		b	aa	2		b	a	3		p	a	35		p	ᴀ	35	
芭		b	aa	2		b	a	3		p	a	35		p	ᴀ	35	
笆		b	aa	2		b	a	3		p	a	35		p	ᴀ	35	
靶		b	aa	2		b	a	3		p	a	35		p	ᴀ	35	
把		b	aa	2		b	a	3		p	a	35		p	ᴀ	35	
吧		b	aa	6		b	a	4		p	a	31		p	ᴀ	31	
爸		b	aa	5		b	a	2		p	a	21		p	ᴀ	21	
壩		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
峇		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
疤		b	aa	2		b	a	3		p	a	35		p	ᴀ	35	
粑		b	aa	2		b	a	3		p	a	35		p	ᴀ	35	
伯		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	春秋五伯
襬		b	aai	2		b	ai	3		p	ai	35		p	ᴀj	35	
敗		b	aai	6		b	ai	4		p	ai	31		p	ᴀj	31	
败		b	aai	6		b	ai	4		p	ai	31		p	ᴀj	31	
擺		b	aai	2		b	ai	3		p	ai	35		p	ᴀj	35	
摆		b	aai	2		b	ai	3		p	ai	35		p	ᴀj	35	
拜		b	aai	1		b	ai	1		p	ai	23		p	ᴀj	23	
湃		b	aai	1		b	ai	1		p	ai	23		p	ᴀj	23	
扮		b	aan	6		b	an	4		p	an	31		p	ᴀn	31	
頒		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
阪		b	aan	2		b	an	3		p	an	35		p	ᴀn	35	
辦		b	aan	6		b	an	4		p	an	31		p	ᴀn	31	
班		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
斑		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
板		b	aan	2		b	an	3		p	an	35		p	ᴀn	35	
版		b	aan	2		b	an	3		p	an	35		p	ᴀn	35	
粄		b	aan	2		b	an	3		p	an	35		p	ᴀn	35	
闆		b	aan	2		b	an	3		p	an	35		p	ᴀn	35	
褒		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
報		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
保		b	aau	2		b	au	3		p	au	35		p	ᴀw	35	
葆		b	aau	2		b	au	3		p	au	35		p	ᴀw	35	
堡		b	aau	2		b	au	3		p	au	35		p	ᴀw	35	
褓		b	aau	2		b	au	3		p	au	35		p	ᴀw	35	
寶		b	aau	2		b	au	3		p	au	35		p	ᴀw	35	
暴		b	aau	6		b	au	4		p	au	31		p	ᴀw	31	凶暴
煲		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
伯		b	ak	9		b	aek	9		p	ɐk	21		p	ɐk	21	阿伯
伯		b	ak	8		b	aek	8		p	ɐk	31		p	ɐk	31	
百		b	ak	7B		b	aek	7		p	ɐk	23		p	ɐk	23	一百
伯		b	ak	7B		b	aek	7		p	ɐk	23		p	ɐk	23	伯爺
白		b	ak	8		b	aek	8		p	ɐk	31		p	ɐk	31	
帛		b	ak	8		b	aek	8		p	ɐk	31		p	ɐk	31	
蔔		b	ak	8		b	aek	8		p	ɐk	31		p	ɐk	31	
卜		b	ak	8		b	aek	8		p	ɐk	31		p	ɐk	31	萝卜
北		b	ak	7A		b	aek	6		p	ɐk	35		p	ɐk	35	
百		b	ak	7A		b	aek	6		p	ɐk	35		p	ɐk	35	百厭
乓		b	am	1		b	aem	1		p	ɐm	23		p	ɐm	23	
鬢		b	an	6		b	aen	4		p	ɐn	31		p	ɐn	31	
稟		b	an	2		b	aen	3		p	ɐn	35		p	ɐn	35	
品		b	an	2		b	aen	3		p	ɐn	35		p	ɐn	35	
賓		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
濱		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
檳		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
鬢		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
臏		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
繽		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
彬		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
奔		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
笨		b	an	6		b	aen	4		p	ɐn	31		p	ɐn	31	
繃		b	ang	1		b	aeng	1		p	ɐŋ	23		p	ɐŋ	23	繃帶
崩		b	ang	1		b	aeng	1		p	ɐŋ	23		p	ɐŋ	23	
蹦		b	ang	2		b	aeng	3		p	ɐŋ	35		p	ɐŋ	35	
畢		b	at	7A		b	aet	6		p	ɐt	35		p	ɐt	35	
筆		b	at	7A		b	aet	6		p	ɐt	35		p	ɐt	35	
不		b	at	7A		b	aet	6		p	ɐt	35		p	ɐt	35	
拔		b	at	8		b	aet	8		p	ɐt	31		p	ɐt	31	
跋		b	at	8		b	aet	8		p	ɐt	31		p	ɐt	31	
嗶		b	at	7A		b	aet	6		p	ɐt	35		p	ɐt	35	
八		b	et	7B		b	et	7		p	ɛt	23		p	ɛt	23	
捌		b	et	7B		b	et	7		p	ɛt	23		p	ɛt	23	
叭		b	et	7B		b	et	7		p	ɛt	23		p	ɛt	23	
啤		b	iaa	1		b	ia	1		p	ia	23		p	ɪᴀ	23	
柄		b	iaang	1		b	iang	1		p	iaŋ	23		p	ɪᴀŋ	23	
病		b	iaang	6		b	iang	4		p	iaŋ	31		p	ɪᴀŋ	31	
餅		b	iaang	2		b	iang	3		p	iaŋ	35		p	ɪᴀŋ	35	
包		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
苞		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
胞		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
爆		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
飽		b	iaau	2		b	iau	3		p	iau	35		p	ɪᴀw	35	
鮑		b	iaau	2		b	iau	3		p	iau	35		p	ɪᴀw	35	鮑魚
鮑		b	iaau	6		b	iau	4		p	iau	31		p	ɪᴀw	31	鮑魚之肆
孢		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
標		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
飆		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
鑣		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
表		b	iaau	2		b	iau	3		p	iau	35		p	ɪᴀw	35	
彪		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
錶		b	iaau	1		b	iau	1		p	iau	23		p	ɪᴀw	23	
錶		b	iaau	2		b	iau	3		p	iau	35		p	ɪᴀw	35	
卑		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	
臂		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	
避		b	ie	6		b	ie	4		p	iɛ	31		p	iɘ	31	
碑		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	
彼		b	ie	2		b	ie	3		p	iɛ	35		p	iɘ	35	
被		b	ie	6		b	ie	4		p	iɛ	31		p	iɘ	31	
庇		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	比較
比		b	ie	2		b	ie	3		p	iɛ	35		p	iɘ	35	被動
妣		b	ie	2		b	ie	3		p	iɛ	35		p	iɘ	35	
鼻		b	ie	6		b	ie	4		p	iɛ	31		p	iɘ	31	
悲		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	
泌		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	
祕		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	
備		b	ie	6		b	ie	4		p	iɛ	31		p	iɘ	31	
憊		b	ie	6		b	ie	4		p	iɛ	31		p	iɘ	31	
痺		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	
秘		b	ie	1		b	ie	1		p	iɛ	23		p	iɘ	23	
陂		b	ie	5		b	ie	2		p	iɛ	21		p	iɘ	21	
畀		b	ie	2		b	ie	3		p	iɛ	35		p	iɘ	35	
壁		b	ik	7B		b	ik	7		p	ɪk	23		p	ɪk	23	
璧		b	ik	7B		b	ik	7		p	ɪk	23		p	ɪk	23	
碧		b	ik	7B		b	ik	7		p	ɪk	23		p	ɪk	23	
逼		b	ik	7B		b	ik	7		p	ɪk	23		p	ɪk	23	
迫		b	ik	7B		b	ik	7		p	ɪk	23		p	ɪk	23	
邊		b	in	1		b	in	1		p	in	23		p	in	23	
扁		b	in	2		b	in	3		p	in	35		p	in	35	扁平
匾		b	in	2		b	in	3		p	in	35		p	in	35	
辮		b	in	1		b	in	1		p	in	23		p	in	23	
鞭		b	in	1		b	in	1		p	in	23		p	in	23	
便		b	in	6		b	in	4		p	in	31		p	in	31	便利
變		b	in	1		b	in	1		p	in	23		p	in	23	
汴		b	in	6		b	in	4		p	in	31		p	in	31	
辨		b	in	6		b	in	4		p	in	31		p	in	31	
辯		b	in	6		b	in	4		p	in	31		p	in	31	
邊		b	in	4		b	in	2		p	in	22		p	in	22	邊址
貶		b	in	2		b	in	3		p	in	35		p	in	35	
