num	聲	呼	等	韻	調	組	攝	字	茶山茶山	茶山塘角(大部头)	茶山塘角(莞语探源)	長安	常平	大朗	道滘	東城	東坑	高埗	莞城	莞城字匯	莞城老男(語保)	莞城青男(語保)	橫瀝	洪梅	厚街	虎門	黃江	寮步	麻湧	南城	企石	橋頭	沙田	石碣	石龙1890原版	石龙1890粤拼版	石龍	石排	塘廈	萬江	望牛墩	謝崗	中堂		大嶺山	鳳崗	清溪	樟木頭
0								5484	2980	1118	3710	1118	1118	1118	1118	1118	1118	1118	1118	3446	1117	1116	1118	1118	1118	1118	1118	1118	1118	1118	1118	1118	1118	1118	820	820	1118	1118	1118	1118	1118	1118	1118		1118	1118	1118	1118
1	云	合	三	微	平	影	止	圍	vɔi²¹	voe²¹	vɔi4	wai²¹	voe²¹	voe²¹	woe²¹	wɔi²²|wɐi²²	vɔi²¹	woe²¹	wɔi31	wɔi³¹|tʰɵn³¹	wɔi31	wɔi31	woe²¹	woe³¹	we³¹	wai²¹	wai²¹	vɔi²¹	wɐi²²¹	woe³¹	woe²¹	wei²¹	wɐi²¹	woe²¹			wɔe²¹	woe²¹	wai²¹	wɔe²¹	woe²¹	wɐi²¹	wɔi²¹		vui²¹	vui²¹	vui²¹	vui²²
2	云	合	三	微	平	影	止	違	vɔi²¹		vɔi4									wɔi³¹																												
3	云	合	三	微	平	影	止	韋																																								
4	云	合	三	微	上	影	止	偉	vɔi¹³		vɔi3									wɔi³⁴																												
5	云	合	三	微	上	影	止	瑋																																								
6	云	合	三	微	上	影	止	葦	vɔi¹³		vɔi3									wɔi³⁴																												
7	云	合	三	微	上	影	止	煒																																								
8	云	合	三	微	去	影	止	胃	vɔi⁴³	voe⁴⁴	vɔi6	wai³³²	voe³³	voe³³	woe⁴⁴	wɔi⁴⁴	vɔi⁴³	woe³³	wɔi443	wɔi⁴⁴³	wɔi44	wɔi44	woe³³	woe⁴⁴³	we³³	wai⁴⁴³	wai³³	vɔi⁴²	wɐi⁴¹	woe⁴³	woe⁴³	wei⁴⁴	wɐi⁴³	woe³³			wɔe⁴¹	woe⁴⁴	wai³³	wɔe⁴⁴³	woe³³	wɐi⁴⁴	wɔi³²		vui⁵¹	vui³¹	vui³¹	vui⁴¹
9	云	合	三	微	去	影	止	渭																																								
10	云	合	三	微	去	影	止	謂	vɔi⁴³		vɔi6									wɔi⁴⁴³																												
11	云	合	三	微	去	影	止	彙	vui⁴³																																							
12	云	合	三	微	去	影	止	蝟			vɔi6																																					
13	云	合	三	微	去	影	止	緯	vɔi¹³		vɔi3									wɔi³⁴																												
14	影	開	三	微	平	影	止	依	ji³⁵		ji1									pɔŋ⁴⁴³																												
15	影	開	三	微	平	影	止	衣	ji³¹	ji³³	ji1	ji³⁴	zɿ³²	zɿ³¹	ji²³	ji³³	ji³²	ji²³	ji23	ji²³	ji23	ji23	ji³²	ji²³	ji²³	ji⁵⁵	ji³²	ji³¹	ji⁵⁵³	ji²³	ji³²	ji²²	ji⁵³	ji²²	yí	ji	ji³¹	ji³²	ji³²	ji²³	ji²³	ji²²	ji²³		zi²³	zi²³	zi³⁴	zi³⁴
16	影	合	三	微	平	影	止	威	vɔi³¹		vɔi1									wɔi²³																												
17	影	合	三	微	去	影	止	蔚			vɔi3																																					
18	影	合	三	微	去	影	止	慰	vɔi³⁵		vɔi3									wɔi³⁵																												
19	影	合	三	微	去	影	止	熨	tʰoŋ¹³																																							
20	影	合	三	微	去	影	止	尉			vɔi3																																					
21	影	合	三	微	去	影	止	畏	vɔi¹³		vɔi3									wɔi⁴⁴³																												
22	影	開	三	微	去	影	止	衣	ji³¹	ji³³	ji1	ji³⁴	zɿ³²	zɿ³¹	ji²³	ji³³	ji³²	ji²³	ji23	ji²³	ji23	ji23	ji³²	ji²³	ji²³	ji⁵⁵	ji³²	ji³¹	ji⁵⁵³	ji²³	ji³²	ji²²	ji⁵³	ji²²	yí	ji	ji³¹	ji³²	ji³²	ji²³	ji²³	ji²²	ji²³		zi²³	zi²³	zi³⁴	zi³⁴
23	疑	合	三	微	平	見	止	巍			ŋɔi4																																					
24	疑	合	三	微	去	見	止	魏	ɡuɔi⁴³		ŋɔi6									ŋɔi⁴⁴³																												
25	疑	開	三	微	去	見	止	毅	ɡɔi⁴³		ŋɔi6									ŋɔi⁴⁴³																												
26	疑	開	三	微	平	見	止	沂																																								
27	曉	合	三	微	平	影	止	揮	fuɔi³¹		fɔi1									fɔi²³																												
