#ŋ̍
∅[22]吴蜈[353]五伍
ts[12]臊[214]爪找[22]遭糟抄[35]灶燥罩笊[353]早枣蚤澡
dz[12]曹槽[214]糙造炒吵[22]躁操操[353]草皂
p[12]褒曝[22]抱[33]包胞[35]保堡宝报饱豹爆
b[12]袍跑雹[214]泡炮[22]暴菢刨刨
m[12]猫猫[214]冒帽貌藐[22]毛茅锚矛[35]卯
t[22]刀叨[35]到[353]祷岛倒倒
n[12]脑恼[214]闹
l[12]掏桃逃淘陶萄涛盗[214]套导悼捞涝[22]滔道稻劳牢痨劳[353]讨老
s[12]扫稍潲[22]骚[35]扫[353]嫂
k[12]搅[214]稿[22]篙[33]高膏糕膏胶[35]告教教较窖[353]烤拷搞
ɡ[214]靠敲[353]考
ŋ[12]熬咬坳[214]傲凹[35]奥[353]袄
h[12]耗豪壕毫[22]蒿浩号[35]好

#aʔ
ts[5]札扎摘
m[12]掰
ɸ[12]发
t[5]搭
l[5]腊蜡
tʂ[5]只
tʂʰ[12]尺
h[12]吓

#ɛ
ts[12]测泽
dz[12]择策册[22]辙
p[12]迫[5]百柏伯
b[12]魄帛[22]白[5]北
m[22]麦[5]陌
ɸ[22]佛吻[5]勿
l[12]热突[22]日[5]入
s[5]涩
tʂ[12]厠哲蜇折[22]摺[33]折浙[5]褶蛰
ʂ[5]涉
k[12]匣刻克[5]格
ɡ[5]客
ŋ[12]额扼轭
h[12]黑[22]骇

#ɚ
∅[214]二贰[22]而儿[35]耳

#ʅ
tʂ[12]栀只志志[214]纸[22]槌稚值[33]追知蜘支枝肢之芝[35]制制赘智致至痣[353]脂旨指止趾址[42]炙[5]质执汁
dʐ[12]池驰侈斥[214]坠翅帜[22]雉恃炊侄秩植[353]齿[42]赤
ʂ[12]世势税匙试湿式[214]誓逝是示视市侍睡[22]施尸诗时莳垂什饰[353]氏豉矢屎始[42]嗜
ʐ[12]迟

#ei
ʂ[22]谁

#ɛl
l[12]冉
s[5]啬
dʐ[22]彻撤
ʂ[12]舌
h[22]核核

#əl
b[22]勃

#ʅl
tʂ[5]质
ʂ[22]十拾实蚀[5]失室

#ən
ts[214]赁[22]尊遵
dz[12]存[214]寸[22]村皴臣
p[33]奔绷[353]本
b[12]盆[33]锛
m[214]闷[22]蚊门
ɸ[12]喷坟愤喷[214]浑混份[22]昏婚魂分吩芬焚分荤[35]粪奋[353]粉
t[12]遁盾顿饨盾[22]蹲敦墩
n[214]嫩论
l[12]肫刃屯豚臀钝[214]任论润闰认[22]壬然燃吞人仁囤沌[35]忍[353]染韧
s[12]渗逊[22]参森孙纯[353]损笋
tʂ[12]镇[214]占趁[22]瞻侦[33]沾砧针斟毡珍真贞[35]战颤振震[353]枕展准诊疹
dʐ[12]沉缠禅陈尘[22]春阵
ʂ[12]搧扇禅辰[214]甚善鳝膳榫顺舜肾慎[22]蟾深婶蝉唇醇鹑神身申伸晨[353]陕闪沈审[42]葚
k[33]跟根
ɡ[353]恳垦
ŋ[33]恩
h[12]痕[22]恨[353]很

#əŋ
ts[12]憎[22]增罾曾[33]争筝征[35]甑正政[353]整
dz[12]曾层[214]赠
p[12]朋[33]崩
b[12]膨[22]笨
m[12]孟
ɸ[22]宏
t[12]等戥凳[22]登灯瞪
n[22]能仍
l[12]腾誊藤疼[22]邓棱
s[12]省[22]僧生牲笙甥[353]省
tʂ[33]蒸[35]证[353]拯
dʐ[12]澄澄承丞澄逞呈成城诚[214]秤[22]称[35]惩
ʂ[12]胜[214]乘剩圣盛[22]绳塍升声
k[12]肯粳梗更[33]更庚羹耕[353]哽耿
h[12]恒衡[22]夯亨

#əu
ts[12]走[33]邹[35]奏皱
dz[12]愁[214]凑
m[214]茂贸[22]谋[35]某亩[353]牡
ɸ[22]浮[353]否
t[12]斗[22]兜[353]斗抖陡
n[22]柔
l[12]扰头投楼[214]透漏陋[22]偷豆痘搂揉[353]篓
s[12]嗽瘦[22]搜馊
tʂ[33]昭招[35]照昼[353]肘纣
dʐ[12]嘲朝潮绸稠筹丑仇酬售仇[214]臭[22]超赵抽宙[33]周舟州洲[35]肇咒[353]帚
ʂ[12]兽[214]兆召绍受寿授[22]烧韶邵收[35]少[353]少手首守
k[214]口扣寇[33]勾钩沟垢勾[35]够构购[353]狗
ɡ[22]抠
ŋ[12]怄[214]偶[22]殴[33]欧鸥[353]藕呕
h[12]喉猴候[22]厚后

#ɛʔ
ts[5]卒则鲫侧侧责
dz[5]贼
p[5]不
b[22]泊
m[5]没墨默脉
ɸ[22]获
t[5]得德
l[5]特肋勒
s[22]塞[5]瑟虱色
tʂ[5]卒
ʂ[5]设
k[5]革隔

#ʅʔ
tʂ[22]直[5]织职
ʂ[5]食识适

#i
ts[353]嘴
ȵ[214]遇艺[22]愚虞娱寓泥霓
tɕ[12]系记讥剧[214]翠[22]褯车机骤缉集辑揖[33]居拘驹俱矩鸡稽髻饥肌基饥[35]据锯句祭际济计继醉寄冀既[353]举挤最几麂己纪几几[5]急级给橘
ʥ[12]徐齐脐剂七漆戚寂[214]趣砌脆[22]藉蛆趋聚妻凄栖催崔罪习袭疾籍藉席[35]荠[353]取娶
p[12]背[33]杯[35]贝闭辈背背[5]笔毕滗
b[12]培陪赔裴倍焙彼皮疲脾琵枇撵辟僻劈[214]沛配譬匹[22]蔽敝弊毙箅批陛坯佩披被婢被避泌辔庇痹畀纰屁备篦[33]蓖碑卑悲[35]鄙比[353]痞[5]臂
m[214]妹昧寐[22]谜迷谜梅枚玫媒煤莓糜弥靡眉楣霉媚[35]秘[353]米每美
ɸ[12]费[214]会绘[22]非飞妃肥翡[35]桧痱[353]匪
t[12]帝蒂蹄对队[22]低堆[353]底抵
d[12]堤题提啼递儡栗[214]虑滤梯替涕剃屉丽隶荔例厉励退蜕兑鋭类泪蜊利痢吏累瑞捋[22]驴弟第犁黎推雷擂擂离篱璃离地梨履惕敌[35]体里理鲤[353]吕旅屡礼腿垒蕊[5]笠泣
n[214]御内魏义议[22]鱼宜仪蚁谊尼呢腻疑凝[353]女语拟[42]佞
l[35]你厘狸李里[5]立
s[214]岁遂隧[22]虽髓随
ɕ[12]细婿碎携戏[214]序叙系系[22]墟虚嘘须须需西犀溪奚兮徙牺希稀戌[33]熙[353]许洗玺嬉喜
∅[12]其旗棋期葵逵祁奇骑倚技歧祈乞释[22]渠拒佢距具极欺企区驱枢[33]妓[214]惧气汽弃去契[353]忌起杞岂启

#ia
tɕʰ[214]笡
tɕ[33]家加嘉佳[35]架驾嫁稼价姐借[353]假贾
ʥ[353]且
t[33]爹
d[12]邪斜[22]谢谢
ɕ[12]泻卸洽[214]厦[22]靴霞瑕遐[353]写[42]厦[5]锡
∅[12]茄瘸吃

#ial
ɕ[12]峡

#iaŋ
tɕ[12]颈[22]精青[35]井
ʥ[12]请晴
p[12]饼[22]病[35]柄
m[12]明命[22]名
t[22]钉零
ɕ[214]姓醒[22]星腥兄
∅[22]轻

#iaʔ
p[5]壁
ɕ[5]侠

#iɛ
tɕʰ[22]妾
tɕ[12]劫[5]接节疖结洁
ʥ[12]切窃[22]截
p[12]撇[22]鳖瘪憋
b[22]别
m[12]灭[22]篾
t[12]跌[22]叠谍跌
d[12]贴列烈裂劣[214]铁
n[12]业[22]捏[5]聂镊摄孽
ɕ[12]些楔[22]协歇蝎[5]薛泄屑
∅[12]揭掘[22]杰竭

#iɛl
ʥ[22]捷
t[22]碟蝶
d[12]帖[22]猎[5]煠
ɕ[12]胁

#iɛn
ȵ[12]研[214]验谚砚
tɕʰ[12]忏
tɕ[12]舰检煎拽键[22]尖[33]兼间肩坚[35]剑简柬谏涧箭建荐笕见[353]剪演茧
ʥ[12]钱贱饯前[214]潜践[22]歼渐纤迁千[35]溅[353]浅
p[12]骗[214]汴[22]篇偏徧辫[33]编边[35]变遍[353]贬扁匾
b[214]片[22]便辨辩[33]鞭蝙
m[214]面麺[22]棉眠[353]免勉缅
t[12]掂奠垫[22]颠癫[35]点店典
d[12]甜电[22]镰帘敛殓签添舔簟连鲢天田填殿靛怜莲
n[214]艷念辇[22]黏严酽腌鮎拈苶年[33]粘搛[35]碾
l[12]脸[22]淀
ɕ[12]线宪献[214]现县[22]嫌揿仙鲜癣掀先[35]险[353]显
ŋ[22]巖言
∅[12]千钳嵌岑[22]俭芡健件牵谦歉贤[214]欠[353]谴

#iəu
ȵ[22]挠饶绕摇姚尿
tɕʰ[22]锹[353]悄
tɕ[12]觉[22]焦蕉椒樵[33]交郊铰骄娇浇[35]狡缴叫[353]剿饺
ʥ[12]瞧
p[12]表表[22]鳔[33]标彪
b[12]嫖[214]票[22]飘漂漂
m[214]庙妙谬[22]苗描[35]渺秒
t[12]钓吊掉[22]刁貂雕[35]鸟鸟
d[12]条调调[214]跳[22]燎挑挑
n[214]尿
l[214]料廖[22]疗聊辽撩僚了镣[353]了
ɕ[12]孝淆笑嚣[214]效校小[22]筲校俏消硝销逍鞘箫[33]鞘[35]酵
∅[12]乔桥荞翘轿巧[214]窍粜[353]丑

#iɛʔ
n[12]丛

#il
tɕ[12]橘[5]桔吉
p[5]必
b[22]鼻
d[22]粒
ɕ[5]吸
∅[12]倔屈

#in
tɕ[12]襟[22]津筋[33]今金均钧君军巾斤[35]浸禁禁俊进晋劲劲[353]锦菌紧仅谨
ʥ[12]寻秦[22]侵尽亲尽衬[353]寝
p[12]苹[214]禀拚[22]殡鬓[33]宾[353]品
b[12]贫频[22]拼
m[12]闽[22]民[353]悯敏
d[214]吝[22]林淋临檩仑伦轮邻鳞磷
ɕ[12]迅驯训衅[214]信[22]心荀旬循巡殉熏勛辛新薪讯欣馨
ŋ[22]银
∅[12]琴禽擒勤芹群裙[22]近钦

#iŋ
tɕʰ[22]蜻
tɕ[12]茎惊境竞[22]鲸晶睛[33]京荆经[35]敬竟镜径[353]景警擎
ʥ[12]情[214]静靖[22]清净
p[214]丙秉[33]冰兵
b[12]凭瓶屏萍[214]聘[22]平坪评并
m[22]鸣铭冥
t[12]订[22]丁疔汀[353]顶鼎挺
d[12]听亭停廷庭[214]令另[22]陵凌菱厅锭定宁灵铃龄[353]岭领蜓艇
ɕ[12]兴性形[214]杏幸[22]行猩型刑
∅[22]卿[35]罄[214]庆

#io
ȵ[12]月
tɕ[12]絶决诀镢觉[5]掘足
ʥ[12]雀鹊[22]嚼
d[5]略掠
ɕ[12]雪血[22]穴
∅[12]却

#iol
∅[12]缺

#ion
ȵ[214]愿[22]元原阮[353]软
tɕ[12]撰券[22]拴栓捐鹃[35]眷绢[353]卷
ʥ[12]全泉
d[12]练炼[214]恋[22]联
l[12]楝
ɕ[12]颧[214]羡[22]涎弦宣旋喧玄悬眩[353]选
∅[12]拳权颧犬[22]圈丸[214]劝

#ioŋ
ȵ[22]娘
tɕ[12]将僵[22]将浆[33]疆姜缰姜弓供[35]酱[353]蒋奖
ʥ[12]墙详祥从松[214]翔[22]枪匠箱象像橡[353]抢
d[214]量亮谅[22]良凉粮梁量[353]两两辆
l[22]龙
ɕ[12]相饷向[22]厢湘瓖相香乡松熊雄胸凶凶[353]想享响
ŋ[12]仰
∅[12]强穷[22]共腔倾顷羌匡筐框眶[353]恐

#ioʔ
ȵ[5]虐疟
tɕ[5]脚
ʥ[22]爵
ɕ[5]削学
∅[12]搉

#iu
tɕ[12]揪灸[33]鸠阄纠纠[35]救究[353]酒九久韭
ʥ[12]囚泅[22]秋鳅就袖
t[22]丢
d[22]流刘留榴硫溜馏[353]柳
n[22]牛[353]纽扭钮
ɕ[12]秀绣嗅蓄[214]朽[22]修羞休[5]粟
∅[12]求球曲[22]臼旧舅柩丘

#iuŋ
ɕ[214]诵颂讼

#iuʔ
ȵ[5]肉玉
tɕ[5]菊曲
d[12]六陆緑
ɕ[22]俗[5]宿速肃宿续束旭
∅[22]局

#iʔ
ȵ[12]溺历历
tɕ[5]即戟积迹脊绩击激
p[5]逼碧璧劈
m[12]密蜜[5]觅
t[5]的滴嫡
d[22]狄籴[5]律率率力踢剔笛
n[12]液腋[5]匿抑逆
ɕ[5]恤蟀悉膝蟋息熄媳惜昔夕析
∅[22]及

#o
ts[22]啄[353]左[5]撮
dz[12]凿昨[214]错[22]坐[42]措
p[22]坡玻[33]波菠[35]播[5]钵
b[12]婆[22]薄
m[12]抹[22]魔摩摸[5]末沫抹
ɸ[22]缚
t[35]剁[353]躲
n[12]诺
l[12]托托铎落烙骆洛络乐卵[214]惰[22]拖螺[353]妥椭
s[5]涮刷
ʂ[5]说
k[12]叩[22]揢[33]歌哥[35]个[353]可
ɡ[12]确壳[214]瞌
ŋ[22]蛾[35]我[5]岳
h[12]河何郝鹤霍藿[22]贺

#ol
p[12]泼[5]拨
b[22]钹
l[12]脱[22]夺
k[12]磕擀割葛[5]鸽
ɡ[12]渴
h[12]喝[22]合合盒[5]喝

#on
ts[12]钻[22]簪参汆[33]专砖
dz[12]蚕[214]纂篡[22]参[353]惨
p[33]般搬[35]半
b[12]盘[214]判叛[22]潘伴
m[22]瞒馒[353]满
ɸ[214]缓[353]皖
t[12]锻[22]端[353]短
n[22]男南銮[35]暖
l[12]坛团[214]探乱[22]贪潭断断段缎鸾
s[12]算蒜[22]酸闩
tʂ[12]传椽[214]篆[22]传[353]转
dʐ[12]喘[214]串[22]川穿
ʂ[22]船
k[12]感[33]甘柑泔干肝干竿赶[35]干[353]敢橄杆秆
ɡ[214]坎看[22]勘刊[35]侃[353]砍
ŋ[12]揞[22]龛岸[33]庵鹌安鞍[35]暗按
h[12]含函寒韩[214]汉[22]憾鼾旱汗焊翰轩[353]罕

#oŋ
ts[12]纵[22]赃脏棕鬃宗综崇踪[33]庄装妆桩[35]葬壮粽[353]总
dz[12]藏藏[22]仓撞窗匆葱囱
p[12]旁膀[33]帮邦[353]榜谤绑
b[12]螃傍胖庞鹏蓬篷[22]棒蚌
m[22]忙芒茫盲虻氓盟蒙蠓[353]莽蟒懵
ɸ[12]倣[22]方肪坊芳妨房防[35]放[353]纺访
t[12]当冻栋[22]当裆东[353]党挡档董懂
n[22]瓤农脓侬浓
l[12]堂棠唐糖塘酿壤攘同铜桐筒童瞳[214]烫浪让捅痛拢弄[22]汤荡郎廊狼螂榔通动洞笼聋笼隆窿茸[353]躺趟朗桶统陇垄
s[12]丧丧送[214]宋[22]桑霜孀双双[353]磉搡爽怂耸
tʂ[12]胀长仗[33]张章樟瘴中忠衷终钟锺盅[35]帐账涨障种衆[353]涨掌种肿
tʂʰ[214]畅[22]冲舂
dʐ[12]长肠场床虫重[214]创唱铳宠[22]丈杖疮状昌菖倡聪冲仲充重重[353]闯厰敞
ʂ[214]赏上尚上[22]商伤常尝裳[353]偿
k[33]岗刚纲钢缸钢江扛肛[35]杠降[353]讲港
ɡ[214]抗炕[22]康糠
ŋ[22]昂
h[12]行航杭行[22]项巷[35]降

#oʔ
ts[5]作卓桌琢捉龊
dz[5]戳
p[5]博剥驳
b[22]薄
m[5]莫膜幕寞漠
t[5]答
n[5]纳
l[5]若弱乐
s[12]塑索[5]朔索缩
tʂ[5]着
ʂ[5]酌灼绰焯勺芍硕
k[5]各阁搁角
ŋ[12]粤[5]腭鄂恶

#ɿ
ts[12]姊[214]子梓[22]资姿咨鹚牸[353]紫滓
dz[12]瓷糍兹滋慈磁辞词祠嗣[214]此刺疵赐次自[22]雌字祀巳寺饲柿
s[12]四肆[214]似士仕事[22]斯撕私师狮蛳司丝思伺[353]死使史驶使
tʃ[35]置
tʃʰ[22]痴
dʒ[12]耻[22]痔治[33]辎
ʒ[12]持

#ɿl
ʃ[22]术述

#u
ts[22]租[35]做[353]祖组[42]族
dz[12]促[214]醋[22]粗[353]阻
p[12]怖菩脯讣朴卜仆仆[35]布[353]补浦
b[12]铺蒲埠卜扑醭瀑[22]部簿步捕[353]谱普
m[214]暮慕墓募[22]模[353]母
ɸ[12]赴副[214]父附负[22]夫肤敷俘孵麸符扶芙驸巫诬妇[35]付傅咐富[353]府腑俯甫斧赋抚腐辅[42]镬[5]复
t[12]妒屠秃[214]赌笃[22]都初[33]猪
n[214]怒[22]奴虏[353]努
l[12]徒图[214]吐兔途路赂露[22]肚杜卢炉芦鸬庐苎如儒[353]土鲁卤汝乳[42]肚度渡镀毒
s[12]素诉数漱[22]苏酥梳疏蔬[353]所数
tʂ[12]着着着浊[22]助[33]诸诛蛛株朱珠[35]驻注蛀铸[353]煮主
tʂʰ[214]畜
dʐ[12]除储锄杵厨橱住锤畜[214]处处[22]拄柱吹[353]楚础
ʂ[12]庶恕叔[214]署戍竖树[22]书舒薯输殊[353]暑鼠水
k[22]枯[33]姑孤估[35]故固雇顾[353]古牯股鼓
x[12]互[214]户沪护[22]呼胡湖狐壶乎瓠葫胡蝴[353]虎浒
∅[12]哭[33]箍[214]库裤酷[353]苦

#ua
ɸ[214]划划[22]桦
k[33]瓜[35]挂卦[353]寡[5]刮
x[12]化[22]花华
∅[22]夸跨[33]蜗[214]话[353]剐垮

#uai
k[33]乖[35]怪拐
∅[214]筷快块会{会计}

#ual
∅[22]滑猾

#uan
k[33]鳏关[35]贯惯

#uaŋ
∅[22]横

#uɛl
∅[12]窟

#uɛn
k[35]滚棍
∅[22]坤馄[33]昆[214]困睏[353]捆

#uɛʔ
ɸ[5]或惑
k[5]国

#ui
ɸ[12]肺[214]汇会彗汇惠慧[22]恢灰回茴麾挥辉徽[33]征[35]悔废[353]贿毁
k[12]癸[22]窥[33]龟归圭闺规[35]刽跪贵桂[353]傀诡轨鬼
ɡ[22]柜
x[22]盔
∅[12]魁奎溃吠[22]亏[35]愧

#ul
ɸ[5]忽
k[5]骨

#uŋ
b[12]棚[214]碰[353]捧
m[214]梦[22]萌
ɸ[12]凤逢[214]奉俸[22]弘轰烘红洪鸿虹风枫疯丰冯封峰蜂锋缝缝[35]讽[353]哄
t[22]冬
k[214]汞[33]公蚣工功攻躬宫恭供龚[35]贡[353]拱巩
∅[22]空控孔

#uo
ɸ[12]货豁[214]祸[353]火伙
k[12]过[353]果[5]括
∅[22]科课颗禾裸

#uol
ʂ[5]说
∅[12]阔活

#uon
ɸ[12]唤焕[22]欢
k[33]官棺观冠观冠[35]管灌罐[353]馆
∅[22]宽[214]款换矿旷

#uoŋ
ɸ[12]虹[22]荒慌黄簧皇蝗凰隍蟥[353]谎恍晃
k[33]光胱[35]逛[353]广
ɡ[214]狂

#uoʔ
k[5]郭廓
∅[5]扩

#uʔ
m[5]木目牧睦
ɸ[22]蝠服[42]伏[5]福幅复腹辐覆复
t[5]督
l[22]读犊鹿[42]独[5]禄辱褥
tʂ[5]竹筑烛嘱触
dʐ[33]逐轴
ʂ[42]熟[5]淑孰塾属赎蜀属
k[5]谷谷
