單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
阿			aa	1			a	1		ʔ	a	23		ʔ	ᴀ	23	阿文
啊			aa	1			a	1		ʔ	a	23		ʔ	ᴀ	23	
唉			aai	2			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
欸			aai	2			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
哎			aai	2			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
罷		b	aa	6		b	a	4		p	a	32		p	ᴀ	32	
罢		b	aa	6		b	a	4		p	a	32		p	ᴀ	32	
霸		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
巴		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
芭		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
笆		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
靶		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
把		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
吧		b	aa	6		b	a	4		p	a	32		p	ᴀ	32	
爸		b	aa	4		b	a	2		p	a	21		p	ᴀ	21	
壩		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
峇		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	
疤		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
粑		b	aa	2		b	a	3		p	a	45		p	ᴀ	45	
伯		b	aa	1		b	a	1		p	a	23		p	ᴀ	23	春秋五伯
襬		b	aai	2		b	ai	3		p	ai	45		p	ᴀj	45	
敗		b	aai	6		b	ai	4		p	ai	32		p	ᴀj	32	
败		b	aai	6		b	ai	4		p	ai	32		p	ᴀj	32	
擺		b	aai	2		b	ai	3		p	ai	45		p	ᴀj	45	
摆		b	aai	2		b	ai	3		p	ai	45		p	ᴀj	45	
拜		b	aai	1		b	ai	1		p	ai	23		p	ᴀj	23	
湃		b	aai	1		b	ai	1		p	ai	23		p	ᴀj	23	
扮		b	aan	6		b	an	4		p	an	32		p	ᴀn	32	
頒		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
阪		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
辦		b	aan	6		b	an	4		p	an	32		p	ᴀn	32	
班		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
斑		b	aan	1		b	an	1		p	an	23		p	ᴀn	23	
板		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
版		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
粄		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
闆		b	aan	2		b	an	3		p	an	45		p	ᴀn	45	
八		b	aat	7B		b	at	6		p	at	23		p	ᴀt	23	
捌		b	aat	7B		b	at	6		p	at	23		p	ᴀt	23	
叭		b	aat	7B		b	at	6		p	at	23		p	ᴀt	23	
包		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
苞		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
胞		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
爆		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
飽		b	aau	2		b	au	3		p	au	45		p	ᴀw	45	
鮑		b	aau	2		b	au	3		p	au	45		p	ᴀw	45	鮑魚
鮑		b	aau	6		b	au	4		p	au	32		p	ᴀw	32	鮑魚之肆
孢		b	aau	1		b	au	1		p	au	23		p	ᴀw	23	
閉		b	ai	1		b	aei	1		p	ɐi	23		p	ɐi	23	
陛		b	ai	1		b	aei	1		p	ɐi	23		p	ɐi	23	
蔽		b	ai	1		b	aei	1		p	ɐi	23		p	ɐi	23	
敝		b	ai	6		b	aei	4		p	ɐi	32		p	ɐi	32	
弊		b	ai	6		b	aei	4		p	ɐi	32		p	ɐi	32	
幣		b	ai	6		b	aei	4		p	ɐi	32		p	ɐi	32	
斃		b	ai	6		b	aei	4		p	ɐi	32		p	ɐi	32	跛腳
跛		b	ai	2		b	aei	3		p	ɐi	45		p	ɐi	45	
伯		b	ak	9		b	aek	8		p	ɐk	21		p	ɐk	21	阿伯
伯		b	ak	8		b	aek	7		p	ɐk	32		p	ɐk	32	
百		b	ak	7B		b	aek	6		p	ɐk	23		p	ɐk	23	一百
伯		b	ak	7B		b	aek	6		p	ɐk	23		p	ɐk	23	伯爺
白		b	ak	8		b	aek	7		p	ɐk	32		p	ɐk	32	
帛		b	ak	8		b	aek	7		p	ɐk	32		p	ɐk	32	
蔔		b	ak	8		b	aek	7		p	ɐk	32		p	ɐk	32	
卜		b	ak	8		b	aek	7		p	ɐk	32		p	ɐk	32	萝卜
北		b	ak	7A		b	aek	5		p	ɐk	45		p	ɐk	45	
百		b	ak	7A		b	aek	5		p	ɐk	45		p	ɐk	45	百厭
乓		b	am	1		b	aem	1		p	ɐm	23		p	ɐm	23	
鬢		b	an	6		b	aen	4		p	ɐn	32		p	ɐn	32	
稟		b	an	2		b	aen	3		p	ɐn	45		p	ɐn	45	
品		b	an	2		b	aen	3		p	ɐn	45		p	ɐn	45	
賓		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
濱		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
檳		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
鬢		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
臏		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
繽		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
彬		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
奔		b	an	1		b	aen	1		p	ɐn	23		p	ɐn	23	
笨		b	an	6		b	aen	4		p	ɐn	32		p	ɐn	32	
繃		b	ang	1		b	aeng	1		p	ɐŋ	23		p	ɐŋ	23	繃帶
崩		b	ang	1		b	aeng	1		p	ɐŋ	23		p	ɐŋ	23	
蹦		b	ang	2		b	aeng	3		p	ɐŋ	45		p	ɐŋ	45	
畢		b	at	7A		b	aet	5		p	ɐt	45		p	ɐt	45	
筆		b	at	7A		b	aet	5		p	ɐt	45		p	ɐt	45	
不		b	at	7A		b	aet	5		p	ɐt	45		p	ɐt	45	
拔		b	at	8		b	aet	7		p	ɐt	32		p	ɐt	32	
跋		b	at	8		b	aet	7		p	ɐt	32		p	ɐt	32	
嗶		b	at	7A		b	aet	5		p	ɐt	45		p	ɐt	45	
啤		b	e	1		b	e	1		p	ɛ	23		p	ɛ	23	
卑		b	ei	1		b	ei	1		p	ei	23		p	ej	23	
臂		b	ei	1		b	ei	1		p	ei	23		p	ej	23	
避		b	ei	6		b	ei	4		p	ei	32		p	ej	32	
碑		b	ei	1		b	ei	1		p	ei	23		p	ej	23	
彼		b	ei	2		b	ei	3		p	ei	45		p	ej	45	
被		b	ei	6		b	ei	4		p	ei	32		p	ej	32	
庇		b	ei	1		b	ei	1		p	ei	23		p	ej	23	比較
比		b	ei	2		b	ei	3		p	ei	45		p	ej	45	被動
妣		b	ei	2		b	ei	3		p	ei	45		p	ej	45	
鼻		b	ei	6		b	ei	4		p	ei	32		p	ej	32	
悲		b	ei	1		b	ei	1		p	ei	23		p	ej	23	
泌		b	ei	1		b	ei	1		p	ei	23		p	ej	23	
祕		b	ei	1		b	ei	1		p	ei	23		p	ej	23	
備		b	ei	6		b	ei	4		p	ei	32		p	ej	32	
憊		b	ei	6		b	ei	4		p	ei	32		p	ej	32	
痺		b	ei	1		b	ei	1		p	ei	23		p	ej	23	
秘		b	ei	1		b	ei	1		p	ei	23		p	ej	23	
陂		b	ei	4		b	ei	2		p	ei	21		p	ej	21	
畀		b	ei	2		b	ei	3		p	ei	45		p	ej	45	
柄		b	iang	1		b	iang	1		p	iɐŋ	23		p	ɪɐŋ	23	
病		b	iang	6		b	iang	4		p	iɐŋ	32		p	ɪɐŋ	32	
餅		b	iang	2		b	iang	3		p	iɐŋ	45		p	ɪɐŋ	45	
壁		b	ik	7B		b	ik	6		p	ɪk	23		p	ɛek	23	
璧		b	ik	7B		b	ik	6		p	ɪk	23		p	ɛek	23	
碧		b	ik	7B		b	ik	6		p	ɪk	23		p	ɛek	23	
逼		b	ik	7B		b	ik	6		p	ɪk	23		p	ɛek	23	
迫		b	ik	7B		b	ik	6		p	ɪk	23		p	ɛek	23	
邊		b	in	1		b	in	1		p	in	23		p	in	23	
扁		b	in	2		b	in	3		p	in	45		p	in	45	扁平
匾		b	in	2		b	in	3		p	in	45		p	in	45	
辮		b	in	1		b	in	1		p	in	23		p	in	23	
鞭		b	in	1		b	in	1		p	in	23		p	in	23	
便		b	in	6		b	in	4		p	in	32		p	in	32	便利
變		b	in	1		b	in	1		p	in	23		p	in	23	
汴		b	in	6		b	in	4		p	in	32		p	in	32	
辨		b	in	6		b	in	4		p	in	32		p	in	32	
辯		b	in	6		b	in	4		p	in	32		p	in	32	
邊		b	in	4		b	in	2		p	in	21		p	in	21	邊址
貶		b	in	2		b	in	3		p	in	45		p	in	45	
並		b	ing	6		b	ing	4		p	ɪŋ	32		p	ɛeŋ	32	
兵		b	ing	1		b	ing	1		p	ɪŋ	23		p	ɛeŋ	23	
柄		b	ing	2		b	ing	3		p	ɪŋ	45		p	ɛeŋ	45	
丙		b	ing	2		b	ing	3		p	ɪŋ	45		p	ɛeŋ	45	
秉		b	ing	2		b	ing	3		p	ɪŋ	45		p	ɛeŋ	45	
炳		b	ing	2		b	ing	3		p	ɪŋ	45		p	ɛeŋ	45	
摒		b	ing	2		b	ing	3		p	ɪŋ	45		p	ɛeŋ	45	
屏		b	ing	2		b	ing	3		p	ɪŋ	45		p	ɛeŋ	45	屏除
并		b	ing	6		b	ing	4		p	ɪŋ	32		p	ɛeŋ	32	
冰		b	ing	1		b	ing	1		p	ɪŋ	23		p	ɛeŋ	23	
