單字	國際音標	粵拼	備註
屈	ʋut55		形容詞。
鬱	ʋut55		鬱鬱蔥蔥
屈	ʋut33		動詞。使彎曲
	ʋut33		用於口語「暖vut3啊」，指「很暖」
	ʋut33		動詞，「弄皺」
核	ʋut21		果核「云核」指「事幹」，「打云打核」指「匆匆忙忙」；「核核起身」指「猛然起身」
穩	ʋun55		
搵	ʋun55		
醞	ʋun55		
溫	ʋun33		
渾	ʋun32		
混	ʋun32		
運	ʋun32		
熨	ʋun32		
蘊	ʋun32		
韻	ʋun32		
葷	ʋun22		
魂	ʋun22		
暈	ʋun22		頭暈
云	ʋun22		
芸	ʋun22		
耘	ʋun22		
雲	ʋun22		
雲	ʋun22		X vun22 X ngaai6，意思是「該X事物十分費勁」；如「打vun4打ngaai6」意思是「打得很辛苦」，如此類推
尹	ʋun21		
允	ʋun21		
隕	ʋun21		
殞	ʋun21		
蔚	ʋui33		
惡	ʋu33		可惡
污	ʋu33		
烏	ʋu33		
嗚	ʋu33		
塢	ʋu33		
汙	ʋu33		
互	ʋu32		
瓠	ʋu32		參考鄭鈞
護	ʋu32		
和	ʋu22		和牌、叫和。
狐	ʋu22		
弧	ʋu22		
胡	ʋu22		
壺	ʋu22		
葫	ʋu22		葫蘆曰蒲蘆瓜pʰu²² lu¹¹ ka¹¹未聽過，保留斗山說法 參考
湖	ʋu22		
瑚	ʋu22		
蝴	ʋu22		
糊	ʋu22		
鬍	ʋu22		
芋	ʋu21		
	ʋin33		口語「扔掉」
諱	ʋei55		
喟	ʋei55		參考斗山鄭鈞
逶	ʋei55		
韋	ʋei55		
委	ʋei55		委託
萎	ʋei55		
偉	ʋei55		
偉	ʋei55		
葦	ʋei55		
瑋	ʋei55		
煒	ʋei55		
緯	ʋei55		
威	ʋei33		
偎	ʋei33		
畏	ʋei33		
尉	ʋei33		
慰	ʋei33		
餵	ʋei33		
爲	ʋei32		
位	ʋei32		用在詞末多升變調
胃	ʋei32		
渭	ʋei32		
蝟	ʋei32		
衛	ʋei32		
謂	ʋei32		
桅	ʋei22		參考鄭鈞
唯	ʋei22		
帷	ʋei22		
惟	ʋei22		
圍	ʋei22		
爲	ʋei22		人爲
爲	ʋei22		為何
違	ʋei22		
維	ʋei22		
遺	ʋei22		遺失
挖	ʋɔt33		
猾	ʋɔt32		
滑	ʋɔt32		光滑
活	ʋɔt32		
汪	ʋɔŋ55		
枉	ʋɔŋ55		
旺	ʋɔŋ32		旺相
皇	ʋɔŋ22		
凰	ʋɔŋ22		
黃	ʋɔŋ22		
徨	ʋɔŋ22		
惶	ʋɔŋ22		
煌	ʋɔŋ22		
潢	ʋɔŋ22		
磺	ʋɔŋ22		
