序號	詞目	詞性	詞目索引	音讀	方言點	釋義	例句	相似詞	相反詞	對應音檔名稱
1	包包㘝㘝			bau33 bau33 ngiab21 ngiab21		偷偷摸摸地藏東西。	例：看佢包包㘝㘝，毋知偷囥麼个東西？(（看他偷偷摸摸地在藏東西，不知偷藏了什麼東西？）)	偷偷㘝㘝偷偷楔楔偷偷擸擸	光明正大	
2	胞衣			bau33 rhi33		胎盤，包裹胎兒的一層薄膜。	例：狗子一養啊出來，狗嫲會遽遽同厥胞衣舐淨來。(（小狗一生出來，母狗會趕緊把牠的胎盤舔乾淨。）)	紫河車		
3	包山塞海			bau33 san33 ced21 hoi31		形容數量非常多。	例：宮廟做大戲，滿哪都係包山塞海个人，鬧熱濟借。(（廟裡演戲酬神，到處人山人海，非常熱鬧。）)	包山包海掖蔴掖米弛崗打陣		
4	崩山			ben33 san33		山崗崩塌。	這位地理靚斯靚，毋過後山恁高，落雨驚怕會崩山，起屋毋得。 這個地方地理好是好，不過後山順向坡那麼高，下雨可能坍方，不可起造房子。	屙山		
5	陂塘			bi33 tong113		池塘。人工修築，用以灌溉的蓄水池。	例：屋脣个陂塘肚有當多魚，使得捉來食，乜使得看靚。(（屋旁的池塘裡有很多魚，可以捉來吃，也可供觀賞。）)	魚塘山塘		
6	祕結			bi53 gied21		便祕。糞便停留在大腸的時間過久，導致乾硬糞便堆積，造成大便不順暢。	例：少食青菜个人較會祕結。(（少吃青菜的人比較容易便祕。）)	熱結屙硬屎	屙瀉巴屙痢肚	
7	拚掃			biang53 so53		打掃、掃除。	例：阿伯姆當煞猛，屋前屋背拚掃都淨淨俐俐。(（伯母很勤奮，屋前屋後掃得乾乾淨淨。）)			
8	變面			bien53 mien53		翻臉。對人的態度突然變壞。	例：佢當難服侍，動啊著斯變面。(（他很難伺候，動不動就翻臉。）)	壞面貶面		
9	發癲			bud21 dien33		1.發瘋。因神經錯亂而失常。　2.（貶）嘲諷人言行不正常。	例：佢堪毋得恁多打擊，嗄發癲咧。(（他承受不了這麼多打擊，就發瘋了。）) 例：你仰會無搭無碓笑都毋會轉聲，發癲係無？(（你怎麼無緣無故笑到岔氣，瘋了是不是？）)	起癲癲撇		
10	發夢			bud21 mung53		1.作夢。為睡眠時腦細胞活動所產生的一種幻象。　2.比喻空想、幻想。	例：𠊎昨暗晡當好睡，無麼个有發夢。(（我昨晚很好睡，不太作夢。）) 例：毋去食頭路斯想緊愛賺大錢，發夢正得！(（不去工作就想著要發財，真是空想！）)	戇想妄想	實在	
11	補冬			bu31 dung33		冬日進補。過去的社會慣於冬天食用補品，認為可以藉此增強體力，抵禦寒氣。	例：聽講立冬該日補冬，盡見。(（聽說立冬當天補冬，最有效。）)			
12	補鑊鳥			bu31 vog54 diau33		白腹秧雞。秧雞科鳥類，中小體型，尾短。頭、背部及翅膀為黑色，臉、胸、腹部為白色。常隱身於稻田或近水草叢中，清晨及黃昏可聞其鳴叫聲。客家人因其鳴聲近似「補鑊」而稱之。	例：臨暗一陣雨落啊過，補鑊鳥叫無停。(（傍晚下一陣雨過後，白腹秧雞叫不停。）)			
13	布篷		詞目分類索引/衣著裝扮 聲母索引/03 大埔/b/u/去聲(3/ˋ/53)	bu53 pung113		用布製成的篷子，泛指大帳篷。	例：莊下人做好事，大勢會搭布篷請人客。(（鄉下人辦喜事時，大都會搭布篷請客。）)	棚		
14	不褡不膝			bud21 dab21 bud21 cid21		不三不四、不成體統。形容人或事情不像樣、不切實際。	例：該個人講話不褡不膝，當得人惱。(（那個人說話不三不四，很討人厭。）)	阿里不答		
15	腹內		詞目分類索引/人體器官 詞目分類索引/疾病醫療 詞目分類索引/飲食	bug21 nui53		內臟。人或動物體腔內的胃、肝等各種器官。	例：外國人較毋好食豬腹內，同𫣆等無相同。(（外國人比較不愛吃豬內臟，跟我們不一樣。）)	下水		
