音标	调类	调值	辖字
tsɿ	1	334	貲
tsʰɿ	1	334	雌
sɿ	1	334	思
t∫ɿ	1	334	菑[實際音]之[實際音]
t∫ʰɿ	1	334	差[實際音]
∫ɿ	1	334	師[實際音]施[實際音]
tsʰɿ	2	113	慈
dzɿ	2	113	慈
zɿ	2	113	詞
t∫ʰɿ	2	113	茌[實際音]池[實際音]
dʒɿ	2	113	茌[實際音]池[實際音]
ʒɿ	2	113	時[實際音]
lɿ	2	113	離[實際音]
ɹɿ	2	113	兒[實際音]
tsɿ	3	41	姊
tsʰɿ	3	41	此
sɿ	3	41	呆[騃]騃
tsʰɿ	4	21	鮆
dzɿ	4	21	鮆
zɿ	4	21	似
tsɿ	5	55	恣
tsʰɿ	5	55	次
sɿ	5	55	四
t∫ɿ	5	55	□[此衣，實際音]𧙁[此衣，實際音]
t∫ʰɿ	5	55	廁[實際音]
∫ɿ	5	55	駛[實際音]
tsʰɿ	6	11	自
dzɿ	6	11	自
zɿ	6	11	寺
t∫ɿʔ	7	4	櫛[實際音]
∫ɿʔ	7	4	瑟[實際音]
t∫ʰɿʔ	8	5	㓼
dʒɿʔ	8	5	㓼
ka	1	334	迦
kʰa	1	334	佉
pa	1	334	巴[實際音]
pʰa	1	334	葩[實際音]
ʔwa	1	334	窊
ɸa	1	334	華花[實際音]
tʰa	1	334	他[實際音]
kʰa	2	113	迦
pʰa	2	113	爬[實際音]
ba	2	113	爬[實際音]
ma	2	113	麻[實際音]
βa	2	113	華
la	2	113	儸
ɹa	2	113	若
pa	3	41	把[實際音]
ʔwa	3	41	瓦[實際音]搲
ta	3	41	打[實際音]
ma	4	21	馬[實際音]
βa	4	21	踝
la	4	21	䟩
ɹa	4	21	若
pa	5	55	霸[實際音]
ʔwa	5	55	搲
ɸa	5	55	化[實際音]
ma	6	11	禡[實際音]
βa	6	11	摦
la	6	11	□[似到]
ɹa	6	11	偌
kwa	1	334	瓜
kʰwa	1	334	誇
pwa	1	334	巴[實際音]
ɸwa	1	334	靴[實際音]
tʰwa	1	334	他[實際音]
ŋwa	2	113	□[化欠]𣢉[化欠]
lwa	2	113	㽋
kwa	3	41	寡
kʰwa	3	41	髁
ŋwa	4	21	瓦
kwa	5	55	坬
kʰwa	5	55	跨
ŋwa	6	11	瓦
kja	1	334	嘉
kʰja	1	334	䶗
ʔja	1	334	鴉
xja	1	334	煆
ɸja	1	334	靴[實際音]
tja	1	334	爹[實際音]
t∫ja	1	334	奓樝遮[實際音]
t∫ʰja	1	334	侘叉車[實際音]
∫ja	1	334	鯊
ŋja	2	113	牙
ɣja	2	113	遐
t∫ʰja	2	113	茶楂
dʒja	2	113	茶楂
ȵja	2	113	挐
kja	3	41	檟
kʰja	3	41	跒
ʔja	3	41	啞
xja	3	41	㗿
t∫ja	3	41	䋾鮓
t∫ʰja	3	41	奼□[竹叉]𥫢[竹叉]
∫ja	3	41	灑
ŋja	4	21	雅
ɣja	4	21	下
t∫ʰja	4	21	䟻槎
dʒja	4	21	䟻槎
ȵja	4	21	䋈
lja	4	21	䖃
kja	5	55	駕
kʰja	5	55	髂
ʔja	5	55	亞
xja	5	55	嚇
t∫ja	5	55	吒詐
t∫ʰja	5	55	詫瘥
∫ja	5	55	嗄
ŋja	6	11	迓
ɣja	6	11	暇
t∫ʰja	6	11	䖳乍
dʒja	6	11	䖳乍
ȵja	6	11	䏧
kaj	1	334	該
kʰaj	1	334	開
ʔaj	1	334	哀
xaj	1	334	咍
pʰaj	1	334	□[女缶]𡜊[女缶]
ʔwaj	1	334	歪[實際音]
taj	1	334	□[黑臺]𪒴[黑臺]
tʰaj	1	334	胎
tsaj	1	334	烖
tsʰaj	1	334	猜
saj	1	334	鰓
ŋaj	2	113	皚
ɣaj	2	113	孩
ɦaj	2	113	頤
pʰaj	2	113	□[片咅]𤗏[片咅]
baj	2	113	□[片咅]𤗏[片咅]
βaj	2	113	懷[實際音]
tʰaj	2	113	臺
daj	2	113	臺
naj	2	113	能
tsʰaj	2	113	裁
dzaj	2	113	裁
laj	2	113	來
kaj	3	41	改
kʰaj	3	41	愷
ʔaj	3	41	欸
xaj	3	41	海
paj	3	41	㤳
pʰaj	3	41	俖
taj	3	41	等
tʰaj	3	41	㘆
tsaj	3	41	宰
tsʰaj	3	41	采
saj	3	41	諰
ŋaj	4	21	騃
ɣaj	4	21	亥
ɦaj	4	21	䑂
pʰaj	4	21	倍
baj	4	21	倍
maj	4	21	䆀
tʰaj	4	21	駘
daj	4	21	駘
naj	4	21	乃
tsʰaj	4	21	在
dzaj	4	21	在
laj	4	21	□[金禮]𨰋[金禮]
kaj	5	55	蓋
kʰaj	5	55	磕
ʔaj	5	55	藹
xaj	5	55	餀
paj	5	55	贝
pʰaj	5	55	霈
taj	5	55	帶
tʰaj	5	55	泰
tsaj	5	55	載
tsʰaj	5	55	蔡
saj	5	55	賽
kʰaj	6	11	隑
gaj	6	11	隑
ŋaj	6	11	艾
ɣaj	6	11	害
pʰaj	6	11	斾
baj	6	11	斾
maj	6	11	昧
tʰaj	6	11	大
daj	6	11	大
naj	6	11	奈
tsʰaj	6	11	載
dzaj	6	11	載
laj	6	11	賴
kwaj	1	334	乖[實際音]
