id	ini	fn	pt	单字	IPA	注释
2	tʰ	ɔ	53	拖	tʰɔ53	拖车，（拉，拉长），吐舌头是否说拖，拖鞋，拖拉机
3	tʰ	a	53	他	tʰa53	其他
4	tʰ	ɔ	21	駝	tʰɔ21	驼背，骆驼
5	tʰ	ɔ	21	舵	tʰɔ21	船舵，舵手
6	t	ai	22	大	tai22	大小，大学
7	n	a	13	哪	na13	哪里，哪吒
8	n	a	33	那	na33	那里
9	l	ɔ	21	羅	lɔ21	姓
10	l	ɔ	21	鑼	lɔ21	锣鼓
11	l	ɔ	21	籮	lɔ21	箩筐，装稻谷用
12	l	ɔ	21	蘿	lɔ21	萝卜
13	ts	ɔ	35	左	tsɔ214	左手，左右
14	ts	ɔ	22	佐	tsɔ22	辅佐，佐料
16	k	ɔ	53	歌	kɔ53	唱歌，歌曲
17	k	ɔ	53	哥	kɔ53	哥哥，老哥，哥们儿
18	k	ɔ	33	個	kɔ33	一个，这个。个人，个体户。
19	h	ɔ	214	可	hɔ214	可以，许可证
20	ŋ	ɔ	21	蛾	ŋɔ21	飞蛾，夏天晚上集中到亮处的动物，似蝴蝶
21	ŋ	ɔ	21	鵝	ŋɔ21	一种家禽
22	ŋ	ɔ	21	俄	ŋɔ21	俄国，苏俄
23	ŋ	ɔ	33	我	ŋɔ33	
24	ŋ	ɔ	22	餓	ŋɔ22	肚子饿，饿他一顿，饿肚子
25	h	ɔ	21	荷	hɔ21	薄荷（有两种，做菜用、药用）
26	h	ɔ	21	何	hɔ21	姓，哪里
27	h	ɔ	21	河	hɔ21	一条河，黄河
28	h	ɔ	21	荷	hɔ21	荷花
29	h	ɔ	21	荷	hɔ21	挑担
30	h	ɔ	21	賀	hɔ21	姓，祝贺
31		ɔ	53	阿	ʔɔ53	阿胶，阿弥陀佛
32	kʰ	œ	13	茄	kʰœ13	茄子
34	p	ɔ	53	菠	pɔ53	菠菜
35	kʰ	ɔ	53	簸	kʰɔ53	簸一簸
36	p	ei	53	跛	pei53	跛足
37	p	ɔ	33	播	pɔ33	传播，播种
38	pʰ	ɔ	214	頗	pʰɔ214	颇有心得，偏颇，廉颇
39	p	ɔ	53	坡	pɔ53	山坡，山体滑坡
40	p	ɔ	53	玻	pɔ53	玻璃
41	pʰ	ɔ	33	破	pʰɔ33	东西破了，破鱼肚，破坏
42	pʰ	ɔ	21	婆	pʰɔ21	外婆，老太婆
43	p	ɔk	22	薄	pɔk2	薄菏（有两种，做菜用、药用）
44	m	ɔ	53	魔	mɔ53	魔鬼，魔术
45	m	ɔ	21	磨	mɔ21	磨刀，磨墨
46	m	ɔ	53	摩	mɔ53	摩擦，按摩
47	m	ɔ	22	磨	mɔ22	石磨，磨豆腐
48	t	ɔ	35	朵	tɔ214	一朵花
49	t	ɔ	35	躲	tɔ214	躲起来，躲避
50	t	œk	55	剁	tœk5	用刀向下砍
51	tʰ	ɔ	33	妥	tʰɔ33	妥当，妥协
52	tʰ	ɔ	33	橢	tʰɔ33	橢圆
54	l	ɔ	22	糯	lɔ22	糯米
55	l	ɔ	21	螺	lɔ21	螺蛳
56	l	ɔ	214	腡	lɔ214	手指纹，圆的
57	l	ɔ	53	囉	lɔ53	啰唆
58	tsʰ	ɔ	33	銼	tsʰɔ33	锉刀，木锉
