字目	读音	注释	声母	声母(原)	韵母	声调	声调（调类)	(声母)
蓖	pi22		p	p	i	22	1	p
碑	pi22		p	p	i	22	1	p
卑	pi22		p	p	i	22	1	p
陂	pi22		p	p	i	22	1	p
脾	pi44		p	p	i	44	2	p
琵	pi44		p	p	i	44	2	p
枇	pi44		p	p	i	44	2	p
啤	pi44		p	p	i	44	2	p
俾	pi53		p	p	i	53	3	p
彼	pi53		p	p	i	53	3	p
比	pi53		p	p	i	53	3	p
畀	pi53		p	p	i	53	3	p
被	pi213		p	p	i	213	4	p
幣	pi213		p	p	i	213	4	p
備	pi213		p	p	i	213	4	p
憊	pi213		p	p	i	213	4	p
婢	pi213		p	p	i	213	4	p
背	pi21	提重物	p	p	i	21	5	p
臂	pi21		p	p	i	21	5	p
秘	pi21		p	p	i	21	5	p
泌	pi21		p	p	i	21	5	p
庇	pi21		p	p	i	21	5	p
痹	pi21		p	p	i	21	5	p
蔽	pi21		p	p	i	21	5	p
費	pi21	白，姓	p	p	i	21	5	p
仳	pi21		p	p	i	21	5	p
匕	pi21		p	p	i	21	5	p
閉	pi21	～塞	p	p	i	21	5	p
弊	pi42		p	p	i	42	6	p
避	pi42		p	p	i	42	6	p
斃	pi42		p	p	i	42	6	p
披	pʰi22		pʰ	pʰ	i	22	1	pʰ
丕	pʰi22		pʰ	pʰ	i	22	1	pʰ
皮	pʰi44		pʰ	pʰ	i	44	2	pʰ
脾	pʰi44	文，～气	pʰ	pʰ	i	44	2	pʰ
疲	pʰi44		pʰ	pʰ	i	44	2	pʰ
鄙	pʰi53		pʰ	pʰ	i	53	3	pʰ
痞	pʰi53		pʰ	pʰ	i	53	3	pʰ
微	bi44		b	b	i	44	2	b
米	bi53		b	b	i	53	3	b
未	bi42		b	b	i	42	6	b
味	bi42		b	b	i	42	6	b
咪	mi22		m	m	i	22	1	m
迷	mi44		m	m	i	44	2	m
糜	mi44		m	m	i	44	2	m
棉	mi44		m	m	i	44	2	m
靡	mi53		m	m	i	53	3	m
謎	mi213		m	m	i	213	4	m
麵	mi42		m	m	i	42	6	m
麪	mi42	～条	m	m	i	42	6	m
低	ti22		t	t	i	22	1	t
猪	ti22	白：～胆，形容物品极苦	t	t	i	22	1	t
知	ti22		t	t	i	22	1	t
蜘	ti22		t	t	i	22	1	t
弟	ti44		t	t	i	44	2	t
池	ti44		t	t	i	44	2	t
遞	ti44		t	t	i	44	2	t
底	ti53		t	t	i	53	3	t
抵	ti53		t	t	i	53	3	t
徵	ti53	～羽	t	t	i	53	3	t
詆	ti53		t	t	i	53	3	t
弟	ti213		t	t	i	213	4	t
遞	ti213		t	t	i	213	4	t
隸	ti213		t	t	i	213	4	t
娣	ti213		t	t	i	213	4	t
戴	ti21	白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音	t	t	i	21	5	t
帝	ti21		t	t	i	21	5	t
致	ti21		t	t	i	21	5	t
置	ti21		t	t	i	21	5	t
寘	ti21		t	t	i	21	5	t
智	ti21		t	t	i	21	5	t
締	ti21		t	t	i	21	5	t
地	ti42		t	t	i	42	6	t
自	ti42	训：家～（自己）	t	t	i	42	6	t
治	ti42		t	t	i	42	6	t
黐	tʰi22	浓稠	tʰ	tʰ	i	22	1	tʰ
苔	tʰi44		tʰ	tʰ	i	44	2	tʰ
馳	tʰi44	又	tʰ	tʰ	i	44	2	tʰ
提	tʰi44		tʰ	tʰ	i	44	2	tʰ
啼	tʰi44		tʰ	tʰ	i	44	2	tʰ
持	tʰi44		tʰ	tʰ	i	44	2	tʰ
體	tʰi53		tʰ	tʰ	i	53	3	tʰ
痔	tʰi213		tʰ	tʰ	i	213	4	tʰ
□	tʰi21	撕	tʰ	tʰ	i	21	5	tʰ
替	tʰi21	仅用于代（tʰoi阴去）～，前字本字为“替”	tʰ	tʰ	i	21	5	tʰ
剃	tʰi21		tʰ	tʰ	i	21	5	tʰ
滯	tʰi21		tʰ	tʰ	i	21	5	tʰ
屜	tʰi21		tʰ	tʰ	i	21	5	tʰ
啻	tʰi21		tʰ	tʰ	i	21	5	tʰ
涕	tʰi21		tʰ	tʰ	i	21	5	tʰ
翅	tʰi21	鸡～木	tʰ	tʰ	i	21	5	tʰ
哩	li22		l	l	i	22	1	l
黎	li44		l	l	i	44	2	l
璃	li44		l	l	i	44	2	l
厘	li44		l	l	i	44	2	l
狸	li44		l	l	i	44	2	l
麗	li44	高～：人参	l	l	i	44	2	l
離	li44		l	l	i	44	2	l
籬	li44		l	l	i	44	2	l
喱	li44		l	l	i	44	2	l
儷	li44		l	l	i	44	2	l
漓	li44		l	l	i	44	2	l
旅	li53	文，仅用于“～游”，该读音也说lu3	l	l	i	53	3	l
履	li53		l	l	i	53	3	l
里	li53		l	l	i	53	3	l
理	li53		l	l	i	53	3	l
禮	li53		l	l	i	53	3	l
裡	li53		l	l	i	53	3	l
鯉	li53		l	l	i	53	3	l
俚	li53		l	l	i	53	3	l
屨	li53	～行	l	l	i	53	3	l
澧	li53		l	l	i	53	3	l
李	li53		l	l	i	53	3	l
莉	li213		l	l	i	213	4	l
荔	li213		l	l	i	213	4	l
利	li213		l	l	i	213	4	l
厲	li213		l	l	i	213	4	l
勵	li213		l	l	i	213	4	l
麗	li213		l	l	i	213	4	l
俐	li213		l	l	i	213	4	l
儷	li213		l	l	i	213	4	l
勱	li213		l	l	i	213	4	l
例	li42		l	l	i	42	6	l
離	li42	来得及。如：走解（oi4）～：跑得掉	l	l	i	42	6	l
吏	li42		l	l	i	42	6	l
