#漢字	音標	解釋#('ko_okm', '中世紀朝鮮語', '中世朝鮮', '#8B0000,#4D4D4D', None, None, '來源：<a href=https://github.com/nk2028/sino-korean-readings>韓國漢字音歷史層次研究</a>', None)
㖡	ja	
㘞	hwa	
㠹	kai	
㿉	tʰoi	
䎸	e	
䎸	o	
䥱	sja	
一	ir	
丁	tjeŋ	
丁	tiŋ	
七	tsʰir	
丈	taŋ	
丈	tjaŋ	
三	sam	
上	sjaŋ	
下	ha	
下	sja	
不	pu	
不	pɨr	
丐	kai	
丑	tʰjuk	
丑	tʰju	
且	tsʰja	
世	sjei	
丘	ku	
丙	pjeŋ	
丞	sɨŋ	
並	pjeŋ	
中	tjuŋ	
串	kwan	
丸	hwan	
丹	tan	
丹	ran	
主	tsju	
乂	jei	
乃	nai	
久	ku	
之	tsi	
乍	sai	
乍	sa	
乎	ho	
乏	pʰip	
乖	koi	
乘	sɨŋ	
乙	ɨr	
九	ku	
九	kju	
乞	ker	
也	ja	
乳	zju	
乾	kan	
乾	ken	
亂	ran	
了	rjo	
予	je	
事	sə	
事	sɨ	
二	zi	
于	u	
云	un	
互	ho	
五	o	
井	tsjeŋ	
亙	həŋ	
些	sja	
亞	a	
亟	kɨi	
亟	kɨk	
亡	mu	
亡	maŋ	
亢	kaŋ	
交	kjo	
亦	jek	
亨	hjeŋ	
享	hjaŋ	
京	kjeŋ	
亭	tjeŋ	
亮	rjaŋ	
人	zin	
什	sɨp	
仁	zin	
仄	tsʰɨk	
仇	ku	
今	kɨm	
介	kai	
仍	iŋ	
仍	zin	
仔	tsə	
仕	sə	
他	tʰa	
仗	tjaŋ	
付	pu	
仙	sjen	
仞	zin	
仞	iŋ	
代	təi	
令	rjeŋ	
以	i	
仰	aŋ	
仲	tjuŋ	
件	ken	
任	zim	
企	ki	
伉	haŋ	
伊	i	
伍	o	
伎	ki	
伏	pok	
伐	per	
休	hju	
伯	pəik	
估	ko	
伴	pan	
伴	pen	
伶	rjeŋ	
伸	sin	
伺	sə	
似	sə	
伽	ka	
但	tan	
佉	ke	
位	ui	
低	tjei	
低	tje	
住	tju	
佐	tswa	
佐	tsa	
佑	u	
何	ha	
余	je	
佚	ir	
佛	pʰir	
佛	pɨr	
佛	pur	
作	tsak	
佞	njeŋ	
佞	rjeŋ	
你	ni	
你	ri	
佩	pəi	
佳	ka	
佾	ir	
使	si	
使	sə	
侃	kan	
來	rəi	
侈	tsʰi	
