"#符号说明：( )内是前字的繁体字或异体字；“=”表示读书音，口语中不用；加*的汉字表示[ʐ][dʐ]归属、阳上阳去归属缺乏直接资料，以区分这两者的苏州行政区划内的吴语为基准。"		
"#说明：对于《一百年前的苏州话》有而《乡音字类》中没有的字，因《一百年前的苏州话》记音不含声调，则其声调以今音为准。"		
"#调值"	"[1]阴平44 [2]阳平223 [3]阴上51 [4]阳上31 [5]阴去523 [6]阳去2312 [7]阴入4 [8]阳入23"	"备注"
"#ən"		
"#tʂ"	"[1]真{~假}甄禛籈瞋贞桢侦禛肫屯杶窀谆斟针{~线}砧{~墩板}烝蒸{~笼}征(徵{~兵})怔钲珍{~贵} [3]整{~齐}枕轸紾袗诊胗疹{出~子}眕稹缜鬒准{批~}(凖{~備})晸 [5]正政{~治}振{~作}震赈{急~}镇挋证{~书}㡧帧"	
"#tʂʰ"	"[1]春椿{香~头}杶偁赪蛏侦柽竀瞫称 [3]蠢{粗~}惷 [5]逞{~意}趁{~船}疢骋称秤{大~}"	"“侦”在《一百年前的苏州话》中记作[tʂən]，在《乡音字类》中归入[tʂʰən]。"
"#ʂ"	"[1]声深身娠申{姓}呻绅{乡~}伸{~冤}柛升{~箩，衡粮之器}(昇、陞) [3]审{~问}婶{~~}稔淰谂瞫渖哂矧笋(筍)簨𥯗沈{姓}榫{镶~头} [5]圣胜{好~}舜蕣瞬眴𥆧"	
"#ʐ"	"[2]人仁神辰晨{朝~}宸唇漘纯莼{~菜}(蓴{~菜})纫壬任纴鵀妊衽饪绳渑憴 [4]忍荏吮*{辣嘴里~一~}肾*葚*{桑~} [6]闰润慎{谨~小心}昚蜃认仞讱韧轫刃顺甚盛{茂~}赁="	
"#ʐ (原dʐ)"	"[2]成{~功}诚{~实}城{~头}宬晟呈程{工~}裎酲仍礽陾乘塍尘{灰~}陈{姓}臣谌湛丞承惩澂澄沉*{~下去} [4]朕眹 [6]郑{姓；~重其事}阵{战~}嵊塍酖剩*"	
"#ø"		
"#tʂ"	"[1]占(佔{~据})霑沾覘苫怗毡{~帽}氈鹯饘旃旜专{~心致志学会一种本事}砖颛飦甎詹瞻{~仰}赡鳣邅 [3]展辗{~转}皽转{团团~} [5]啭战{~~兢兢}转"	"“赡”在《一百年的苏州话》中记作[tʂø]，与今音[zø]有异。"
"#tʂʰ"	"[1]襜幨穿{拆~西洋镜}川{四~} [3]舛荈喘{气~}谄阐灛燀蕆冁辴 [5]钏串{~通}賗{粮~}窜{逃~}"	
"#ʂ"	"[1]闩{门~}羶扇{~风}搧 [3]陕{~西}扇{一~窗}闪 [5]掞扇煽{~惑人心}"	
"#ʐ"	"[2]然(㸐)燃{~烧}船髯堧壖撋㨎擩瓀 [4]冉苒染软輭愞 [6]善{~堂，旧时指育婴堂、养老院等慈善机构}膳缮鳝{黄~}墡{白~}蟮{蛐~}墠擅{~专}嬗椫赡"	
"#ʐ (原dʐ)"	"[2]传椽{~子}遄歂廛缠{~弗清}婵蝉澶蟾 [6]篆瑑䌸"	
"#ʮ"		
