"例字"	"中古音"	"电白龙山海话"	"罗定漳州话"	"湛江雷州黎话"	"吴川兰石东话"	"说明：兰石东话 阴平 33 家多初开 阳平 22 牙河图鱼 阴上 31 左把假女 阳上 42 午谢异硬 阴去 44 化废放布 阴入 5 发括得绩 阳入 2 活越贼局 升降调 453 之爸血百"
"多"	"果开一平歌端"	"ʦɔi33"	"ʦai443"	"ʦoi24"	"tɛi33"	
"拖"	"果开一平歌透"	"tʰua33"	"tʰua45"	"tʰua24"	"tʰu33/tʰɔ33"	"1.2.1、[ɐm、ɐp]韵母的中的[ɐ]实际发音略高，接近[ə]。 1.2.2、[ip]韵母中的[i]实际发音略低，接近[e]。 1.2.3、[ɛu]在唇音、舌音声母后有轻微的滑音 i，如：炉，韵母可以记作[iɛu]，
本文从略。
1.2.4、[ou、iou]韵母中的[o]偏央。"
"驼"	"果开一平歌定"	"tʰɔ22"	"——"	"tʰo22"	"tʰɔ22"	
"大"	"果开一去箇来"	"tua33"	"tua443"	"tua24"	"ɗu33"	"雷州黎话 阴平 24 猪尊娘腐树饭味饿 阳平 22 陈平仁龙农文云黄
阴上 41 好手粉我米猛尾 阳上 33 腐倍坐户雨事食白
阴去 21 抗唱汉世去告镜柄 阳去 453 饿递事误接割锡落
阴人 5 急竹权得肇出七 阳人 2 局杂合俗服涉叠十"
"那"	"果开一去箇泥"	"hak5"	"ho451"	"na453"	"ha44"	
"哪"	"果开一上哿泥"	"ti42"	"tai451"	"na22"	"ɗi33"	"2.2.1、[ɛ]单念或处于韵尾时，开口度较大，后面有其它音素组合时，开口
度较小，实际音质是[e]。本文统一记成[ɛ]。
2.2.2、[ɔ]单念或处于韵尾时，开口度较大，与其它音素组合时，开口度较
小，实际音质是[o]。本文统一记成[ɔ]。
2.2.3、[i]在某些声母后偏低。"
"锣"	"果开一平歌来"	"lɔ22"	"lua24"	"lo22"	"lɔ22"	
"左"	"果开一上哿精"	"ʦɔ31"	"ʦo451"	"ʦo41"	"tɔ31"	"龙山海话 阴平 33 病哥饿大 阳平 22 平个鹅麻  
阴上 31 把我火补 阳上 42 白坐座户
阴去 44 柄破锉过 高降 453 哥魔爸杯宙百
阴入 5 得恶曲竹 阳入 2 直焗熟读 "
"哥"	"果开一平歌见"	"kɔ53"	"hia45"	"ko24"	"kɔ453"	
"可"	"果开一上哿溪"	"kʰɔ31"	"ho451"	"kʰo41"	"hɔ31"	"3.2.1、ɛ单念时，开口度较大，与其它音素组合时，开口度较小，实际音
质是 e。本文统一记成 ɛ。
 3.2.2、a 在 i 后读得较短，开口度较小。"
"鹅"	"果开一平歌疑"	"kɔ22"	"ŋo45"	"ŋo22"	"kɔ22"	
"饿"	"果开一去箇疑"	"kɔ33"	"ieu45"	"oi453"	"kʰɔ33"	"罗定漳州话 阴平a 45 歌波天饿 阴平b 55阿基 阳平a 24 平个鹅麻 阳平b 22 厨痰坟 阳平c 21 随曹
阴上 451 把我火补 阳上 443 坐座户白
阴去 31 柄破锉过
阴入 5 得恶曲竹 阳入 2 直焗熟读"
"河"	"果开一平歌匣"	"hɔ22"	"ho21"	"ho22"	"hɔ22"	
"贺"	"果开一去箇匣"	"hɔ42"	"ho443"	"ho21"	"hɔ42"	"4.2.1、ye 韵母与其它闽语 ue 对应，发音部位前移，明显撮口，e 的发音也
比较含混，接近 ø。
 4.2.2、介音 i、u、y 音程较长。
 4.2.3、个别字的韵母比较特殊，没有列入。在这里说明：闲 eiŋ24。
4.2.4、ɐi、ɐm、ɐn、yn 等韵母受粤语影响产生。
 4.2.5、韵母 iam 介音音程较长，韵腹 a 较短，音质接近 e。"
"阿～胶"	"果开一平歌影"	"ɔ33"	"a55"	"o24"	"ɔ33"	
